,Int_Stud,Int_Stud-14
King Abdullah University of Science & Technology,100,100
London School of Economics and Political Science (LSE),100,100
Arabian Gulf University,100,100
Cranfield University,100,100
Abu Dhabi University,100,100
American University in Dubai,100,100
University of Sharjah,100,100
London Business School,100,100
London School of Hygiene and Tropical Medicine,100,100
"SOAS, University of London",100,100
City University London,100,100
American University of Sharjah,100,100
Illinois Institute of Technology,100,100
UCL (University College London),99.9,100
University of St Andrews,99.9,99.9
Maastricht University,99.9,99.9
Qatar University,99.7,99.8
Imperial College London,100,99.7
ESCP Europe,99.7,99.7
Heriot-Watt University,99.9,99.6
Middlesex University,99.6,99.6
HEC Paris School of Management,99.8,99.1
University of Geneva,99,99
University of Essex,99.7,98.8
Carnegie Mellon University,99.3,98.8
Queen Mary University of London,99.3,98.8
London Metropolitan University,97.3,98.8
Universität Innsbruck,98.6,98.7
The University of Hong Kong,98.6,98.4
Curtin University,72.7,98.4
Royal Holloway University of London,98,98.3
University of Surrey,97.7,98.3
The University of Warwick,98.1,98.1
ETH Zurich - Swiss Federal Institute of Technology,98,98.1
Brunel University London,98.9,98
"Goldsmiths, University of London",98.1,97.9
RMIT University,80.7,97.6
The University of Adelaide,98.6,97.5
The University of Edinburgh,97.9,97.5
University of Leicester,97.1,97.2
Coventry University,99,97
The University of Melbourne,97.9,97
University of Sussex,96.9,96.6
University of Cambridge,96.6,96.5
Swinburne University of Technology,98.5,96.4
"Kingston University, London",98.4,96.4
The Hong Kong University of Science and Technology,97,96.4
The Australian National University,96.7,96.4
The University of Manchester,97.1,96.3
University of East London,94.3,96.3
École des Ponts ParisTech,96.2,96.2
University College Dublin,63.7,95.9
Massachusetts Institute of Technology (MIT),95.5,95.6
"Nanyang Technological University, Singapore (NTU)",94,95.3
University of Oxford,96.6,95
Universite libre de Bruxelles,94.9,95
University of Greenwich,95.8,94.9
National University of Singapore (NUS),92.5,94.9
Monash University,93.7,94.4
University of Vienna,93.4,94.4
Queen's University Belfast,94,94.3
University of Bradford,90.4,94.3
Lancaster University,95.8,94
University of St.Gallen (HSG),96,93.9
"Birkbeck, University of London",97.8,93.7
Aston University,93,93.6
The University of New South Wales (UNSW Australia),92.7,93.6
Peoples' Friendship University of Russia,91.3,93.6
University of Macau,94.2,93.5
Institut National des Sciences Appliquées de Lyon (INSA),84.1,93.5
The University of Sheffield,95,93.3
University of Groningen,94.2,93.1
ESSEC Business School,97.1,92.5
University of Aberdeen,94.4,92.4
Universidad de Palermo (UP),93.1,92.2
Lincoln University,88.3,92
University of Liverpool,95.1,91.9
University of Technology Sydney,93.2,91.9
University of Bath,90.4,91.9
Ecole Polytechnique,88.5,91.9
Simon Fraser University,91.7,91.7
Edith Cowan University,71.8,91.6
University of Southampton,92.3,91.2
Newcastle University,88.6,91.2
Paris Lodron University of Salzburg,91.1,91.1
McGill University,92.3,90.7
University of Glasgow,94.4,90.2
La Trobe University,92.1,90.2
City University of Hong Kong,95.4,89.5
The University of Exeter,87.1,89.4
University of Reading,89.7,89.1
University of Toronto,90.3,88.6
University of East Anglia (UEA),85.6,88.2
The University of Nottingham,87.6,87.9
University of Hertfordshire,84.6,87.8
Bond University,89.4,87.7
The University of Auckland,88.4,87.2
The University of Sydney,89.8,87.1
Concordia University,86.7,86.4
Columbia University,89.8,86
California Institute of Technology (Caltech),85.2,86
Macquarie University,78.3,85.8
V. N. Karazin Kharkiv National University,90.1,85.6
Northeastern University,88.7,85.4
Auckland University of Technology (AUT),95.5,85.1
United Arab Emirates University,86.8,85.1
Vienna University of Technology,87.4,84.9
University of Tulsa,86.9,84.6
Georgia Institute of Technology,86.9,84.5
Rice University,87.1,84.3
University of Salford,72.1,84.2
Harvard University,76,83.8
University of York,81.1,83.3
The University of Queensland,82.4,83.2
Oxford Brookes University,83.6,82.9
Stevens Institute of Technology,93.8,82.8
Université Paris Dauphine,86,82.6
University of Dundee,79.6,82.4
Université de Montréal,80.1,82.3
University of Bristol,81.2,82.2
