,Rank,Rank-14
Moscow State Institute of International Relations (MGIMO University),397,399
Bilkent University,394,399
Northeastern University,365,399
Universität Jena,381,397
Tongji University,345,393
Aston University,346,390
Stellenbosch University,302,390
North Carolina State University,309,388
University of Tartu,400,379
Washington State University,361,379
Xi’an Jiaotong University,331,379
Oxford Brookes University,324,379
Universiti Putra Malaysia (UPM),331,376
University of Kansas,393,371
National Taiwan University of Science and Technology (Taiwan Tech),260,371
University of Essex,303,370
Université Paris Dauphine,369,367
Tilburg University,293,367
Dublin City University,353,366
Politecnico di Torino,314,365
Aalborg University,356,363
Tampere University of Technology,356,362
The American University in Cairo,345,360
Deakin University,324,360
Rensselaer Polytechnic Institute,348,359
Ewha Womans University,354,355
Virginia Polytechnic Institute and State University,338,355
Brunel University London,331,355
Universidad Carlos III de Madrid (UC3M),314,355
"Stony Brook University, State University of New York",372,352
Heriot-Watt University,318,352
University of Coimbra,367,351
James Cook University,387,350
Iowa State University,355,348
Universität Bremen,351,348
Massey University,337,346
Aix-Marseille University,361,341
City University London,301,341
Boston College,282,341
Ecole Normale Supérieure de Cachan,293,338
Universitat Politècnica de Catalunya,299,337
University of Warsaw,344,335
Wuhan University,273,335
King Abdulaziz University (KAU),303,334
University of South Australia,288,333
Curtin University,284,331
"SOAS, University of London",275,331
Universität Mannheim,394,328
Novosibirsk State University,317,328
Nankai University,277,328
Griffith University,329,324
University of Hawai'i at Mañoa,327,324
Bauman Moscow State Technical University,338,322
Indian Institute of Technology Madras (IITM),254,322
Sun Yat-sen University,307,321
University of the Witwatersrand,331,318
University of Jyväskylä,319,318
Hong Kong Baptist University,281,318
Brandeis University,381,316
Universidad Nacional de Colombia,290,316
Hiroshima University,348,314
University of Surrey,247,314
University of Utah,369,313
Universidade Nova de Lisboa,351,312
Universität Konstanz,319,310
Universiti Sains Malaysia (USM),289,309
University of Southern Denmark,361,308
University of Cologne,331,305
Al-Farabi Kazakh National University,275,305
RMIT University,273,304
Johannes Gutenberg Universität Mainz,375,300
University at Buffalo SUNY,338,300
George Washington University,327,300
Indian Institute of Technology Kanpur (IITK),271,300
Laval University,324,298
Universitat Pompeu Fabra,295,298
Tokyo Medical and Dental University (TMDU),391,294
Kobe University,361,294
Universiti Teknologi Malaysia,303,294
Arizona State University,249,294
University of Porto,308,293
Ben Gurion University of The Negev,259,292
University of Victoria,319,290
École des Ponts ParisTech,314,290
Universität Innsbruck,295,288
Universidad Austral,309,287
Friedrich-Alexander-Universität Erlangen-Nürnberg,292,285
Queensland University of Technology (QUT),263,285
Linköping University,286,283
University of Wollongong,243,283
University of Massachusetts Amherst,243,282
Yeshiva University,384,280
"National University of Ireland, Galway",271,280
Université Paris Descartes,387,278
Kyung Hee University,295,275
Royal Holloway University of London,231,275
Victoria University of Wellington,229,275
Universität Stuttgart,251,274
Université de Liège,265,272
Indiana University Bloomington,263,272
Universidade Federal do Rio de Janeiro,323,271
University of Iowa,312,269
Technische Universität Darmstadt,246,269
University of Eastern Finland,347,267
Umea University,319,267
"University of California, Santa Cruz",269,265
Loughborough University,228,265
University of Technology Sydney,218,264
Universidad de los Andes,283,262
"University of California, Riverside",265,261
University of Oulu,358,259
Universiti Kebangsaan Malaysia (UKM),312,259
Mahidol University,295,257
"The University of Newcastle, Australia (UoN)",256,257
National Yang Ming University,338,256
University of Navarra,265,254
Macquarie University,229,254
Instituto Tecnológico y de Estudios Superiores de Monterrey,238,253
University Ulm,338,249
American University of Beirut (AUB),268,249
Westfälische Wilhelms-Universitat Münster,256,249
King Saud University,237,249
Norwegian University of Science And Technology,254,246
University of Strathclyde,249,246
