University,Overall,Overall-16
California Institute of TechnologyUnited States of America,94.3,95.2
University of OxfordUnited Kingdom,93.2,94.2
Stanford UniversityUnited States of America,92.9,93.9
University of CambridgeUnited Kingdom,92,92.8
Massachusetts Institute of TechnologyUnited States of America,91.9,92
Harvard UniversityUnited States of America,93.3,91.6
Princeton UniversityUnited States of America,90.9,90.1
Imperial College LondonUnited Kingdom,87.5,89.1
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,84.6,88.3
University of ChicagoUnited States of America,87.1,87.9
Johns Hopkins UniversityUnited States of America,83,87.6
Yale UniversityUnited States of America,87.5,87.4
"University of California, BerkeleyUnited States of America",89.5,87.2
University College LondonUnited Kingdom,78.7,87.1
Columbia UniversityUnited States of America,84.4,80.4
"University of California, Los AngelesUnited States of America",85.5,85.8
University of PennsylvaniaUnited States of America,81,85.2
Cornell UniversityUnited States of America,79.4,84
University of TorontoCanada,79.3,83.9
Duke UniversityUnited States of America,79.9,82.7
University of MichiganUnited States of America,80.9,82.4
Carnegie Mellon UniversityUnited States of America,74.3,82.3
London School of Economics and Political ScienceUnited Kingdom,70.9,81.3
University of EdinburghUnited Kingdom,70.4,80.3
Northwestern UniversityUnited States of America,79.2,79.5
National University of SingaporeSingapore,73.3,79.2
King’s College LondonUnited Kingdom,69.4,78.2
Karolinska InstituteSweden,66.8,77.5
LMU MunichGermany,71.9,77.3
New York UniversityUnited States of America,69.9,77.2
École Polytechnique Fédérale de LausanneSwitzerland,70.9,76.1
University of WashingtonUnited States of America,73.2,75.6
University of MelbourneAustralia,71.2,75.4
University of British ColumbiaCanada,71.8,75.3
KU LeuvenBelgium,63.7,74.8
University of Illinois at Urbana-ChampaignUnited States of America,71.9,74.5
Heidelberg UniversityGermany,59.6,74.4
McGill UniversityCanada,69.6,72.6
"University of California, Santa BarbaraUnited States of America",70,72.2
"University of California, San DiegoUnited States of America",68.6,72.2
Georgia Institute of TechnologyUnited States of America,72.8,72.1
Peking UniversityChina,65.2,72
University of TokyoJapan,76.1,71.1
University of Hong KongHong Kong,67.5,71
"University of California, DavisUnited States of America",63.7,71
University of Texas at AustinUnited States of America,72.3,70.3
Tsinghua UniversityChina,65.1,70
Wageningen University and Research CenterNetherlands,59,70
Humboldt University of BerlinGermany,57.9,69.9
University of Wisconsin-MadisonUnited States of America,71.9,69.7
Brown UniversityUnited States of America,64.1,69.6
Australian National UniversityAustralia,66.5,69.5
Technical University of MunichGermany,54.6,69.4
École Normale SupérieureFrance,58.1,69
Nanyang Technological UniversitySingapore,62.2,68.2
University of ManchesterUnited Kingdom,64.5,68.1
University of SydneyAustralia,62.7,68.1
University of AmsterdamNetherlands,58.2,67.8
Hong Kong University of Science and TechnologyHong Kong,64.7,67.2
Washington University in St LouisUnited States of America,67.8,67
The University of QueenslandAustralia,61.2,67
Utrecht UniversityNetherlands,58,66.6
University of North Carolina at Chapel HillUnited States of America,65.9,66.4
Boston UniversityUnited States of America,63.6,66.1
University of MinnesotaUnited States of America,65.9,65.9
Delft University of TechnologyNetherlands,59.2,65.9
Leiden UniversityNetherlands,61.3,65.7
University of Southern CaliforniaUnited States of America,58.4,65.5
University of BristolUnited Kingdom,58.9,64.3
Durham UniversityUnited Kingdom,56.9,63.6
Erasmus University RotterdamNetherlands,59.1,63.5
Free University of BerlinGermany,57.6,63.2
Monash UniversityAustralia,56.9,62.5
University of GroningenNetherlands,53.1,62.4
Pennsylvania State UniversityUnited States of America,62.9,62.3
University of GlasgowUnited Kingdom,55.3,61.9
University of HelsinkiFinland,53.9,61.9
University of TübingenGermany,53.4,61.7
University of PittsburghUnited States of America,56.1,61.5
University of WarwickUnited Kingdom,53.9,61.3
Uppsala UniversitySweden,54.6,61.2
University of New South WalesAustralia,53.7,61
University of CopenhagenDenmark,49,61
University of FreiburgGermany,48.3,60.7
Seoul National UniversitySouth Korea,64.8,60.5
University of St AndrewsUnited Kingdom,53.6,60.4
Vanderbilt UniversityUnited States of America,55.2,60.1
Kyoto UniversityJapan,62.8,59.9
Maastricht UniversityNetherlands,54.3,59.9
Ohio State UniversityUnited States of America,60.7,59.7
Emory UniversityUnited States of America,55.5,59.7
Lund UniversitySweden,52.9,59.7
University of ExeterUnited Kingdom,49.7,59.5
McMaster UniversityCanada,55.3,58.8
Georgetown UniversityUnited States of America,47.7,58.8
University of BonnGermany,46.1,58.8
University of SheffieldUnited Kingdom,52.7,58.6
Queen Mary University of LondonUnited Kingdom,53.8,58.5
University of GöttingenGermany,61,58
Michigan State UniversityUnited States of America,57.3,58
École PolytechniqueFrance,62.2,57.9
Rice UniversityUnited States of America,59.8,57.9
University of BaselSwitzerland,58.4,57.9
University of ZurichSwitzerland,53.9,57.8
Dartmouth CollegeUnited States of America,50,57.8
"University of California, IrvineUnited States of America",56.4,57.7
University of Notre DameUnited States of America,56.5,57.6
University of Western AustraliaAustralia,49.1,57.5
University of SouthamptonUnited Kingdom,51.9,57.2
RWTH Aachen UniversityGermany,49.2,57.2
Scuola Normale Superiore di PisaItaly,61.9,57.1
Purdue UniversityUnited States of America,54,57
Pierre and Marie Curie UniversityFrance,53.9,57
University of MontrealCanada,53.4,57
Pohang University of Science and TechnologySouth Korea,61.1,56.9
"University of Maryland, College ParkUnited States of America",51.9,56.7
Ghent UniversityBelgium,56.2,56.6
University of BirminghamUnited Kingdom,50.2,56.2
University of Cape TownSouth Africa,52.6,56.1
University of FloridaUnited States of America,52.5,56.1
University of BernSwitzerland,51.9,56.1
"Rutgers, the State University of New JerseyUnited States of America",50.5,56
Radboud University NijmegenNetherlands,51,55.9
Tufts UniversityUnited States of America,56.4,55.8
University of Colorado BoulderUnited States of America,55.1,55.8
"Royal Holloway, University of LondonUnited Kingdom",53,55.7
Lancaster UniversityUnited Kingdom,52,55.6
University of GenevaSwitzerland,53.8,55.4
University of YorkUnited Kingdom,53.4,55.4
Case Western Reserve UniversityUnited States of America,53.2,55.3
University of LeedsUnited Kingdom,50.4,55.3
University of OsloNorway,46.7,55.1
Stockholm UniversitySweden,54.6,54.8
University of AlbertaCanada,52.6,54.7
Chinese University of Hong KongHong Kong,52.4,54.5
Karlsruhe Institute of TechnologyGermany,48.1,54.5
University of SussexUnited Kingdom,53.6,54.4
University of MassachusettsUnited States of America,56.1,54.3
University of ViennaAustria,46.9,54.2
University of NottinghamUnited Kingdom,47.8,54.1
"University of California, Santa CruzUnited States of America",53.7,53.9
University of LausanneSwitzerland,51.4,53.9
University of VirginiaUnited States of America,52.1,53.3
Korea Advanced Institute of Science and Technology (KAIST)South Korea,64.5,53
Aarhus UniversityDenmark,49.9,52.9
University of AdelaideAustralia,48.2,52.9
University of East AngliaUnited Kingdom,45.9,52.9
Sungkyunkwan University (SKKU)South Korea,50.2,52.8
VU University AmsterdamNetherlands,51.4,52.5
KTH Royal Institute of TechnologySweden,52.5,52.4
University of LiverpoolUnited Kingdom,49.1,52.2
University of RochesterUnited States of America,52.7,52.1
TU Dresden Germany,51.6,52.1
Trinity College DublinRepublic of Ireland,51.2,52
University of MiamiUnited States of America,48,51.9
