University,Academic Reputation-17,Academic Reputation-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
American University,35.4,27.3,,,0.228813559,0.052355645,0
Universität Bielefeld,27.1,27.4,,,-0.011070111,0.000122547,0.011070111
Thammasat University,27.5,27.7,,,-0.007272727,5.28926E-05,0.007272727
University of Trento,28.2,28.1,,,0.003546099,1.25748E-05,0.003546099
Universidade de Brasília,27.6,28.5,,,-0.032608696,0.001063327,0.032608696
Iowa State University,27.8,28.5,,,-0.025179856,0.000634025,0.025179856
University of Tartu,28.7,28.5,,,0.006968641,4.8562E-05,0.006968641
Karl-Franzens-Universitaet Graz,31.2,28.6,,,0.083333333,0.006944444,0.083333333
Universidad Austral,28.4,28.8,,,-0.014084507,0.000198373,0.014084507
Universidad Católica Andres Bello,29.6,28.8,,,0.027027027,0.00073046,0.027027027
Université Paris Dauphine,31.2,28.8,,,0.076923077,0.00591716,0.076923077
Ruhr-Universität Bochum,28.1,28.9,,,-0.028469751,0.000810527,0.028469751
University of Iowa,28.8,28.9,,,-0.003472222,1.20563E-05,0.003472222
University of Twente,29,28.9,,,0.003448276,1.18906E-05,0.003448276
Friedrich-Alexander-Universität Erlangen-Nürnberg,30.1,28.9,,,0.03986711,0.001589386,0.03986711
Université Paris Descartes,30.8,28.9,,,0.061688312,0.003805448,0.061688312
Universität Innsbruck,31.4,29.1,,,0.073248408,0.005365329,0.073248408
Xi’an Jiaotong University,33.5,29.1,,,0.131343284,0.017251058,0.131343284
York University,29.5,29.2,,,0.010169492,0.000103419,0.010169492
Universität Bremen,30.3,29.3,,,0.0330033,0.001089218,0.0330033
Bilkent University,28.8,29.5,,,-0.024305556,0.00059076,0.024305556
Kasetsart University,29.7,29.5,,,0.006734007,4.53468E-05,0.006734007
National Sun Yat-sen University,28.2,29.9,,,-0.060283688,0.003634123,0.060283688
Boston College,28.8,29.9,,,-0.038194444,0.001458816,0.038194444
Weizmann Institute of Science,30.4,29.9,,,0.016447368,0.000270516,0.016447368
Università Cattolica del Sacro Cuore,29.2,30.1,,,-0.030821918,0.000949991,0.030821918
National Taiwan University of Science and Technology (Taiwan Tech),33.1,30.1,,,0.090634441,0.008214602,0.090634441
Oxford Brookes University,30.9,30.3,,,0.019417476,0.000377038,0.019417476
University of Strathclyde,28.7,30.4,,,-0.059233449,0.003508602,0.059233449
Ateneo de Manila University,30.4,30.6,,,-0.006578947,4.32825E-05,0.006578947
"University of California, Santa Cruz",31.1,30.6,,,0.01607717,0.000258475,0.01607717
The University of Georgia,28.8,30.7,,,-0.065972222,0.004352334,0.065972222
Maastricht University,30.2,30.8,,,-0.01986755,0.00039472,0.01986755
Xiamen University,27.6,30.9,,,-0.119565217,0.014295841,0.119565217
The American University in Cairo,31.6,31,,,0.018987342,0.000360519,0.018987342
King Abdulaziz University (KAU),27.3,31.1,,,-0.139194139,0.019375008,0.139194139
Université Claude Bernard Lyon 1,30.6,31.2,,,-0.019607843,0.000384468,0.019607843
Laval University,29,31.3,,,-0.079310345,0.006290131,0.079310345
Universität Konstanz,33.7,31.3,,,0.071216617,0.005071807,0.071216617
Indian Institute of Technology Kharagpur (IIT-KGP),28.7,31.4,28.7,31.4,-0.094076655,0.008850417,0.094076655
Dartmouth College,31.4,31.4,,,0,0,0
Hiroshima University,34.3,31.4,,,0.084548105,0.007148382,0.084548105
Simon Fraser University,31.9,31.5,,,0.012539185,0.000157231,0.012539185
Universidad Nacional de Córdoba - UNC,33.8,31.5,,,0.068047337,0.00463044,0.068047337
Universität  Leipzig,31.2,31.6,,,-0.012820513,0.000164366,0.012820513
Sciences Po,31.4,31.6,,,-0.006369427,4.05696E-05,0.006369427
Hitotsubashi University,30.7,31.7,,,-0.03257329,0.001061019,0.03257329
Université du Québec,31.5,31.8,,,-0.00952381,9.07029E-05,0.00952381
Middle East Technical University,33.9,31.8,,,0.061946903,0.003837419,0.061946903
University of Turin,30.5,31.9,,,-0.045901639,0.00210696,0.045901639
University of Pretoria,31,31.9,,,-0.029032258,0.000842872,0.029032258
University of South Australia,28.8,32,,,-0.111111111,0.012345679,0.111111111
Université Paul Sabatier Toulouse III,33.3,32,,,0.039039039,0.001524047,0.039039039
University of Rochester,29.9,32.1,,,-0.073578595,0.00541381,0.073578595
University of Naples - Federico II,32.8,32.2,,,0.018292683,0.000334622,0.018292683
Taras Shevchenko National University of Kyiv,30.7,32.3,,,-0.052117264,0.002716209,0.052117264
Aristotle University of Thessaloniki,34.8,32.4,,,0.068965517,0.004756243,0.068965517
University of Ottawa,34.8,32.6,,,0.063218391,0.003996565,0.063218391
Nankai University,35.5,32.6,,,0.081690141,0.006673279,0.081690141
University of Turku,34.5,32.8,,,0.049275362,0.002428061,0.049275362
Washington State University,31.7,33,,,-0.041009464,0.001681776,0.041009464
University of Wollongong,31.7,33.1,,,-0.044164038,0.001950462,0.044164038
Florida State University,31.5,33.2,,,-0.053968254,0.002912572,0.053968254
Virginia Polytechnic Institute and State University,31.8,33.2,,,-0.044025157,0.001938214,0.044025157
University of Navarra,32.4,33.3,,,-0.027777778,0.000771605,0.027777778
National Chiao Tung University,33.3,33.3,,,0,0,0
Universitat de Valencia,33.2,33.5,,,-0.009036145,8.16519E-05,0.009036145
Griffith University,31.7,33.6,,,-0.059936909,0.003592433,0.059936909
Universidad de Sevilla,33.4,33.6,,,-0.005988024,3.58564E-05,0.005988024
SOAS University of London,38.4,33.7,,,0.122395833,0.01498074,0.122395833
Kobe University,31.7,33.8,,,-0.066246057,0.00438854,0.066246057
INSEAD,36.8,34.1,,,0.073369565,0.005383093,0.073369565
