University,Citations per Faculty-17,Citations per Faculty-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
Westfälische Wilhelms-Universität Münster,24.9,22.2,,,0.108433735,0.011757875,0.108433735
University of Bradford,23.1,22.3,,,0.034632035,0.001199378,0.034632035
Universitat Politècnica de Catalunya,24.1,22.3,,,0.074688797,0.005578416,0.074688797
University of Pisa,24.6,22.4,,,0.089430894,0.007997885,0.089430894
University of Antwerp,22.1,22.6,,,-0.022624434,0.000511865,0.022624434
Oklahoma State University,22.4,22.9,,,-0.022321429,0.000498246,0.022321429
Universidade de Santiago de Compostela,23.5,22.9,,,0.025531915,0.000651879,0.025531915
University of Manitoba,24.2,22.9,,,0.053719008,0.002885732,0.053719008
Brigham Young University,23.9,23.2,,,0.029288703,0.000857828,0.029288703
Umea University,24.3,23.4,,,0.037037037,0.001371742,0.037037037
New York University (NYU),28.3,23.4,,,0.173144876,0.029979148,0.173144876
Christian-Albrechts-University zu Kiel,22.6,23.5,,,-0.039823009,0.001585872,0.039823009
Colorado State University,49.5,23.5,,,0.525252525,0.275890215,0.525252525
University of New England Australia,25.3,23.6,,,0.067193676,0.00451499,0.067193676
Catania University,22.1,23.7,,,-0.07239819,0.005241498,0.07239819
Rheinische Friedrich-Wilhelms-Universität Bonn,23.5,23.7,,,-0.008510638,7.2431E-05,0.008510638
University of Tsukuba,24.9,23.8,,,0.044176707,0.001951581,0.044176707
University of Göttingen,24.3,23.9,,,0.016460905,0.000270961,0.016460905
Université de Technologie de Compiègne (UTC),25.1,23.9,,,0.047808765,0.002285678,0.047808765
Tokyo Medical and Dental University (TMDU),26.1,23.9,,,0.084291188,0.007105004,0.084291188
Université Paris-Sud,31.8,24.1,,,0.242138365,0.058630988,0.242138365
"University of Missouri, Columbia",24.7,24.2,,,0.020242915,0.000409776,0.020242915
University of Vermont,26.7,24.2,,,0.093632959,0.008767131,0.093632959
University of Calcutta,28,24.4,,,0.128571429,0.016530612,0.128571429
University of Kent,25.6,24.5,,,0.04296875,0.001846313,0.04296875
Auburn University,27.2,24.5,,,0.099264706,0.009853482,0.099264706
University of Oregon,31.5,24.5,,,0.222222222,0.049382716,0.222222222
Universidad Autónoma de Madrid,26.3,24.7,,,0.060836502,0.00370108,0.060836502
Banaras Hindu University,23.7,24.9,,,-0.050632911,0.002563692,0.050632911
University of Coimbra,31,25.3,,,0.183870968,0.033808533,0.183870968
Keele University,31.3,25.4,,,0.188498403,0.035531648,0.188498403
University of Dundee,25.2,25.7,,,-0.01984127,0.000393676,0.01984127
Universidade de São Paulo,27,25.7,,,0.048148148,0.002318244,0.048148148
University of Southern Denmark,25.5,26,,,-0.019607843,0.000384468,0.019607843
New Jersey Institute of Technology (NJIT),28.3,26,,,0.081272085,0.006605152,0.081272085
National Taipei University of Technology,31.6,26,,,0.17721519,0.031405224,0.17721519
Aix-Marseille University,22.2,26.1,,,-0.175675676,0.030861943,0.175675676
Bilkent University,30.1,26.2,,,0.129568106,0.016787894,0.129568106
Tokyo University of Science,30.1,26.4,,,0.122923588,0.015110208,0.122923588
Plymouth University,32.7,26.4,,,0.19266055,0.037118088,0.19266055
University Duesseldorf,21.6,26.5,,,-0.226851852,0.051461763,0.226851852
Technical University of Munich,28.9,26.6,,,0.079584775,0.006333736,0.079584775
Drexel University,27.6,26.7,,,0.032608696,0.001063327,0.032608696
University of Genoa,21.7,26.9,,,-0.239631336,0.057423177,0.239631336
University of Copenhagen,25,26.9,,,-0.076,0.005776,0.076
Aalborg University,27.3,26.9,,,0.014652015,0.000214682,0.014652015
Universität Rostock,47.6,26.9,,,0.43487395,0.189115352,0.43487395
University of Macau,23,27,,,-0.173913043,0.030245747,0.173913043
University of Turin,29.6,27,,,0.087837838,0.007715486,0.087837838
University of Central Florida,32,27,,,0.15625,0.024414063,0.15625
Concordia University,29.3,27.1,,,0.075085324,0.005637806,0.075085324
Binghamton University SUNY,27.8,27.2,,,0.021582734,0.000465814,0.021582734
College of William & Mary,28.2,27.2,,,0.035460993,0.001257482,0.035460993
Technische Universität Berlin (TU Berlin),30,27.2,,,0.093333333,0.008711111,0.093333333
University of Hull,30.1,27.4,,,0.089700997,0.008046269,0.089700997
Carleton University,31.3,27.4,,,0.124600639,0.015525319,0.124600639
Shinshu University,29.4,27.5,,,0.06462585,0.004176501,0.06462585
Georgetown University,31.8,27.5,,,0.135220126,0.018284482,0.135220126
Johannes Kepler University Linz,23.3,27.6,,,-0.184549356,0.034058465,0.184549356
King Fahd University of Petroleum & Minerals,31.4,27.6,,,0.121019108,0.014645625,0.121019108
Georgia State University,31.2,27.7,,,0.112179487,0.012584237,0.112179487
Université Claude Bernard Lyon 1,30.2,27.8,,,0.079470199,0.006315512,0.079470199
Université de Strasbourg,28.1,27.9,,,0.007117438,5.06579E-05,0.007117438
East China Normal University,29.2,28,,,0.04109589,0.001688872,0.04109589
Flinders University,24.9,28.3,,,-0.136546185,0.018644861,0.136546185
Syracuse University,28.9,28.3,,,0.020761246,0.000431029,0.020761246
La Trobe University,26,28.5,,,-0.096153846,0.009245562,0.096153846
Worcester Polytechnic Institute,35.5,28.7,,,0.191549296,0.036691133,0.191549296
Universität des Saarlandes,23.3,28.9,,,-0.240343348,0.057764925,0.240343348
National and Kapodistrian University of Athens,23.8,28.9,,,-0.214285714,0.045918367,0.214285714
University of Siena,22.2,29,,,-0.306306306,0.093823553,0.306306306
University of Ulsan,25.4,29.5,,,-0.161417323,0.026055552,0.161417323
Hanyang University,28.8,29.7,,,-0.03125,0.000976562,0.03125
University of Essex,47.6,29.9,,,0.371848739,0.138271485,0.371848739
Universidade Estadual de Campinas (Unicamp),33.6,30,,,0.107142857,0.011479592,0.107142857
Ryerson University,29.6,30.1,,,-0.016891892,0.000285336,0.016891892
"University of Rome ""Tor Vergata""",28.7,30.3,,,-0.055749129,0.003107965,0.055749129
Swansea University,32.2,30.3,,,0.059006211,0.003481733,0.059006211
Linköping University,28,30.4,,,-0.085714286,0.007346939,0.085714286
Laval University,31.5,30.8,,,0.022222222,0.000493827,0.022222222
University of South Carolina,38,30.8,,,0.189473684,0.035900277,0.189473684
University of Wyoming,27.8,30.9,,,-0.111510791,0.012434657,0.111510791
University of Lausanne,31.6,30.9,,,0.022151899,0.000490707,0.022151899
Sun Yat-sen University,50.1,31,,,0.381237525,0.14534205,0.381237525
Aristotle University of Thessaloniki,29.7,31.1,,,-0.047138047,0.002221995,0.047138047
University of Massachusetts - Boston,27.3,31.3,,,-0.146520147,0.021468153,0.146520147
University of New Hampshire,30.8,31.3,,,-0.016233766,0.000263535,0.016233766
