University,Employer Reputation-17,Employer Reputation-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
"University of Illinois, Chicago (UIC)",41.7,33.1,,,0.206235012,0.04253288,0.206235012
Universidad Central de Venezuela,43.9,33.1,,,0.246013667,0.060522725,0.246013667
"University of Maryland, College Park",33.4,33.2,,,0.005988024,3.58564E-05,0.005988024
Universidad Diego Portales (UDP),36.7,33.2,,,0.095367847,0.009095026,0.095367847
EBS Business School,43,33.5,,,0.220930233,0.048810168,0.220930233
University of Turku,54.8,33.6,,,0.386861314,0.149661676,0.386861314
Universidad Técnica Federico Santa María (USM),37.8,33.9,,,0.103174603,0.010644999,0.103174603
University of Notre Dame,43.7,34.1,,,0.219679634,0.048259142,0.219679634
University of Warsaw,48.1,34.1,,,0.291060291,0.084716093,0.291060291
Arizona State University,31,34.2,,,-0.103225806,0.010655567,0.103225806
Athens University of Economics and Business,39.7,34.6,,,0.128463476,0.016502865,0.128463476
University of Minnesota,40.5,34.9,,,0.138271605,0.019119037,0.138271605
Northeastern University,37.5,35.1,,,0.064,0.004096,0.064
Saint Petersburg State University,31.3,35.2,,,-0.124600639,0.015525319,0.124600639
Wageningen University,31.8,35.3,,,-0.110062893,0.01211384,0.110062893
Baylor College of Medicine,31,35.5,,,-0.14516129,0.0210718,0.14516129
University of Surrey,35.6,35.6,,,0,0,0
Griffith University,32.5,35.8,,,-0.101538462,0.010310059,0.101538462
"Kingston University, London",43.3,35.8,,,0.173210162,0.03000176,0.173210162
Universitat Pompeu Fabra,31.8,36.3,,,-0.141509434,0.02002492,0.141509434
University of Groningen,41.7,36.3,,,0.129496403,0.016769318,0.129496403
Instituto Tecnológico de Buenos Aires (ITBA),48.2,36.3,,,0.246887967,0.060953668,0.246887967
University of South Australia,41.6,36.4,,,0.125,0.015625,0.125
Universitat Politècnica de València,35.7,36.7,,,-0.028011204,0.000784628,0.028011204
Jordan University of Science & Technology,36.1,36.7,,,-0.016620499,0.000276241,0.016620499
Kobe University,30.8,36.8,,,-0.194805195,0.037949064,0.194805195
Moscow State Institute of International Relations (MGIMO University),32.1,36.9,,,-0.14953271,0.022360031,0.14953271
Universidad de San Andrés - UdeSA,47.7,36.9,,,0.226415094,0.051263795,0.226415094
George Washington University,37.8,37,,,0.021164021,0.000447916,0.021164021
"The University of Newcastle, Australia (UON)",43.2,37,,,0.143518519,0.020597565,0.143518519
Colorado State University,36.6,37.1,,,-0.013661202,0.000186628,0.013661202
University of Florida,34.8,37.5,,,-0.077586207,0.00601962,0.077586207
King Saud University,33.4,37.7,,,-0.128742515,0.016574635,0.128742515
University of Limerick,31.2,37.8,,,-0.211538462,0.044748521,0.211538462
Universidad de La Sabana,44.8,37.9,,,0.154017857,0.0237215,0.154017857
University of Antwerp,33,38,,,-0.151515152,0.022956841,0.151515152
Boston College,44.3,38.2,,,0.137697517,0.018960606,0.137697517
Technical University of Denmark,43.8,38.5,,,0.121004566,0.014642105,0.121004566
Technische Universität Braunschweig,32.4,38.6,,,-0.191358025,0.036617894,0.191358025
Sejong University,31.3,38.8,,,-0.239616613,0.057416121,0.239616613
Maastricht University,59.8,39,,,0.347826087,0.120982987,0.347826087
University of Basel,35.3,39.1,,,-0.107648725,0.011588248,0.107648725
Brigham Young University,40.3,39.2,,,0.027295285,0.000745033,0.027295285
University of Mumbai,39.6,39.3,,,0.007575758,5.73921E-05,0.007575758
Auckland University of Technology (AUT),31.1,39.5,,,-0.270096463,0.072952099,0.270096463
Universidad Externado de Colombia,47.8,39.8,,,0.167364017,0.028010714,0.167364017
