University,Faculty Student-17,Faculty Student-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
Lappeenranta University of Technology,32.9,25,,,0.240121581,0.057658373,0.240121581
Northeastern University,27.4,25.2,,,0.080291971,0.006446801,0.080291971
Ateneo de Manila University,33,25.4,,,0.23030303,0.053039486,0.23030303
Universität Bremen,33.5,25.6,,,0.235820896,0.055611495,0.235820896
University of Tampere,35.2,25.7,,,0.269886364,0.072838649,0.269886364
University of San Diego,25.3,25.8,,,-0.019762846,0.00039057,0.019762846
Universität Regensburg,28.5,26,,,0.087719298,0.007694675,0.087719298
The University of Melbourne,27.5,26.2,,,0.047272727,0.002234711,0.047272727
Chungnam National University,28.5,26.4,,,0.073684211,0.005429363,0.073684211
Universität des Saarlandes,35.5,26.4,,,0.256338028,0.065709185,0.256338028
Universidade Federal de Viçosa-UFV,35.6,26.6,,,0.252808989,0.063912385,0.252808989
Royal Holloway University of London,27.2,26.7,,,0.018382353,0.000337911,0.018382353
Universidad Torcuato Di Tella,30,26.7,,,0.11,0.0121,0.11
Universidade Federal Fluminense,35.7,26.7,,,0.25210084,0.063554834,0.25210084
University of Latvia,36.4,26.7,,,0.266483516,0.071013465,0.266483516
Temple University,28.1,27.1,,,0.035587189,0.001266448,0.035587189
UNESP,35.8,27.4,,,0.234636872,0.055054461,0.234636872
"Lingnan University, Hong Kong",27.3,27.8,,,-0.018315018,0.00033544,0.018315018
Laval University,29.1,27.8,,,0.04467354,0.001995725,0.04467354
University of Southern California,33.4,27.8,,,0.167664671,0.028111442,0.167664671
University of Johannesburg,28.6,27.9,,,0.024475524,0.000599051,0.024475524
Tallinn University of Technology,33.2,27.9,,,0.159638554,0.025484468,0.159638554
University of Washington,45.7,28,,,0.387308534,0.1500079,0.387308534
University of Bath,28.5,28.2,,,0.010526316,0.000110803,0.010526316
Brandeis University,25.7,28.4,,,-0.105058366,0.01103726,0.105058366
Université de Sherbrooke,31,28.4,,,0.083870968,0.007034339,0.083870968
The University of Adelaide,29.7,28.5,,,0.04040404,0.001632486,0.04040404
Al-Imam Muhammed Ibn Saud Islamic University,46.4,28.5,,,0.385775862,0.148823016,0.385775862
Universidad de la República (UdelaR),28.4,28.7,,,-0.01056338,0.000111585,0.01056338
Marquette University,35.4,28.7,,,0.189265537,0.035821443,0.189265537
University of Debrecen,25,28.8,,,-0.152,0.023104,0.152
University of Strathclyde,28.6,29,,,-0.013986014,0.000195609,0.013986014
"Rutgers - The State University of New Jersey, Newark",26.7,29.1,,,-0.08988764,0.008079788,0.08988764
University of Basel,29.1,29.1,,,0,0,0
University of Warsaw,35.4,29.1,,,0.177966102,0.031671933,0.177966102
University of Cincinnati,28.8,29.3,,,-0.017361111,0.000301408,0.017361111
Central Queensland University,34.6,29.3,,,0.153179191,0.023463864,0.153179191
University of South Australia,28.5,29.4,,,-0.031578947,0.00099723,0.031578947
Plekhanov Russian University of Economics,36.1,29.7,,,0.177285319,0.031430084,0.177285319
Waseda University,29.2,29.9,,,-0.023972603,0.000574686,0.023972603
American University,30.8,30,,,0.025974026,0.00067465,0.025974026
Worcester Polytechnic Institute,25.2,30.1,,,-0.194444444,0.037808642,0.194444444
Pontificia Universidad Católica de Chile (UC),28.9,30.3,,,-0.048442907,0.002346715,0.048442907
Yokohama National University,30.7,30.3,,,0.013029316,0.000169763,0.013029316
Philipps-Universität Marburg,27.7,30.4,,,-0.097472924,0.009500971,0.097472924
Michigan Technological University,34,30.4,,,0.105882353,0.011211073,0.105882353
Tianjin University,28,30.6,,,-0.092857143,0.008622449,0.092857143
Universitat de Barcelona,28.4,30.6,,,-0.077464789,0.006000793,0.077464789
Palacký University in Olomouc,29.4,30.7,,,-0.044217687,0.001955204,0.044217687
"Trinity College Dublin, The University of Dublin",39.6,30.7,,,0.224747475,0.050511427,0.224747475
Southeast University,31.8,30.8,,,0.031446541,0.000988885,0.031446541
University of Kent,32.4,30.8,,,0.049382716,0.002438653,0.049382716
The University of Queensland,33.1,30.8,,,0.069486405,0.00482836,0.069486405
University of Iowa,36,30.8,,,0.144444444,0.020864198,0.144444444
Memorial University of Newfoundland,43.4,30.8,,,0.290322581,0.084287201,0.290322581
Oregon State University,28.7,31.1,,,-0.083623693,0.006992922,0.083623693
The University of Exeter,38.6,31.1,,,0.194300518,0.037752691,0.194300518
Albert-Ludwigs-Universitaet Freiburg,39,31.2,,,0.2,0.04,0.2
Universidade de São Paulo,30.9,31.4,,,-0.01618123,0.000261832,0.01618123
Université Paul Sabatier Toulouse III,41.1,31.5,,,0.233576642,0.054558048,0.233576642
Purdue University,30.2,31.6,,,-0.046357616,0.002149029,0.046357616
University of Manitoba,42.7,31.6,,,0.259953162,0.067575646,0.259953162
National Central University,32.9,31.7,,,0.036474164,0.001330365,0.036474164
University of Sussex,33.3,31.7,,,0.048048048,0.002308615,0.048048048
Georgia Institute of Technology,48.8,31.7,,,0.350409836,0.122787053,0.350409836
Beijing Normal University,31.8,32,,,-0.006289308,3.95554E-05,0.006289308
Loyola University Chicago,32.2,32,,,0.00621118,3.85788E-05,0.00621118
Indian Institute of Technology Bombay (IITB),25,32.1,25,32.1,-0.284,0.080656,0.284
Beijing Institute of Technology,31,32.1,,,-0.035483871,0.001259105,0.035483871
Loughborough University,33.8,32.1,,,0.050295858,0.002529673,0.050295858
Universidade Federal da Bahia,44.9,32.1,,,0.285077951,0.081269438,0.285077951
Universidad Nacional de Mar del Plata,28.8,32.2,,,-0.118055556,0.013937114,0.118055556
Université de Technologie de Compiègne (UTC),28.5,32.4,,,-0.136842105,0.018725762,0.136842105
Nicolaus Copernicus University,32,32.6,,,-0.01875,0.000351563,0.01875
Universidad Panamericana (UP),50.4,32.6,,,0.353174603,0.1247323,0.353174603
University of Saskatchewan,26.7,32.8,,,-0.228464419,0.052195991,0.228464419
Kaunas University of Technology,37,32.8,,,0.113513514,0.012885318,0.113513514
University of Cape Town,26.6,32.9,,,-0.236842105,0.056094183,0.236842105
Heriot-Watt University,34.2,32.9,,,0.038011696,0.001444889,0.038011696
East China Normal University,28,33,,,-0.178571429,0.031887755,0.178571429
National Taiwan University (NTU),36,33.3,,,0.075,0.005625,0.075
Leiden University,38.7,33.7,,,0.129198966,0.016692373,0.129198966
Renmin (People's) University of China,38.8,33.9,,,0.12628866,0.015948826,0.12628866
Universidade do Estado do Rio de Janeiro (UERJ),44.9,34,,,0.242761693,0.058933239,0.242761693
Universidad de Alcalá,27.1,34.2,,,-0.26199262,0.068640133,0.26199262
Aarhus University,35,34.3,,,0.02,0.0004,0.02
University of Wyoming,37.5,34.3,,,0.085333333,0.007281778,0.085333333
Comenius University in Bratislava,37.2,34.4,,,0.075268817,0.005665395,0.075268817
Swansea University,40.1,34.4,,,0.142144638,0.020205098,0.142144638
Université Pierre et Marie Curie (UPMC),27.3,34.5,,,-0.263736264,0.069556817,0.263736264
University of Zagreb,34.4,34.5,,,-0.002906977,8.45051E-06,0.002906977
BELARUSSIAN NATIONAL TECHNICAL UNIVERSITY,38.3,34.6,,,0.096605744,0.00933267,0.096605744
University of New Hampshire,51.9,34.6,,,0.333333333,0.111111111,0.333333333
Pusan National University,36.2,34.7,,,0.041436464,0.001716981,0.041436464
Erasmus University Rotterdam,44.9,34.7,,,0.227171492,0.051606887,0.227171492
Lehigh University,32.1,34.9,,,-0.087227414,0.007608622,0.087227414
University of Calgary,29.6,35,,,-0.182432432,0.033281592,0.182432432
Rutgers University - New Brunswick,34.8,35.2,,,-0.011494253,0.000132118,0.011494253
"Stony Brook University, State University of New York",40.4,35.2,,,0.128712871,0.016567003,0.128712871
Universidade Nova de Lisboa,38.7,35.4,,,0.085271318,0.007271198,0.085271318
Maastricht University,48.2,35.4,,,0.265560166,0.070522202,0.265560166
Vilnius Gediminas Technical University,29.7,35.5,,,-0.195286195,0.038136698,0.195286195
Hong Kong Baptist University,35.9,35.6,,,0.008356546,6.98319E-05,0.008356546
University of Ljubljana,36.1,35.6,,,0.013850416,0.000191834,0.013850416
Vrije Universiteit Amsterdam,33.3,35.8,,,-0.075075075,0.005636267,0.075075075
University of Seoul,33.9,35.8,,,-0.056047198,0.003141288,0.056047198
Kazakh-British Technical University,35.7,35.8,,,-0.00280112,7.84628E-06,0.00280112
Dublin City University,36.2,35.8,,,0.011049724,0.000122096,0.011049724
North Carolina State University,29.1,36,,,-0.237113402,0.056222765,0.237113402
University of Mississippi,40.8,36,,,0.117647059,0.01384083,0.117647059
"University of California, Davis",25.6,36.1,,,-0.41015625,0.168228149,0.41015625
"University of California, Berkeley (UCB)",31.4,36.2,,,-0.152866242,0.023368088,0.152866242
"University of Illinois, Chicago (UIC)",46.8,36.2,,,0.226495726,0.051300314,0.226495726
Universidade da Coruña,30.8,36.3,,,-0.178571429,0.031887755,0.178571429
Delft University of Technology,28.3,36.7,,,-0.296819788,0.088101987,0.296819788
Shanghai Jiao Tong University,37.3,36.7,,,0.016085791,0.000258753,0.016085791
University of Tulsa,34.2,36.8,,,-0.076023392,0.005779556,0.076023392
Drexel University,40.3,36.8,,,0.086848635,0.007542685,0.086848635
Kazakh Ablai Khan University of International Relations and World Languages,42.8,36.8,,,0.140186916,0.019652371,0.140186916
The American University in Cairo,35.5,37.1,,,-0.045070423,0.002031343,0.045070423
Charles University,37.6,37.1,,,0.013297872,0.000176833,0.013297872
Zhejiang University,27,37.2,,,-0.377777778,0.142716049,0.377777778
Universidad de Costa Rica,28.8,37.2,,,-0.291666667,0.085069444,0.291666667
Baku State University,30.5,37.2,,,-0.219672131,0.048255845,0.219672131
