University,International Students-17,International Students-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
University of Cologne,28.7,21.3,,,0.257839721,0.066481322,0.257839721
Palacký University in Olomouc,21.1,21.6,,,-0.023696682,0.000561533,0.023696682
University of Granada,24.3,21.6,,,0.111111111,0.012345679,0.111111111
University of Florida,21.1,21.7,,,-0.028436019,0.000808607,0.028436019
Universidad Rey Juan Carlos,23.8,22.1,,,0.071428571,0.005102041,0.071428571
"University of Rome ""Tor Vergata""",21.1,22.2,,,-0.052132701,0.002717819,0.052132701
Maynooth University,24.1,22.3,,,0.074688797,0.005578416,0.074688797
University of Bahrain,26.1,22.6,,,0.134099617,0.017982707,0.134099617
Kent State University,21.3,22.7,,,-0.0657277,0.00432013,0.0657277
Ghent University,23,22.9,,,0.004347826,1.89036E-05,0.004347826
University of Hawai'i at Mañoa,25.8,22.9,,,0.112403101,0.012634457,0.112403101
Instituto Tecnológico y de Estudios Superiores de Monterrey,35.3,23.2,,,0.342776204,0.117495526,0.342776204
Université de Nantes,24.4,23.3,,,0.045081967,0.002032384,0.045081967
Virginia Polytechnic Institute and State University,21.4,23.4,,,-0.093457944,0.008734387,0.093457944
Universidade Nova de Lisboa,26.6,23.5,,,0.116541353,0.013581887,0.116541353
Wayne State University,21.5,23.6,,,-0.097674419,0.009540292,0.097674419
Iowa State University,29.1,23.7,,,0.18556701,0.034435115,0.18556701
University of Houston,26.3,23.8,,,0.095057034,0.00903584,0.095057034
Abo Akademi University,46,23.9,,,0.480434783,0.23081758,0.480434783
Johannes Kepler University Linz,21.6,24,,,-0.111111111,0.012345679,0.111111111
The Katz School at Yeshiva University,24.7,24.2,,,0.020242915,0.000409776,0.020242915
Tongji University,26.8,24.2,,,0.097014925,0.009411896,0.097014925
Tokyo Institute of Technology,26.3,24.4,,,0.072243346,0.005219101,0.072243346
King Khalid University,27.1,24.5,,,0.095940959,0.009204668,0.095940959
Johannes Gutenberg Universität Mainz,26.1,24.6,,,0.057471264,0.003302946,0.057471264
University of Minnesota,26.3,24.6,,,0.064638783,0.004178172,0.064638783
École Normale Supérieure de Lyon,27.6,24.6,,,0.108695652,0.011814745,0.108695652
Université de Rennes 1,23.5,25.1,,,-0.068085106,0.004635582,0.068085106
Université Paris Descartes,53.2,25.1,,,0.528195489,0.278990474,0.528195489
University of Pittsburgh,25.7,25.2,,,0.019455253,0.000378507,0.019455253
Belarusian State University,22.9,25.5,,,-0.113537118,0.012890677,0.113537118
Queen's University at Kingston,25.6,25.6,,,0,0,0
Tsinghua University,28.1,25.6,,,0.088967972,0.0079153,0.088967972
University of Delaware,27.9,25.8,,,0.075268817,0.005665395,0.075268817
Tulane University,25.2,25.9,,,-0.027777778,0.000771605,0.027777778
University of Connecticut,24.3,26.1,,,-0.074074074,0.005486968,0.074074074
Indiana University Bloomington,26.3,26.1,,,0.007604563,5.78294E-05,0.007604563
Rutgers University - New Brunswick,27.1,26.4,,,0.025830258,0.000667202,0.025830258
University of Copenhagen,31.3,26.5,,,0.153354633,0.023517643,0.153354633
Universität Hamburg,27.1,26.6,,,0.018450185,0.000340409,0.018450185
National Cheng Kung University (NCKU),27.7,26.7,,,0.036101083,0.001303288,0.036101083
Leibniz Universität Hannover,26.6,26.9,,,-0.011278195,0.000127198,0.011278195
Friedrich-Alexander-Universität Erlangen-Nürnberg,27.2,27.4,,,-0.007352941,5.40657E-05,0.007352941
Universiti Sains Malaysia (USM),25.8,27.5,,,-0.065891473,0.004341686,0.065891473
Hitotsubashi University,28.8,27.5,,,0.045138889,0.002037519,0.045138889
Sungkyunkwan University (SKKU),23.1,27.6,,,-0.194805195,0.037949064,0.194805195
University of Salamanca,27.7,27.6,,,0.003610108,1.30329E-05,0.003610108
Oregon State University,28.5,28.1,,,0.014035088,0.000196984,0.014035088
Philipps-Universität Marburg,25.8,28.2,,,-0.093023256,0.008653326,0.093023256
Bocconi University,31,28.2,,,0.090322581,0.008158169,0.090322581
Kyung Hee University,37.3,28.3,,,0.241286863,0.05821935,0.241286863
National Taiwan University of Science and Technology (Taiwan Tech),26.9,28.5,,,-0.059479554,0.003537817,0.059479554
Saint Petersburg State University,26.4,28.6,,,-0.083333333,0.006944444,0.083333333
Universitat Autònoma de Barcelona,28,28.6,,,-0.021428571,0.000459184,0.021428571
Dongguk University,25.3,28.9,,,-0.14229249,0.020247153,0.14229249
University of Tromsø The Arctic University of Norway,29.9,29,,,0.030100334,0.00090603,0.030100334
Universität  Leipzig,31.9,29,,,0.090909091,0.008264463,0.090909091
University of Iowa,33.4,29.1,,,0.128742515,0.016574635,0.128742515
Al-Imam Muhammed Ibn Saud Islamic University,32,29.5,,,0.078125,0.006103516,0.078125
Vilnius Gediminas Technical University,23.2,29.6,,,-0.275862069,0.076099881,0.275862069
University of Göttingen,32.3,29.6,,,0.083591331,0.006987511,0.083591331
University of Nebraska-Lincoln,30.6,30,,,0.019607843,0.000384468,0.019607843
Université de Cergy-Pontoise,33.1,30.2,,,0.087613293,0.007676089,0.087613293
Universität Jena,33.2,30.3,,,0.087349398,0.007629917,0.087349398
Universitat Politècnica de Catalunya,33,30.7,,,0.06969697,0.004857668,0.06969697
University of Wisconsin-Madison,33.1,30.9,,,0.066465257,0.00441763,0.066465257
Rheinische Friedrich-Wilhelms-Universität Bonn,34.1,31.2,,,0.085043988,0.00723248,0.085043988
Baylor College of Medicine,38.8,31.3,,,0.193298969,0.037364491,0.193298969
