University,OVERALL SCORE-17,OVERALL SCORE-18,,,(B2-C2)/B2,(D2)^2,,ABS(D2)
The American University in Cairo,32.2,30.7,,,0.046583851,0.002170055,,0.046583851
"University of Colorado, Denver",31.5,30.8,,,0.022222222,0.000493827,,0.022222222
Dublin City University,31.3,31,,,0.009584665,9.18658E-05,,0.009584665
National Sun Yat-sen University,30.5,31.2,,,-0.02295082,0.00052674,,0.02295082
National Research Tomsk Polytechnic University,30.3,31.3,,,-0.0330033,0.001089218,,0.0330033
University of Kansas,31.7,31.3,,,0.012618297,0.000159221,,0.012618297
Universität Konstanz,33.2,31.5,,,0.051204819,0.002621934,,0.051204819
University of Southern Denmark,30.7,31.6,,,-0.029315961,0.000859426,,0.029315961
"Stony Brook University, State University of New York",30.7,31.9,,,-0.039087948,0.001527868,,0.039087948
Université de Montpellier,34.8,32,,,0.08045977,0.006473775,,0.08045977
Tampere University of Technology,35.5,32.1,,,0.095774648,0.009172783,,0.095774648
Aalborg University,31.5,32.2,,,-0.022222222,0.000493827,,0.022222222
Laval University,31.8,32.4,,,-0.018867925,0.000355999,,0.018867925
University of Kent,32.1,32.5,,,-0.012461059,0.000155278,,0.012461059
Aston University,32.7,32.5,,,0.006116208,3.7408E-05,,0.006116208
Moscow State Institute of International Relations (MGIMO University),33.4,32.5,,,0.026946108,0.000726093,,0.026946108
University of St.Gallen (HSG),37.4,32.8,,,0.122994652,0.015127685,,0.122994652
University of Tromsø The Arctic University of Norway,31.4,32.9,,,-0.047770701,0.00228204,,0.047770701
University of the Philippines,31.5,32.9,,,-0.044444444,0.001975309,,0.044444444
Virginia Polytechnic Institute and State University,32.4,32.9,,,-0.015432099,0.00023815,,0.015432099
James Cook University,34.1,32.9,,,0.035190616,0.001238379,,0.035190616
Tokyo Medical and Dental University (TMDU),34.7,32.9,,,0.051873199,0.002690829,,0.051873199
University of the Witwatersrand,32.6,33,,,-0.012269939,0.000150551,,0.012269939
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires (UCA),36,33,,,0.083333333,0.006944444,,0.083333333
Rensselaer Polytechnic Institute,36,33,,,0.083333333,0.006944444,,0.083333333
Stellenbosch University,30.5,33.1,,,-0.085245902,0.007266864,,0.085245902
Universidade Nova de Lisboa,32.1,33.1,,,-0.031152648,0.000970487,,0.031152648
Oxford Brookes University,32.6,33.1,,,-0.015337423,0.000235237,,0.015337423
La Trobe University,30.9,33.2,,,-0.074433657,0.005540369,,0.074433657
University Ulm,33.6,33.3,,,0.008928571,7.97194E-05,,0.008928571
University of Jyväskylä,34.2,33.3,,,0.026315789,0.000692521,,0.026315789
Tilburg University,34.6,33.3,,,0.037572254,0.001411674,,0.037572254
Université Paris Dauphine,32.8,33.4,,,-0.018292683,0.000334622,,0.018292683
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),33.4,33.4,,,0,0,,0
George Washington University,32.3,33.5,,,-0.037151703,0.001380249,,0.037151703
University of Essex,34.6,33.5,,,0.031791908,0.001010725,,0.031791908
Ben Gurion University of The Negev,35.4,33.5,,,0.053672316,0.002880718,,0.053672316
Kobe University,32,33.6,,,-0.05,0.0025,,0.05
Qatar University,30.6,33.8,,,-0.104575163,0.010935965,,0.104575163
Northeastern University,32.4,33.9,,,-0.046296296,0.002143347,,0.046296296
Brunel University London,33.8,33.9,,,-0.00295858,8.75319E-06,,0.00295858
University of Victoria,35,33.9,,,0.031428571,0.000987755,,0.031428571
Xi’an Jiaotong University,35.6,34,,,0.04494382,0.002019947,,0.04494382
Nankai University,35.7,34,,,0.047619048,0.002267574,,0.047619048
"City, University of London",35.8,34.2,,,0.044692737,0.001997441,,0.044692737
Universität Jena,32.3,34.6,,,-0.07120743,0.005070498,,0.07120743
University of Hawai'i at Mañoa,33.9,34.6,,,-0.020648968,0.00042638,,0.020648968
Gwangju Institute of Science and Technology (GIST),34.3,34.7,,,-0.011661808,0.000135998,,0.011661808
Boston College,36.9,34.7,,,0.059620596,0.003554615,,0.059620596
Umea University,37.2,34.8,,,0.064516129,0.004162331,,0.064516129
Universidad de Belgrano,33.2,34.9,,,-0.051204819,0.002621934,,0.051204819
L.N. Gumilyov Eurasian National University (ENU),33.8,35,,,-0.035502959,0.00126046,,0.035502959
Belarusian State University,33,35.1,,,-0.063636364,0.004049587,,0.063636364
Mahidol University,37.6,35.1,,,0.066489362,0.004420835,,0.066489362
University of Cologne,33.6,35.3,,,-0.050595238,0.002559878,,0.050595238
Universidad Austral,36.2,35.3,,,0.024861878,0.000618113,,0.024861878
Ecole Normale Supérieure de Cachan,39.2,35.4,,,0.096938776,0.009397126,,0.096938776
National Yang Ming University,36.2,35.5,,,0.019337017,0.00037392,,0.019337017
University of Milan,31.9,35.6,,,-0.115987461,0.013453091,,0.115987461
Griffith University,34.4,35.6,,,-0.034883721,0.001216874,,0.034883721
The Katz School at Yeshiva University,34.6,35.6,,,-0.028901734,0.00083531,,0.028901734
Harbin Institute of Technology,37.9,35.6,,,0.060686016,0.003682793,,0.060686016
Tomsk State University,31.4,35.7,,,-0.136942675,0.018753296,,0.136942675
"University of California, Riverside",38.7,35.7,,,0.07751938,0.006009254,,0.07751938
Hiroshima University,37,35.8,,,0.032432432,0.001051863,,0.032432432
Lincoln University,33.9,35.9,,,-0.05899705,0.003480652,,0.05899705
Université de Liège,35.7,35.9,,,-0.005602241,3.13851E-05,,0.005602241
Sun Yat-sen University,37,35.9,,,0.02972973,0.000883857,,0.02972973
University at Buffalo SUNY,34,36.1,,,-0.061764706,0.003814879,,0.061764706
Massey University,34.1,36.2,,,-0.061583578,0.003792537,,0.061583578
Tongji University,35.7,36.2,,,-0.014005602,0.000196157,,0.014005602
University of Tartu,33.6,36.3,,,-0.080357143,0.00645727,,0.080357143
Charles University,36.7,36.3,,,0.010899183,0.000118792,,0.010899183
University of Tasmania,31.9,36.5,,,-0.144200627,0.020793821,,0.144200627
Heriot-Watt University,34.8,36.6,,,-0.051724138,0.002675386,,0.051724138
Universidade Federal do Rio de Janeiro,35.3,36.7,,,-0.039660057,0.00157292,,0.039660057
Indian Institute of Technology Kharagpur (IIT-KGP),35.9,36.9,35.9,36.9,-0.027855153,0.00077591,,0.027855153
Westfälische Wilhelms-Universität Münster,37.2,36.9,,,0.008064516,6.50364E-05,,0.008064516
"Birkbeck, University of London",37.8,36.9,,,0.023809524,0.000566893,,0.023809524
Politecnico di Torino,36.4,37,,,-0.016483516,0.000271706,,0.016483516
University of Lisbon,34.6,37.3,,,-0.078034682,0.006089412,,0.078034682
Université Paris Diderot - Paris 7,39.4,37.3,,,0.053299492,0.002840836,,0.053299492
Indiana University Bloomington,37.3,37.4,,,-0.002680965,7.18757E-06,,0.002680965
Université de Strasbourg,39.6,37.5,,,0.053030303,0.002812213,,0.053030303
University of Porto,35.2,37.6,,,-0.068181818,0.00464876,,0.068181818
"University of California, Santa Cruz",37.1,37.6,,,-0.013477089,0.000181632,,0.013477089
Ewha Womans University,34.5,37.7,,,-0.092753623,0.008603235,,0.092753623
Hong Kong Baptist University,37.9,37.7,,,0.005277045,2.78472E-05,,0.005277045
Università di Padova,34.2,37.8,,,-0.105263158,0.011080332,,0.105263158
Universitat Pompeu Fabra,37.6,37.8,,,-0.005319149,2.82933E-05,,0.005319149
SOAS University of London,40.6,37.8,,,0.068965517,0.004756243,,0.068965517
Deakin University,32.9,37.9,,,-0.151975684,0.023096608,,0.151975684
Indian Institute of Technology Kanpur (IITK),36.7,37.9,36.7,37.9,-0.032697548,0.00106913,,0.032697548
Université Paris-Sorbonne (Paris IV),44.4,37.9,,,0.146396396,0.021431905,,0.146396396
University of Waikato,35.1,38.1,,,-0.085470085,0.007305136,,0.085470085
Bauman Moscow State Technical University,36.3,38.2,,,-0.052341598,0.002739643,,0.052341598
National Taiwan Normal University,36,38.3,,,-0.063888889,0.00408179,,0.063888889
University of Ottawa,37.3,38.3,,,-0.026809651,0.000718757,,0.026809651
Linköping University,37.7,38.4,,,-0.018567639,0.000344757,,0.018567639
Friedrich-Alexander-Universität Erlangen-Nürnberg,38.5,38.4,,,0.002597403,6.7465E-06,,0.002597403
Universität Innsbruck,36.9,38.5,,,-0.043360434,0.001880127,,0.043360434
Rutgers University - New Brunswick,36.8,38.6,,,-0.048913043,0.002392486,,0.048913043
University College Cork,37.6,38.6,,,-0.026595745,0.000707334,,0.026595745
University of Gothenburg,39.2,38.6,,,0.015306122,0.000234277,,0.015306122
Wuhan University,38.2,38.8,,,-0.015706806,0.000246704,,0.015706806
Universidad Carlos III de Madrid (UC3M),37.8,38.9,,,-0.029100529,0.000846841,,0.029100529
University of South Australia,37.4,39.1,,,-0.045454545,0.002066116,,0.045454545
Dalhousie University,37.6,39.1,,,-0.039893617,0.001591501,,0.039893617
Universitas Indonesia,35,39.2,,,-0.12,0.0144,,0.12
University of Strathclyde,38.5,39.2,,,-0.018181818,0.000330579,,0.018181818
University of Turku,42.7,39.3,,,0.079625293,0.006340187,,0.079625293
Universitat Politècnica de Catalunya,35.3,39.4,,,-0.116147309,0.013490197,,0.116147309
University of East Anglia (UEA),40.6,39.5,,,0.027093596,0.000734063,,0.027093596
University of Surrey,39.5,39.6,,,-0.002531646,6.40923E-06,,0.002531646
Technische Universität Darmstadt,41.2,39.6,,,0.038834951,0.001508153,,0.038834951
Ecole des Ponts ParisTech,39.1,39.8,,,-0.017902813,0.000320511,,0.017902813
University of Navarra,41.3,39.8,,,0.036319613,0.001319114,,0.036319613
Université Paris 1 Panthéon-Sorbonne,43.3,40,,,0.076212471,0.005808341,,0.076212471
King Abdulaziz University (KAU),37.6,40.1,,,-0.066489362,0.004420835,,0.066489362
University of Dundee,41.6,40.1,,,0.036057692,0.001300157,,0.036057692
Universiti Sains Malaysia (USM),34.6,40.2,,,-0.161849711,0.026195329,,0.161849711
Indian Institute of Technology Madras (IITM),41,40.2,41,40.2,0.019512195,0.000380726,,0.019512195
National Taiwan University of Science and Technology (Taiwan Tech),41.7,40.2,,,0.035971223,0.001293929,,0.035971223
North Carolina State University,38,40.3,,,-0.060526316,0.003663435,,0.060526316
Curtin University,36.3,40.4,,,-0.112947658,0.012757174,,0.112947658
Universität Stuttgart,39.3,40.5,,,-0.030534351,0.000932347,,0.030534351
Norwegian University of Science And Technology,39.8,40.5,,,-0.01758794,0.000309336,,0.01758794
Royal Holloway University of London,42.6,40.5,,,0.049295775,0.002430073,,0.049295775
Universidad de los Andes,38.5,40.6,,,-0.054545455,0.002975207,,0.054545455
Kyung Hee University,39.2,40.6,,,-0.035714286,0.00127551,,0.035714286
Beijing Normal University,40.4,40.6,,,-0.004950495,2.45074E-05,,0.004950495
Universidad Nacional de Colombia,38.9,40.9,,,-0.051413882,0.002643387,,0.051413882
Universität Frankfurt am Main,39.2,40.9,,,-0.043367347,0.001880727,,0.043367347
Universiti Teknologi Malaysia,37.4,41.1,,,-0.098930481,0.00978724,,0.098930481
University of Miami,40.6,41.2,,,-0.014778325,0.000218399,,0.014778325
Novosibirsk State University,37.3,41.3,,,-0.107238606,0.011500119,,0.107238606
University of Tsukuba,43.8,41.3,,,0.057077626,0.003257855,,0.057077626
University of Massachusetts Amherst,40.8,41.5,,,-0.017156863,0.000294358,,0.017156863
Queensland University of Technology (QUT),38.1,41.6,,,-0.091863517,0.008438906,,0.091863517
RMIT University,40.6,41.6,,,-0.024630542,0.000606664,,0.024630542
Chulalongkorn University,40.6,41.8,,,-0.02955665,0.000873596,,0.02955665
Simon Fraser University,43.6,41.8,,,0.041284404,0.001704402,,0.041284404
National University of Ireland Galway,41,42,,,-0.024390244,0.000594884,,0.024390244
Tufts University,42.2,42,,,0.004739336,2.24613E-05,,0.004739336
Université Paris-Sud,42,42.3,,,-0.007142857,5.10204E-05,,0.007142857
Saint Petersburg State University,40.1,42.5,,,-0.059850374,0.003582067,,0.059850374
Macquarie University,41.2,42.5,,,-0.031553398,0.000995617,,0.031553398
Rheinische Friedrich-Wilhelms-Universität Bonn,43,42.6,,,0.009302326,8.65333E-05,,0.009302326
University of Leicester,42.1,42.8,,,-0.016627078,0.00027646,,0.016627078
Al-Farabi Kazakh National University,42.5,42.9,,,-0.009411765,8.85813E-05,,0.009411765
Université Grenoble-Alpes,46.1,42.9,,,0.069414317,0.004818347,,0.069414317
American University of Beirut (AUB),43.3,43,,,0.006928406,4.80028E-05,,0.006928406
Loughborough University,42.3,43.1,,,-0.01891253,0.000357684,,0.01891253
University Complutense Madrid,42.1,43.2,,,-0.026128266,0.000682686,,0.026128266
University of Wollongong,44.7,43.3,,,0.031319911,0.000980937,,0.031319911
Universiti Kebangsaan Malaysia (UKM),36.7,43.4,,,-0.182561308,0.033328631,,0.182561308
The University of Arizona,42.8,43.4,,,-0.014018692,0.000196524,,0.014018692
Universiti Putra Malaysia (UPM),38.8,43.6,,,-0.12371134,0.015304496,,0.12371134
University of Sussex,48.4,43.7,,,0.097107438,0.009429855,,0.097107438
Georgetown University,45.4,43.8,,,0.035242291,0.001242019,,0.035242291
"The University of Newcastle, Australia (UON)",41.3,44,,,-0.065375303,0.00427393,,0.065375303
Queen's University at Kingston,44,44,,,0,0,,0
Technion - Israel Institute of Technology,45.5,44,,,0.032967033,0.001086825,,0.032967033
Universität Hamburg,42.9,44.2,,,-0.03030303,0.000918274,,0.03030303
National Cheng Kung University (NCKU),42,44.3,,,-0.054761905,0.002998866,,0.054761905
King Saud University,43.4,44.5,,,-0.025345622,0.000642401,,0.025345622
Sciences Po,44.5,45.2,,,-0.015730337,0.000247444,,0.015730337
Victoria University of Wellington,43.3,45.5,,,-0.050808314,0.002581485,,0.050808314
Vrije Universiteit Amsterdam,46.8,45.6,,,0.025641026,0.000657462,,0.025641026
University of Calgary,47.2,45.8,,,0.029661017,0.000879776,,0.029661017
