University,RANK2017,RANK2018,,,(B2-C2)/B2,(D2)^2,,ABS(D2)
Massachusetts Institute of Technology (MIT),1,1,,,0,0,,0
Stanford University,2,2,,,0,0,,0
Harvard University,3,3,,,0,0,,0
California Institute of Technology (Caltech),5,4,,,0.2,0.04,,0.2
University of Cambridge,4,5,,,-0.25,0.0625,,0.25
University of Oxford,6,6,,,0,0,,0
UCL (University College London),7,7,,,0,0,,0
Imperial College London,9,8,,,0.111111111,0.012345679,,0.111111111
University of Chicago,10,9,,,0.1,0.01,,0.1
ETH Zurich - Swiss Federal Institute of Technology,8,10,,,-0.25,0.0625,,0.25
"Nanyang Technological University, Singapore (NTU)",13,11,,,0.153846154,0.023668639,,0.153846154
Ecole Polytechnique Fédérale de Lausanne (EPFL),14,12,,,0.142857143,0.020408163,,0.142857143
Princeton University,11,13,,,-0.181818182,0.033057851,,0.181818182
Cornell University,16,14,,,0.125,0.015625,,0.125
National University of Singapore (NUS),12,15,,,-0.25,0.0625,,0.25
Yale University,15,16,,,-0.066666667,0.004444444,,0.066666667
Johns Hopkins University,17,17,,,0,0,,0
Columbia University,20,18,,,0.1,0.01,,0.1
University of Pennsylvania,18,19,,,-0.055555556,0.00308642,,0.055555556
The Australian National University,22,20,,,0.090909091,0.008264463,,0.090909091
University of Michigan,23,21,,,0.086956522,0.007561437,,0.086956522
Duke University,24,21,,,0.125,0.015625,,0.125
The University of Edinburgh,19,23,,,-0.210526316,0.04432133,,0.210526316
King's College London,21,23,,,-0.095238095,0.009070295,,0.095238095
Tsinghua University,24,25,,,-0.041666667,0.001736111,,0.041666667
The University of Hong Kong,27,26,,,0.037037037,0.001371742,,0.037037037
"University of California, Berkeley (UCB)",28,27,,,0.035714286,0.00127551,,0.035714286
Northwestern University,26,28,,,-0.076923077,0.00591716,,0.076923077
The University of Tokyo,34,28,,,0.176470588,0.031141869,,0.176470588
The Hong Kong University of Science and Technology,36,30,,,0.166666667,0.027777778,,0.166666667
University of Toronto,32,31,,,0.03125,0.000976563,,0.03125
McGill University,30,32,,,-0.066666667,0.004444444,,0.066666667
"University of California, Los Angeles (UCLA)",31,33,,,-0.064516129,0.004162331,,0.064516129
The University of Manchester,29,34,,,-0.172413793,0.029726516,,0.172413793
London School of Economics and Political Science (LSE),37,35,,,0.054054054,0.002921841,,0.054054054
Seoul National University,35,36,,,-0.028571429,0.000816327,,0.028571429
Kyoto University,37,36,,,0.027027027,0.00073046,,0.027027027
Peking University,39,38,,,0.025641026,0.000657462,,0.025641026
"University of California, San Diego (UCSD)",40,38,,,0.05,0.0025,,0.05
Fudan University,43,40,,,0.069767442,0.004867496,,0.069767442
The University of Melbourne,42,41,,,0.023809524,0.000566893,,0.023809524
KAIST - Korea Advanced Institute of Science & Technology,46,41,,,0.108695652,0.011814745,,0.108695652
"Ecole normale supérieure, Paris",33,43,,,-0.303030303,0.091827365,,0.303030303
University of Bristol,41,44,,,-0.073170732,0.005353956,,0.073170732
The University of New South Wales (UNSW Sydney),49,45,,,0.081632653,0.00666389,,0.081632653
The Chinese University of Hong Kong (CUHK),44,46,,,-0.045454545,0.002066116,,0.045454545
The University of Queensland,51,47,,,0.078431373,0.00615148,,0.078431373
Carnegie Mellon University,58,47,,,0.189655172,0.035969084,,0.189655172
City University of Hong Kong,55,49,,,0.109090909,0.011900826,,0.109090909
The University of Sydney,46,50,,,-0.086956522,0.007561437,,0.086956522
University of British Columbia,45,51,,,-0.133333333,0.017777778,,0.133333333
New York University (NYU),46,52,,,-0.130434783,0.017013233,,0.130434783
Brown University,49,53,,,-0.081632653,0.00666389,,0.081632653
Delft University of Technology,62,54,,,0.129032258,0.016649324,,0.129032258
University of Wisconsin-Madison,53,55,,,-0.037735849,0.001423994,,0.037735849
Tokyo Institute of Technology,56,56,,,0,0,,0
The University of Warwick,51,57,,,-0.117647059,0.01384083,,0.117647059
University of Amsterdam,57,58,,,-0.01754386,0.000307787,,0.01754386
Ecole Polytechnique,53,59,,,-0.113207547,0.012815949,,0.113207547
Monash University,65,60,,,0.076923077,0.00591716,,0.076923077
University of Washington,59,61,,,-0.033898305,0.001149095,,0.033898305
Shanghai Jiao Tong University,61,62,,,-0.016393443,0.000268745,,0.016393443
Osaka University,63,63,,,0,0,,0
Technical University of Munich,60,64,,,-0.066666667,0.004444444,,0.066666667
University of Glasgow,63,65,,,-0.031746032,0.001007811,,0.031746032
Ludwig-Maximilians-Universität München,68,66,,,0.029411765,0.000865052,,0.029411765
University of Texas at Austin,67,67,,,0,0,,0
Ruprecht-Karls-Universitaet Heidelberg,72,68,,,0.055555556,0.00308642,,0.055555556
University of Illinois at Urbana-Champaign,66,69,,,-0.045454545,0.002066116,,0.045454545
Georgia Institute of Technology,71,70,,,0.014084507,0.000198373,,0.014084507
KU Leuven,79,71,,,0.101265823,0.010254767,,0.101265823
Pohang University of Science And Technology (POSTECH),83,71,,,0.144578313,0.020902889,,0.144578313
University of Copenhagen,68,73,,,-0.073529412,0.005406574,,0.073529412
University of Zurich,80,73,,,0.0875,0.00765625,,0.0875
Universidad de Buenos Aires (UBA),85,75,,,0.117647059,0.01384083,,0.117647059
National Taiwan University (NTU),68,76,,,-0.117647059,0.01384083,,0.117647059
Tohoku University,75,76,,,-0.013333333,0.000177778,,0.013333333
Lund University,73,78,,,-0.068493151,0.004691312,,0.068493151
Durham University,74,78,,,-0.054054054,0.002921841,,0.054054054
"University of North Carolina, Chapel Hill",78,80,,,-0.025641026,0.000657462,,0.025641026
Boston University,89,81,,,0.08988764,0.008079788,,0.08988764
The University of Auckland,81,82,,,-0.012345679,0.000152416,,0.012345679
The University of Sheffield,84,82,,,0.023809524,0.000566893,,0.023809524
The University of Nottingham,75,84,,,-0.12,0.0144,,0.12
University of Birmingham,82,84,,,-0.024390244,0.000594884,,0.024390244
The Ohio State University,88,86,,,0.022727273,0.000516529,,0.022727273
Zhejiang University,110,87,,,0.209090909,0.043719008,,0.209090909
"Trinity College Dublin, The University of Dublin",98,88,,,0.102040816,0.010412328,,0.102040816
