University,HiCi-16,HiCi-17,,,,,,,
Harvard University,100,100,,,0,0,0,,0
Stanford University,80.1,87.3,,,-7.2,-0.0898876404,0.0080797879,,0.0898876404
"University of California, Berkeley",64.9,63.6,,,1.3,0.0200308166,0.0004012336,,0.0200308166
"University of California, Los Angeles",58,63.6,,,-5.6,-0.0965517241,0.0093222354,,0.0965517241
University of Oxford,56.2,62.7,,,-6.5,-0.115658363,0.0133768569,,0.115658363
Duke University,57.1,61.7,,,-4.6,-0.0805604203,0.0064899813,,0.0805604203
Washington University in St. Louis,51.3,60.7,,,-9.4,-0.1832358674,0.0335753831,,0.1832358674
Northwestern University,54.3,59.8,,,-5.5,-0.1012891344,0.0102594888,,0.1012891344
"University of California, San Diego",49.2,58.8,,,-9.6,-0.1951219512,0.0380725758,,0.1951219512
Massachusetts Institute of Technology (MIT),55.3,56.7,,,-1.4,-0.0253164557,0.0006409229,,0.0253164557
University of Washington,49.2,56.7,,,-7.5,-0.1524390244,0.0232376562,,0.1524390244
Mayo Medical School,48.1,55.6,,,-7.5,-0.1559251559,0.0243126543,,0.1559251559
University of Cambridge,51.3,54.6,,,-3.3,-0.0643274854,0.0041380254,,0.0643274854
University of Michigan-Ann Arbor,51.3,54.6,,,-3.3,-0.0643274854,0.0041380254,,0.0643274854
Erasmus University,27.1,54.6,,,-27.5,-1.0147601476,1.0297381572,,1.0147601476
King Abdulaziz University,52.3,52.3,,,0,0,0,,0
University of Pennsylvania,42.3,50,,,-7.7,-0.1820330969,0.0331360484,,0.1820330969
Columbia University,41,50,,,-9,-0.2195121951,0.0481856038,,0.2195121951
Yale University,44.7,48.8,,,-4.1,-0.0917225951,0.0084130344,,0.0917225951
Princeton University,51.3,47.6,,,3.7,0.0721247563,0.0052019805,,0.0721247563
"University of California, Santa Cruz",47,47.6,,,-0.6,-0.0127659574,0.0001629697,,0.0127659574
University of British Columbia,42.3,47.6,,,-5.3,-0.1252955083,0.0156989644,,0.1252955083
University College London,39.7,47.6,,,-7.9,-0.1989924433,0.0395979925,,0.1989924433
The University of Edinburgh,32.4,46.3,,,-13.9,-0.4290123457,0.1840515927,,0.4290123457
King Saud University,42.3,45,,,-2.7,-0.0638297872,0.0040742417,,0.0638297872
Icahn School of Medicine at Mount Sinai,38.4,45,,,-6.6,-0.171875,0.0295410156,,0.171875
The University of Melbourne,35.5,45,,,-9.5,-0.2676056338,0.0716127752,,0.2676056338
Cornell University,41,43.6,,,-2.6,-0.0634146341,0.0040214158,,0.0634146341
University of North Carolina at Chapel Hill,39.7,42.3,,,-2.6,-0.0654911839,0.0042890952,,0.0654911839
"University of Pittsburgh, Pittsburgh Campus",38.4,42.3,,,-3.9,-0.1015625,0.0103149414,,0.1015625
McMaster University,32.4,42.3,,,-9.9,-0.3055555556,0.0933641975,,0.3055555556
Johns Hopkins University,38.4,40.8,,,-2.4,-0.0625,0.00390625,,0.0625
Georgia Institute of Technology,37,40.8,,,-3.8,-0.1027027027,0.0105478451,,0.1027027027
The University of Queensland,34,40.8,,,-6.8,-0.2,0.04,,0.2
University of Toronto,32.4,40.8,,,-8.4,-0.2592592593,0.0672153635,,0.2592592593
Utrecht University,22.9,40.8,,,-17.9,-0.7816593886,0.6109913999,,0.7816593886
California Institute of Technology,39.7,39.3,,,0.4,0.0100755668,0.000101517,,0.0100755668
"University of Minnesota, Twin Cities",39.7,39.3,,,0.4,0.0100755668,0.000101517,,0.0100755668
"University of California, San Francisco",37,39.3,,,-2.3,-0.0621621622,0.0038641344,,0.0621621622
Rice University,35.5,39.3,,,-3.8,-0.1070422535,0.011458044,,0.1070422535
King's College London,34,39.3,,,-5.3,-0.1558823529,0.024299308,,0.1558823529
Swiss Federal Institute of Technology Lausanne,32.4,39.3,,,-6.9,-0.212962963,0.0453532236,,0.212962963
Monash University,34,37.8,,,-3.8,-0.1117647059,0.0124913495,,0.1117647059
Nanyang Technological University,34,37.8,,,-3.8,-0.1117647059,0.0124913495,,0.1117647059
Tsinghua University,27.1,37.8,,,-10.7,-0.3948339483,0.1558938468,,0.3948339483
Swiss Federal Institute of Technology Zurich,35.5,36.2,,,-0.7,-0.0197183099,0.0003888117,,0.0197183099
University of Southern California,35.5,36.2,,,-0.7,-0.0197183099,0.0003888117,,0.0197183099
The University of Texas M. D. Anderson Cancer Center,35.5,36.2,,,-0.7,-0.0197183099,0.0003888117,,0.0197183099
University of Chicago,34,36.2,,,-2.2,-0.0647058824,0.0041868512,,0.0647058824
The Ohio State University - Columbus,32.4,36.2,,,-3.8,-0.1172839506,0.0137555251,,0.1172839506
VU University Amsterdam,32.4,36.2,,,-3.8,-0.1172839506,0.0137555251,,0.1172839506
Cardiff University,30.8,36.2,,,-5.4,-0.1753246753,0.0307387418,,0.1753246753
Vanderbilt University,25.1,36.2,,,-11.1,-0.4422310757,0.1955683243,,0.4422310757
New York University,32.4,34.5,,,-2.1,-0.0648148148,0.0042009602,,0.0648148148
University of Copenhagen,32.4,34.5,,,-2.1,-0.0648148148,0.0042009602,,0.0648148148
The University of Hong Kong,32.4,34.5,,,-2.1,-0.0648148148,0.0042009602,,0.0648148148
University of Wisconsin - Madison,30.8,34.5,,,-3.7,-0.1201298701,0.0144311857,,0.1201298701
KU Leuven,29,34.5,,,-5.5,-0.1896551724,0.0359690844,,0.1896551724
Heidelberg University,22.9,34.5,,,-11.6,-0.5065502183,0.2565931237,,0.5065502183
"Rutgers, The State University of New Jersey - New Brunswick",22.9,34.5,,,-11.6,-0.5065502183,0.2565931237,,0.5065502183
The University of Manchester,37,32.7,,,4.3,0.1162162162,0.0135062089,,0.1162162162
"University of California, Santa Barbara",32.4,32.7,,,-0.3,-0.0092592593,8.57338820301808E-005,,0.0092592593
National University of Singapore,32.4,32.7,,,-0.3,-0.0092592593,8.57338820301808E-005,,0.0092592593
Pennsylvania State University - University Park,30.8,32.7,,,-1.9,-0.0616883117,0.0038054478,,0.0616883117
University of Bern,30.8,32.7,,,-1.9,-0.0616883117,0.0038054478,,0.0616883117
University of Leeds,29,32.7,,,-3.7,-0.1275862069,0.0162782402,,0.1275862069
Emory University,25.1,32.7,,,-7.6,-0.3027888446,0.0916810844,,0.3027888446
University of Helsinki,32.4,30.9,,,1.5,0.0462962963,0.0021433471,,0.0462962963
Ghent University,32.4,30.9,,,1.5,0.0462962963,0.0021433471,,0.0462962963
"University of California, Davis",30.8,30.9,,,-0.1,-0.0032467532,1.05414066453023E-005,,0.0032467532
Osaka University,30.8,30.9,,,-0.1,-0.0032467532,1.05414066453023E-005,,0.0032467532
University of Bristol,29,30.9,,,-1.9,-0.0655172414,0.0042925089,,0.0655172414
"University of California, Irvine",29,30.9,,,-1.9,-0.0655172414,0.0042925089,,0.0655172414
King Abdullah University of Science and Technology,29,30.9,,,-1.9,-0.0655172414,0.0042925089,,0.0655172414
Rockefeller University,27.1,30.9,,,-3.8,-0.1402214022,0.0196620416,,0.1402214022
Boston University,27.1,30.9,,,-3.8,-0.1402214022,0.0196620416,,0.1402214022
University of Florida,27.1,30.9,,,-3.8,-0.1402214022,0.0196620416,,0.1402214022
University of Arizona,27.1,30.9,,,-3.8,-0.1402214022,0.0196620416,,0.1402214022
University of Amsterdam,22.9,30.9,,,-8,-0.3493449782,0.1220419138,,0.3493449782
The University of Tokyo,30.8,28.9,,,1.9,0.0616883117,0.0038054478,,0.0616883117
University of Colorado at Boulder,30.8,28.9,,,1.9,0.0616883117,0.0038054478,,0.0616883117
The University of Texas Southwestern Medical Center at Dallas,30.8,28.9,,,1.9,0.0616883117,0.0038054478,,0.0616883117
The University of Texas at Austin,29,28.9,,,0.1,0.0034482759,1.18906064209278E-005,,0.0034482759
Technical University Munich,29,28.9,,,0.1,0.0034482759,1.18906064209278E-005,,0.0034482759
University of Southampton,29,28.9,,,0.1,0.0034482759,1.18906064209278E-005,,0.0034482759
University of Massachusetts Amherst,27.1,28.9,,,-1.8,-0.0664206642,0.0044117046,,0.0664206642
University of Zurich,25.1,28.9,,,-3.8,-0.1513944223,0.0229202711,,0.1513944223
University of Groningen,25.1,28.9,,,-3.8,-0.1513944223,0.0229202711,,0.1513944223
University of Sydney,25.1,28.9,,,-3.8,-0.1513944223,0.0229202711,,0.1513944223
