University,Overall-16,Overall-17,,,B2-C2,(B2-C2)/B2,,,
Harvard University,100,100,,,0,0,0,,0
Stanford University,74.7,76.5,,,-1.8,-0.0240963855,0.0005806358,,0.0240963855
University of Cambridge,69.6,70.9,,,-1.3,-0.0186781609,0.0003488737,,0.0186781609
Massachusetts Institute of Technology (MIT),69.2,70.4,,,-1.2,-0.0173410405,0.0003007117,,0.0173410405
"University of California, Berkeley",70.1,69.1,,,1,0.0142653352,0.0002034998,,0.0142653352
Princeton University,62,61.1,,,0.9,0.014516129,0.000210718,,0.014516129
University of Oxford,58.9,60.1,,,-1.2,-0.0203735144,0.0004150801,,0.0203735144
Columbia University,56.7,58.8,,,-2.1,-0.037037037,0.0013717421,,0.037037037
California Institute of Technology,57.8,57.3,,,0.5,0.008650519,7.48314795081477E-005,,0.008650519
University of Chicago,54.2,53.9,,,0.3,0.0055350554,3.06368377336919E-005,,0.0055350554
Yale University,52.8,52.8,,,0,0,0,,0
"University of California, Los Angeles",51.5,52.5,,,-1,-0.0194174757,0.0003770384,,0.0194174757
University of Washington,47.3,50.3,,,-3,-0.0634249471,0.0040227239,,0.0634249471
Cornell University,49,49.6,,,-0.6,-0.012244898,0.0001499375,,0.012244898
"University of California, San Diego",47.8,49.5,,,-1.7,-0.0355648536,0.0012648588,,0.0355648536
University College London,45.3,47.1,,,-1.8,-0.0397350993,0.0015788781,,0.0397350993
University of Pennsylvania,44.5,46,,,-1.5,-0.0337078652,0.0011362202,,0.0337078652
Johns Hopkins University,46,45.7,,,0.3,0.0065217391,4.25330812854434E-005,,0.0065217391
Swiss Federal Institute of Technology Zurich,43.8,44.1,,,-0.3,-0.0068493151,4.69131169074887E-005,,0.0068493151
Washington University in St. Louis,40.8,43.3,,,-2.5,-0.0612745098,0.0037545656,,0.0612745098
"University of California, San Francisco",41.9,42.4,,,-0.5,-0.0119331742,0.0001424006,,0.0119331742
Northwestern University,40,41.9,,,-1.9,-0.0475,0.00225625,,0.0475
University of Toronto,39.4,41.6,,,-2.2,-0.0558375635,0.0031178335,,0.0558375635
