University,Citations-17,Citations-18
University of OxfordUnited Kingdom,99.2,99.1
University of CambridgeUnited Kingdom,96.8,97.5
California Institute of TechnologyUnited States,99.8,99.5
Stanford UniversityUnited States,99.9,99.9
Massachusetts Institute of TechnologyUnited States,99.9,100
Harvard UniversityUnited States,99.7,99.7
Princeton UniversityUnited States,99.2,99.6
Imperial College LondonUnited Kingdom,97.3,96.7
University of ChicagoUnited States,99.1,99.4
ETH Zurich - Swiss Federal Institute of Technology ZurichSwitzerland,92.5,94.3
University of PennsylvaniaUnited States,98.6,98.5
Yale UniversityUnited States,97.8,98.4
Johns Hopkins UniversityUnited States,98.4,98.4
Columbia UniversityUnited States,98.6,98.8
"University of California, Los AngelesUnited States",98.4,97.9
University College LondonUnited Kingdom,94,94.6
Duke UniversityUnited States,98.8,98.3
"University of California, BerkeleyUnited States",99.8,99.8
Cornell UniversityUnited States,97.2,97.6
Northwestern UniversityUnited States,97,96.9
University of MichiganUnited States,95.8,95.7
National University of SingaporeSingapore,79.7,81.3
University of TorontoCanada,91.9,92.6
Carnegie Mellon UniversityUnited States,99.3,99.7
London School of Economics and Political ScienceUnited Kingdom,96.3,94.9
University of WashingtonUnited States,98.8,99
University of EdinburghUnited Kingdom,96,97
New York UniversityUnited States,95.3,96.5
Peking UniversityChina,71.6,74.2
Tsinghua UniversityChina,67.4,71.4
"University of California, San DiegoUnited States",98.9,98.6
University of MelbourneAustralia,88.1,90.3
Georgia Institute of TechnologyUnited States,90.8,94.3
University of British ColumbiaCanada,92.9,93.4
LMU MunichGermany,87.4,91.3
King's College LondonUnited Kingdom,93.5,94.4
University of Illinois at Urbana-ChampaignUnited States,89.3,88.9
École Polytechnique Fédérale de LausanneSwitzerland,96.5,94.2
Karolinska InstituteSweden,95.9,95.9
University of Hong KongHong Kong,73.2,74.2
Technical University of MunichGermany,82,88.4
McGill UniversityCanada,81.8,84.7
University of Wisconsin-MadisonUnited States,87.9,86.5
Hong Kong University of Science and TechnologyHong Kong,91.2,93.1
Heidelberg UniversityGermany,90.8,94.2
University of TokyoJapan,62.4,63.7
KU LeuvenBelgium,90.1,88.7
Australian National UniversityAustralia,81.7,85.5
University of Texas at AustinUnited States,93,95.7
Brown UniversityUnited States,96.7,96.7
Washington University in St LouisUnited States,99.1,99.4
"Nanyang Technological University, SingaporeSingapore",90.7,90.7
"University of California, Santa BarbaraUnited States",99.2,98.8
"University of California, DavisUnited States",86.6,86
University of ManchesterUnited Kingdom,82.3,84.3
University of MinnesotaUnited States,87,87.5
University of North Carolina at Chapel HillUnited States,96.1,96.7
Chinese University of Hong KongHong Kong,74.6,80.6
University of AmsterdamNetherlands,90.3,91.9
Purdue UniversityUnited States,69,73.4
University of SydneyAustralia,83.2,85.9
Humboldt University of BerlinGermany,79.9,76.1
Delft University of TechnologyNetherlands,67.3,68.5
Wageningen University & ResearchNetherlands,92.8,95.2
University of QueenslandAustralia,86.1,87.8
University of Southern CaliforniaUnited States,94.7,95.6
Leiden UniversityNetherlands,86.1,87.8
Utrecht UniversityNetherlands,90.7,89.9
École Normale SupérieureFrance,85.8,
"University of Maryland, College ParkUnited States",91.1,93.5
Boston UniversityUnited States,97.7,97.2
Ohio State UniversityUnited States,86.2,88
Erasmus University RotterdamNetherlands,95.6,96.7
Paris Sciences et Lettres - PSL Research University ParisFrance,,85
Kyoto UniversityJapan,50.4,50.9
Seoul National UniversitySouth Korea,58.8,60.6
University of BristolUnited Kingdom,92.7,94.7
Pennsylvania State UniversityUnited States,82.9,81.6
McMaster UniversityCanada,82.3,89.9
RWTH Aachen UniversityGermany,71.3,72.8
University of GlasgowUnited Kingdom,90.6,92.6
Monash UniversityAustralia,78.5,80.9
University of FreiburgGermany,83.6,83.1
University of GroningenNetherlands,87.1,89
Michigan State UniversityUnited States,81.1,82.6
University of New South WalesAustralia,81.4,82.8
Rice UniversityUnited States,99.1,98.7
Uppsala UniversitySweden,85.2,84.6
Free University of BerlinGermany,66.9,60.6
Dartmouth CollegeUnited States,94.2,93.4
University of HelsinkiFinland,83.5,86.9
University of WarwickUnited Kingdom,80.9,80.4
Technical University of BerlinGermany,74.3,74.2
Lund UniversitySweden,83.2,85.9
University of TübingenGermany,82.9,83
University of BaselSwitzerland,92.4,91
Korea Advanced Institute of Science and Technology (KAIST)South Korea,78.5,70.4
Durham UniversityUnited Kingdom,85,84.6
Emory UniversityUnited States,97.4,98.1
"University of California, IrvineUnited States",94.1,93.6
University of BonnGermany,88.3,91.3
University of Colorado BoulderUnited States,96.1,97.4
University of PittsburghUnited States,94.2,94.9
Maastricht UniversityNetherlands,84.4,79.9
University of SheffieldUnited Kingdom,82.7,86.8
University of BernSwitzerland,82.8,85.4
Vanderbilt UniversityUnited States,96.7,96.9
Ghent UniversityBelgium,75.7,77.6
University of MontrealCanada,77.4,79
Aarhus UniversityDenmark,83,82.7
University of CopenhagenDenmark,89.8,90.6
Sungkyunkwan University (SKKU)South Korea,66.5,69.5
University of Western AustraliaAustralia,89,90.6
University of GöttingenGermany,81.1,82.4
University of VirginiaUnited States,86.6,89.3
École PolytechniqueFrance,67.2,75.1
Fudan UniversityChina,65.7,65.1
Indiana UniversityUnited States,82.1,81.9
Trinity College DublinIreland,75.4,79
University of AlbertaCanada,69.9,70.5
City University of Hong KongHong Kong,81.6,79.4
Queen Mary University of LondonUnited Kingdom,95.1,96.7
Radboud University NijmegenNetherlands,87.2,89.4
Georgetown UniversityUnited States,84.6,87.5
Pierre and Marie Curie UniversityFrance,86.2,85.7
University of MannheimGermany,88.3,80.5
Arizona State UniversityUnited States,87.7,87.1
