University,Industry Income-17,Industry Income-18
University of OxfordUnited Kingdom,62.5,63.7
University of CambridgeUnited Kingdom,50.4,51.5
California Institute of TechnologyUnited States,90.8,92.6
Stanford UniversityUnited States,60.9,60.5
Massachusetts Institute of TechnologyUnited States,88.4,88.4
Harvard UniversityUnited States,47.3,46.4
Princeton UniversityUnited States,49.9,58
Imperial College LondonUnited Kingdom,67.5,71.6
University of ChicagoUnited States,37.7,39.8
ETH Zurich - Swiss Federal Institute of Technology ZurichSwitzerland,63.7,60.3
University of PennsylvaniaUnited States,49.9,56.9
Yale UniversityUnited States,44.5,45.1
Johns Hopkins UniversityUnited States,100,95.8
Columbia UniversityUnited States,44.9,41.3
"University of California, Los AngelesUnited States",47.1,48.6
University College LondonUnited Kingdom,41.9,41.2
Duke UniversityUnited States,100,100
"University of California, BerkeleyUnited States",37.6,37.5
Cornell UniversityUnited States,36,34.6
Northwestern UniversityUnited States,85.8,78.2
University of MichiganUnited States,43.9,46.2
National University of SingaporeSingapore,61.3,61.9
University of TorontoCanada,48.8,46.5
Carnegie Mellon UniversityUnited States,51.8,50.4
London School of Economics and Political ScienceUnited Kingdom,34.8,33.7
University of WashingtonUnited States,49.8,47.3
University of EdinburghUnited Kingdom,35,36.3
New York UniversityUnited States,33.6,37
Peking UniversityChina,100,100
Tsinghua UniversityChina,99.7,99.8
"University of California, San DiegoUnited States",67.3,96.5
University of MelbourneAustralia,63.7,70.1
Georgia Institute of TechnologyUnited States,62.3,60.2
University of British ColumbiaCanada,41.1,42.6
LMU MunichGermany,100,100
King's College LondonUnited Kingdom,42.5,43.9
University of Illinois at Urbana-ChampaignUnited States,50.3,56
École Polytechnique Fédérale de LausanneSwitzerland,69.8,76
Karolinska InstituteSweden,72.1,71.4
University of Hong KongHong Kong,52.9,54
Technical University of MunichGermany,100,100
McGill UniversityCanada,41.9,39.8
University of Wisconsin-MadisonUnited States,47.4,45.8
Hong Kong University of Science and TechnologyHong Kong,62,58.1
Heidelberg UniversityGermany,60,56
University of TokyoJapan,53.4,52.7
KU LeuvenBelgium,99.8,99.9
Australian National UniversityAustralia,53.5,61.1
University of Texas at AustinUnited States,51.3,48.2
Brown UniversityUnited States,33.9,34.1
Washington University in St LouisUnited States,36.9,36.9
"Nanyang Technological University, SingaporeSingapore",93.5,94
"University of California, Santa BarbaraUnited States",87.6,82
"University of California, DavisUnited States",50,53.4
University of ManchesterUnited Kingdom,45.1,44.1
University of MinnesotaUnited States,94.2,90.4
University of North Carolina at Chapel HillUnited States,41,39.2
Chinese University of Hong KongHong Kong,44.7,56.8
University of AmsterdamNetherlands,54.6,49.9
Purdue UniversityUnited States,62.5,63.5
University of SydneyAustralia,63.9,67.9
Humboldt University of BerlinGermany,39.4,38.6
Delft University of TechnologyNetherlands,99.9,99.8
Wageningen University & ResearchNetherlands,100,100
University of QueenslandAustralia,70.6,76.2
University of Southern CaliforniaUnited States,39.4,37.9
Leiden UniversityNetherlands,47.3,78.8
Utrecht UniversityNetherlands,80.7,72.6
École Normale SupérieureFrance,40,
"University of Maryland, College ParkUnited States",38.5,38.4
Boston UniversityUnited States,34.4,34
Ohio State UniversityUnited States,50.6,52
Erasmus University RotterdamNetherlands,57.7,51.7
Paris Sciences et Lettres - PSL Research University ParisFrance,,48.2
