University,International Outlook-17,International Outlook-18
University of OxfordUnited Kingdom,94.5,95
University of CambridgeUnited Kingdom,92.4,93
California Institute of TechnologyUnited States,63.4,59.7
Stanford UniversityUnited States,76.5,77.6
Massachusetts Institute of TechnologyUnited States,85.6,87.6
Harvard UniversityUnited States,77.9,79.7
Princeton UniversityUnited States,77.2,78.7
Imperial College LondonUnited Kingdom,96.5,96.6
University of ChicagoUnited States,67.8,69.6
ETH Zurich - Swiss Federal Institute of Technology ZurichSwitzerland,98.1,98.1
University of PennsylvaniaUnited States,50.1,61.3
Yale UniversityUnited States,64.3,64.6
Johns Hopkins UniversityUnited States,71.1,70.6
Columbia UniversityUnited States,75.3,76.6
"University of California, Los AngelesUnited States",58,59.5
University College LondonUnited Kingdom,94.3,94.6
Duke UniversityUnited States,58.2,62.5
"University of California, BerkeleyUnited States",59.6,64.5
Cornell UniversityUnited States,62.2,69.2
Northwestern UniversityUnited States,56.1,59.2
University of MichiganUnited States,54.6,55.8
National University of SingaporeSingapore,96,95.8
University of TorontoCanada,78.3,80.1
Carnegie Mellon UniversityUnited States,59.6,79.1
London School of Economics and Political ScienceUnited Kingdom,91,92.2
University of WashingtonUnited States,55,56.5
University of EdinburghUnited Kingdom,91.5,92
New York UniversityUnited States,54.3,53.4
Peking UniversityChina,50.3,53
Tsinghua UniversityChina,39.4,41
"University of California, San DiegoUnited States",47.7,51.9
University of MelbourneAustralia,88.3,92.7
Georgia Institute of TechnologyUnited States,72.8,75
University of British ColumbiaCanada,92,92.2
LMU MunichGermany,65.4,66.3
King's College LondonUnited Kingdom,93.8,94.5
University of Illinois at Urbana-ChampaignUnited States,49.7,52.8
École Polytechnique Fédérale de LausanneSwitzerland,98.6,98.7
Karolinska InstituteSweden,74.2,70.3
University of Hong KongHong Kong,99.4,99.5
Technical University of MunichGermany,66.6,66.8
McGill UniversityCanada,86.4,87.5
University of Wisconsin-MadisonUnited States,42,43.4
Hong Kong University of Science and TechnologyHong Kong,82.8,83.4
Heidelberg UniversityGermany,62.7,64.7
University of TokyoJapan,30.6,32.2
KU LeuvenBelgium,67.4,68.3
Australian National UniversityAustralia,93.9,94.3
University of Texas at AustinUnited States,35.7,36.7
Brown UniversityUnited States,58,59
Washington University in St LouisUnited States,45.5,52.1
"Nanyang Technological University, SingaporeSingapore",95.7,95.9
"University of California, Santa BarbaraUnited States",63.3,65.4
"University of California, DavisUnited States",61.2,63.7
University of ManchesterUnited Kingdom,87,88.7
University of MinnesotaUnited States,38.2,37.7
University of North Carolina at Chapel HillUnited States,40,41.5
Chinese University of Hong KongHong Kong,84,86.6
University of AmsterdamNetherlands,69.3,72.2
Purdue UniversityUnited States,67.7,69.9
University of SydneyAustralia,83.7,84.6
Humboldt University of BerlinGermany,64.4,65.6
Delft University of TechnologyNetherlands,85.9,88.5
Wageningen University & ResearchNetherlands,75.6,80.6
University of QueenslandAustralia,88.6,88.8
University of Southern CaliforniaUnited States,62.7,63
Leiden UniversityNetherlands,68.1,70.5
Utrecht UniversityNetherlands,57.6,59.6
École Normale SupérieureFrance,72.2,
"University of Maryland, College ParkUnited States",36.7,39
Boston UniversityUnited States,54.6,60
Ohio State UniversityUnited States,54.6,56.4
Erasmus University RotterdamNetherlands,77.1,80.6
