University,Overall-17,Overall-18
University of OxfordUnited Kingdom,95,94.3
University of CambridgeUnited Kingdom,93.6,93.2
California Institute of TechnologyUnited States,94.3,93
Stanford UniversityUnited States,93.8,93
Massachusetts Institute of TechnologyUnited States,93.4,92.5
Harvard UniversityUnited States,92.7,91.8
Princeton UniversityUnited States,90.2,91.1
Imperial College LondonUnited Kingdom,90,89.2
University of ChicagoUnited States,88.9,88.6
ETH Zurich - Swiss Federal Institute of Technology ZurichSwitzerland,89.3,87.7
University of PennsylvaniaUnited States,87.1,87.7
Yale UniversityUnited States,88.2,87.6
Johns Hopkins UniversityUnited States,85.9,86.5
Columbia UniversityUnited States,86.1,86
"University of California, Los AngelesUnited States",86.6,85.7
University College LondonUnited Kingdom,86.5,85.3
Duke UniversityUnited States,84.7,85.1
"University of California, BerkeleyUnited States",88.9,84.3
Cornell UniversityUnited States,84.6,84.2
Northwestern UniversityUnited States,83.7,83.3
University of MichiganUnited States,83.6,83.1
National University of SingaporeSingapore,81.7,82.8
University of TorontoCanada,83,82.8
Carnegie Mellon UniversityUnited States,81.8,81.9
London School of Economics and Political ScienceUnited Kingdom,80.2,79.4
University of WashingtonUnited States,80.2,79.4
University of EdinburghUnited Kingdom,79.2,79.2
New York UniversityUnited States,76.7,79.2
Peking UniversityChina,77.2,79.2
Tsinghua UniversityChina,76.2,79
"University of California, San DiegoUnited States",73.2,78.7
University of MelbourneAustralia,76.3,77.5
Georgia Institute of TechnologyUnited States,76.3,77
University of British ColumbiaCanada,75.9,76.2
LMU MunichGermany,76.8,76.2
King's College LondonUnited Kingdom,75.9,75.6
University of Illinois at Urbana-ChampaignUnited States,75.9,75.4
École Polytechnique Fédérale de LausanneSwitzerland,76.8,75.3
Karolinska InstituteSweden,77.6,75.3
University of Hong KongHong Kong,73,75.1
Technical University of MunichGermany,71.6,73.5
McGill UniversityCanada,73.1,73.2
University of Wisconsin-MadisonUnited States,72.6,73.1
Hong Kong University of Science and TechnologyHong Kong,71.1,72.7
Heidelberg UniversityGermany,73,72.3
University of TokyoJapan,74.1,72.2
KU LeuvenBelgium,73.8,71.8
Australian National UniversityAustralia,71.3,71.6
University of Texas at AustinUnited States,70.8,71.4
Brown UniversityUnited States,70.4,70.8
Washington University in St LouisUnited States,69.2,70.8
"Nanyang Technological University, SingaporeSingapore",70,70.5
"University of California, Santa BarbaraUnited States",71.2,70
"University of California, DavisUnited States",70.4,69.5
University of ManchesterUnited Kingdom,69.7,69.5
University of MinnesotaUnited States,70.3,69
University of North Carolina at Chapel HillUnited States,69.3,69
Chinese University of Hong KongHong Kong,63.6,68.5
University of AmsterdamNetherlands,67.1,68.4
Purdue UniversityUnited States,64.5,68.2
University of SydneyAustralia,67.2,67.8
Humboldt University of BerlinGermany,69.2,67.4
Delft University of TechnologyNetherlands,67.9,67.3
Wageningen University & ResearchNetherlands,66.6,67.2
University of QueenslandAustralia,67.2,67
University of Southern CaliforniaUnited States,67.2,66.8
Leiden UniversityNetherlands,63.3,66
Utrecht UniversityNetherlands,61.9,65.8
École Normale SupérieureFrance,65.8,
"University of Maryland, College ParkUnited States",65.3,65.7
Boston UniversityUnited States,66.9,65.4
Ohio State UniversityUnited States,64.2,65.4
Erasmus University RotterdamNetherlands,64.6,65.2
Paris Sciences et Lettres - PSL Research University ParisFrance,,65.2
Kyoto UniversityJapan,61.2,64.9
Seoul National UniversitySouth Korea,64.2,64.9
