University,Rank-17,Rank-18
University of OxfordUnited Kingdom,1,1
University of CambridgeUnited Kingdom,4,2
California Institute of TechnologyUnited States,2,3
Stanford UniversityUnited States,3,3
Massachusetts Institute of TechnologyUnited States,5,5
Harvard UniversityUnited States,6,6
Princeton UniversityUnited States,7,7
Imperial College LondonUnited Kingdom,8,8
University of ChicagoUnited States,10,9
ETH Zurich - Swiss Federal Institute of Technology ZurichSwitzerland,9,10
University of PennsylvaniaUnited States,13,10
Yale UniversityUnited States,12,12
Johns Hopkins UniversityUnited States,17,13
Columbia UniversityUnited States,16,14
"University of California, Los AngelesUnited States",14,15
University College LondonUnited Kingdom,15,16
Duke UniversityUnited States,18,17
"University of California, BerkeleyUnited States",10,18
Cornell UniversityUnited States,19,19
Northwestern UniversityUnited States,20,20
University of MichiganUnited States,21,21
National University of SingaporeSingapore,24,22
University of TorontoCanada,22,22
Carnegie Mellon UniversityUnited States,23,24
London School of Economics and Political ScienceUnited Kingdom,25,25
University of WashingtonUnited States,25,25
University of EdinburghUnited Kingdom,27,27
New York UniversityUnited States,32,27
Peking UniversityChina,29,27
Tsinghua UniversityChina,35,30
"University of California, San DiegoUnited States",41,31
University of MelbourneAustralia,33,32
Georgia Institute of TechnologyUnited States,33,33
University of British ColumbiaCanada,36,34
LMU MunichGermany,30,34
King's College LondonUnited Kingdom,36,36
University of Illinois at Urbana-ChampaignUnited States,36,37
École Polytechnique Fédérale de LausanneSwitzerland,30,38
Karolinska InstituteSweden,28,38
University of Hong KongHong Kong,43,40
Technical University of MunichGermany,46,41
McGill UniversityCanada,42,42
University of Wisconsin-MadisonUnited States,45,43
Hong Kong University of Science and TechnologyHong Kong,49,44
Heidelberg UniversityGermany,43,45
University of TokyoJapan,39,46
KU LeuvenBelgium,40,47
Australian National UniversityAustralia,47,48
University of Texas at AustinUnited States,50,49
Brown UniversityUnited States,51,50
Washington University in St LouisUnited States,57,50
"Nanyang Technological University, SingaporeSingapore",54,52
"University of California, Santa BarbaraUnited States",48,53
"University of California, DavisUnited States",51,54
University of ManchesterUnited Kingdom,55,54
University of MinnesotaUnited States,53,56
University of North Carolina at Chapel HillUnited States,56,56
Chinese University of Hong KongHong Kong,76,58
University of AmsterdamNetherlands,63,59
Purdue UniversityUnited States,70,60
University of SydneyAustralia,60,61
Humboldt University of BerlinGermany,57,62
Delft University of TechnologyNetherlands,59,63
