University,Research-17,Research-18
University of OxfordUnited Kingdom,99.1,99.5
University of CambridgeUnited Kingdom,97.2,97.8
California Institute of TechnologyUnited States,95.7,97.5
Stanford UniversityUnited States,95.9,96.7
Massachusetts Institute of TechnologyUnited States,92.3,91.9
Harvard UniversityUnited States,98.3,98.4
Princeton UniversityUnited States,88.4,93.9
Imperial College LondonUnited Kingdom,86.6,88.7
University of ChicagoUnited States,89.1,90.1
ETH Zurich - Swiss Federal Institute of Technology ZurichSwitzerland,93.7,92
University of PennsylvaniaUnited States,88.9,90.1
Yale UniversityUnited States,87.8,87
Johns Hopkins UniversityUnited States,84.3,88.1
Columbia UniversityUnited States,78.9,83.3
"University of California, Los AngelesUnited States",89,88.1
University College LondonUnited Kingdom,90,88.2
Duke UniversityUnited States,80,80.6
"University of California, BerkeleyUnited States",96.1,84.5
Cornell UniversityUnited States,86.5,86.6
Northwestern UniversityUnited States,85,86.7
University of MichiganUnited States,86.1,86.3
National University of SingaporeSingapore,86.9,88.2
University of TorontoCanada,86.3,84.8
Carnegie Mellon UniversityUnited States,84,83.7
London School of Economics and Political ScienceUnited Kingdom,74.7,72
University of WashingtonUnited States,80.4,79.9
University of EdinburghUnited Kingdom,74.7,74.2
New York UniversityUnited States,68.8,77.4
Peking UniversityChina,80.3,85.1
Tsinghua UniversityChina,89.6,93.2
"University of California, San DiegoUnited States",66.2,79.8
University of MelbourneAustralia,73.6,74.2
Georgia Institute of TechnologyUnited States,79.2,78.9
University of British ColumbiaCanada,72.5,72.2
LMU MunichGermany,73.4,72.3
King's College LondonUnited Kingdom,71,71.2
University of Illinois at Urbana-ChampaignUnited States,81.4,78.9
École Polytechnique Fédérale de LausanneSwitzerland,66.1,66.8
Karolinska InstituteSweden,76,74.4
University of Hong KongHong Kong,74.5,77.9
Technical University of MunichGermany,70.5,71.2
McGill UniversityCanada,70.3,70.8
University of Wisconsin-MadisonUnited States,71.4,73.9
Hong Kong University of Science and TechnologyHong Kong,66.7,68.4
Heidelberg UniversityGermany,65,62.2
University of TokyoJapan,89.2,85.2
KU LeuvenBelgium,73.7,70.9
Australian National UniversityAustralia,73.9,72
University of Texas at AustinUnited States,65.9,68.3
Brown UniversityUnited States,54.4,57.9
Washington University in St LouisUnited States,56.2,59.7
"Nanyang Technological University, SingaporeSingapore",60.2,63
"University of California, Santa BarbaraUnited States",62.6,61.5
"University of California, DavisUnited States",67.3,64.5
University of ManchesterUnited Kingdom,66.3,65.3
University of MinnesotaUnited States,69.8,67.9
University of North Carolina at Chapel HillUnited States,59.6,61.8
Chinese University of Hong KongHong Kong,60.4,64.4
University of AmsterdamNetherlands,62,62.6
Purdue UniversityUnited States,66.8,68.9
University of SydneyAustralia,63.2,63.1
Humboldt University of BerlinGermany,69,67.1
Delft University of TechnologyNetherlands,72.9,72
Wageningen University & ResearchNetherlands,50.1,53.6
University of QueenslandAustralia,60.1,59.4
University of Southern CaliforniaUnited States,60,58.4
Leiden UniversityNetherlands,57.9,63.2
Utrecht UniversityNetherlands,48.5,63.1
École Normale SupérieureFrance,52.3,
"University of Maryland, College ParkUnited States",63.2,63
Boston UniversityUnited States,48.5,45.9
Ohio State UniversityUnited States,53.1,56.2
Erasmus University RotterdamNetherlands,56.8,57.2
Paris Sciences et Lettres - PSL Research University ParisFrance,,52
Kyoto UniversityJapan,70.1,78.6
Seoul National UniversitySouth Korea,69.8,71.2
University of BristolUnited Kingdom,51.7,51.2
Pennsylvania State UniversityUnited States,63.3,64.8
McMaster UniversityCanada,45.4,48.8
RWTH Aachen UniversityGermany,63.7,62.4
University of GlasgowUnited Kingdom,47.8,48.9
Monash UniversityAustralia,57.4,55.4
University of FreiburgGermany,49.9,54.3
University of GroningenNetherlands,55.1,54.8
Michigan State UniversityUnited States,48.9,53.3
University of New South WalesAustralia,58.6,57.5
Rice UniversityUnited States,38.7,41.9
Uppsala UniversitySweden,57.1,56.1
Free University of BerlinGermany,67.3,66.5
Dartmouth CollegeUnited States,41.1,41.9
University of HelsinkiFinland,57.6,56.6
University of WarwickUnited Kingdom,52.6,52
Technical University of BerlinGermany,59.3,58
Lund UniversitySweden,53.1,52.6
University of TübingenGermany,56.2,55.4
University of BaselSwitzerland,36.8,39.9
Korea Advanced Institute of Science and Technology (KAIST)South Korea,53.2,59.2
Durham UniversityUnited Kingdom,49,47.9
Emory UniversityUnited States,39.7,40.4
"University of California, IrvineUnited States",45,44.9
University of BonnGermany,40.8,41.6
University of Colorado BoulderUnited States,43.7,45.8
University of PittsburghUnited States,51.9,48.7
Maastricht UniversityNetherlands,48.6,49.7
University of SheffieldUnited Kingdom,47.6,45.7
University of BernSwitzerland,43,43.6
Vanderbilt UniversityUnited States,37.3,41.4
Ghent UniversityBelgium,55.5,56.2
University of MontrealCanada,47.8,48.9
Aarhus UniversityDenmark,54.7,53.6
University of CopenhagenDenmark,33.1,39.7
Sungkyunkwan University (SKKU)South Korea,50.6,55.1
University of Western AustraliaAustralia,44.9,46.1
University of GöttingenGermany,48,50.3
University of VirginiaUnited States,38.6,40.7
École PolytechniqueFrance,40.6,38.2
Fudan UniversityChina,47,57.5
Indiana UniversityUnited States,40.2,46.5
Trinity College DublinIreland,45.3,44.8
University of AlbertaCanada,53,51.2
City University of Hong KongHong Kong,44.5,48.6
Queen Mary University of LondonUnited Kingdom,39.7,38.2
Radboud University NijmegenNetherlands,50.6,50.4
Georgetown UniversityUnited States,39.3,37.2
