University,Teaching-17,Teaching-18
University of OxfordUnited Kingdom,89.6,86.7
University of CambridgeUnited Kingdom,90.6,87.8
California Institute of TechnologyUnited States,95.5,90.3
Stanford UniversityUnited States,92.6,89.1
Massachusetts Institute of TechnologyUnited States,90.3,87.3
Harvard UniversityUnited States,87.5,84.2
Princeton UniversityUnited States,89.5,85.7
Imperial College LondonUnited Kingdom,86.4,81.7
University of ChicagoUnited States,88.1,85.3
ETH Zurich - Swiss Federal Institute of Technology ZurichSwitzerland,81.5,76.4
University of PennsylvaniaUnited States,85.9,83.7
Yale UniversityUnited States,88.5,86.7
Johns Hopkins UniversityUnited States,77.4,76.1
Columbia UniversityUnited States,86.9,82.2
"University of California, Los AngelesUnited States",82.9,80.7
University College LondonUnited Kingdom,77.4,74.4
Duke UniversityUnited States,80.7,80.7
"University of California, BerkeleyUnited States",82.4,77.4
Cornell UniversityUnited States,79.7,76.2
Northwestern UniversityUnited States,75.8,72.6
University of MichiganUnited States,79.4,77.2
National University of SingaporeSingapore,76.7,77.4
University of TorontoCanada,74.6,74.6
Carnegie Mellon UniversityUnited States,70.2,65.8
London School of Economics and Political ScienceUnited Kingdom,70.8,71.8
University of WashingtonUnited States,70.2,67.9
University of EdinburghUnited Kingdom,67.5,66.8
New York UniversityUnited States,75.1,73.7
Peking UniversityChina,84.6,83
Tsinghua UniversityChina,78.9,80.2
"University of California, San DiegoUnited States",61.2,62.9
University of MelbourneAustralia,65.4,64.9
Georgia Institute of TechnologyUnited States,60.8,59.7
University of British ColumbiaCanada,61.2,61.8
LMU MunichGermany,70.5,65.4
King's College LondonUnited Kingdom,61.5,59.3
University of Illinois at Urbana-ChampaignUnited States,65.6,65.8
École Polytechnique Fédérale de LausanneSwitzerland,62.9,58.8
Karolinska InstituteSweden,62.1,57
University of Hong KongHong Kong,66.5,68.8
Technical University of MunichGermany,61,60.3
McGill UniversityCanada,66.4,63.4
University of Wisconsin-MadisonUnited States,68.2,68.4
Hong Kong University of Science and TechnologyHong Kong,53.2,55.2
Heidelberg UniversityGermany,66.7,63.6
University of TokyoJapan,83.4,79.5
KU LeuvenBelgium,57,54.2
Australian National UniversityAustralia,54,52.7
University of Texas at AustinUnited States,63.9,60.9
Brown UniversityUnited States,66.3,63.8
Washington University in St LouisUnited States,60.7,60.8
"Nanyang Technological University, SingaporeSingapore",50.6,49.5
"University of California, Santa BarbaraUnited States",52.2,50
"University of California, DavisUnited States",61.4,60.9
University of ManchesterUnited Kingdom,58.2,56.3
University of MinnesotaUnited States,60.3,57.6
University of North Carolina at Chapel HillUnited States,61.9,57.9
Chinese University of Hong KongHong Kong,52.2,57
University of AmsterdamNetherlands,49.4,51.3
Purdue UniversityUnited States,57.2,62.3
University of SydneyAustralia,51.3,50.2
Humboldt University of BerlinGermany,62.5,61.9
Delft University of TechnologyNetherlands,56.2,53.4
Wageningen University & ResearchNetherlands,51.8,46.6
University of QueenslandAustralia,49.7,47.6
University of Southern CaliforniaUnited States,50.5,49.8
Leiden UniversityNetherlands,46.1,44.6
Utrecht UniversityNetherlands,46.1,45.5
École Normale SupérieureFrance,59.8,
"University of Maryland, College ParkUnited States",51,49.6
Boston UniversityUnited States,60.2,57.1
Ohio State UniversityUnited States,57,55.5
Erasmus University RotterdamNetherlands,38.8,38.9
Paris Sciences et Lettres - PSL Research University ParisFrance,,57
Kyoto UniversityJapan,70.2,71.8
Seoul National UniversitySouth Korea,70.2,69.3
University of BristolUnited Kingdom,45.9,45.7
Pennsylvania State UniversityUnited States,55.6,53.6
McMaster UniversityCanada,43.5,45.6
