name,x,y,z
California Institute of TechnologyUnited States of America,1,1,0
University of OxfordUnited Kingdom,3,2,1
Stanford UniversityUnited States of America,4,3,1
University of CambridgeUnited Kingdom,5,4,1
Massachusetts Institute of TechnologyUnited States of America,6,5,1
Harvard UniversityUnited States of America,2,6,4
Princeton UniversityUnited States of America,7,7,0
Imperial College LondonUnited Kingdom,9,8,1
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,13,9,4
University of ChicagoUnited States of America,11,10,1
Johns Hopkins UniversityUnited States of America,15,11,4
Yale UniversityUnited States of America,9,12,3
"University of California, BerkeleyUnited States of America",8,13,5
University College LondonUnited Kingdom,22,14,8
Columbia UniversityUnited States of America,14,15,1
"University of California, Los AngelesUnited States of America",12,16,4
University of PennsylvaniaUnited States of America,16,17,1
Cornell UniversityUnited States of America,19,18,1
University of TorontoCanada,20,19,1
Duke UniversityUnited States of America,18,20,2
University of MichiganUnited States of America,17,21,4
Carnegie Mellon UniversityUnited States of America,24,22,2
London School of Economics and Political ScienceUnited Kingdom,34,23,11
University of EdinburghUnited Kingdom,36,24,12
Northwestern UniversityUnited States of America,21,25,4
National University of SingaporeSingapore,25,26,1
King’s College LondonUnited Kingdom,40,27,13
Karolinska InstituteSweden,44,28,16
LMU MunichGermany,29,29,0
New York UniversityUnited States of America,38,30,8
École Polytechnique Fédérale de LausanneSwitzerland,34,31,3
University of WashingtonUnited States of America,26,32,6
University of MelbourneAustralia,33,33,0
University of British ColumbiaCanada,32,34,2
KU LeuvenBelgium,55,35,20
University of Illinois at Urbana-ChampaignUnited States of America,29,36,7
Heidelberg UniversityGermany,70,37,33
McGill UniversityCanada,39,38,1
"University of California, Santa BarbaraUnited States of America",37,39,2
"University of California, San DiegoUnited States of America",41,39,2
Georgia Institute of TechnologyUnited States of America,27,41,14
Peking UniversityChina,48,42,6
University of TokyoJapan,23,43,20
University of Hong KongHong Kong,43,44,1
"University of California, DavisUnited States of America",55,44,11
University of Texas at AustinUnited States of America,28,46,18
Tsinghua UniversityChina,49,47,2
Wageningen University and Research CenterNetherlands,73,47,26
Humboldt University of BerlinGermany,80,49,31
University of Wisconsin-MadisonUnited States of America,29,50,21
Brown UniversityUnited States of America,54,51,3
Australian National UniversityAustralia,45,52,7
Technical University of MunichGermany,98,53,45
École Normale SupérieureFrance,78,54,24
Nanyang Technological UniversitySingapore,61,55,6
University of ManchesterUnited Kingdom,52,56,4
University of SydneyAustralia,60,56,4
University of AmsterdamNetherlands,77,58,19
Hong Kong University of Science and TechnologyHong Kong,51,59,8
Washington University in St LouisUnited States of America,42,60,18
The University of QueenslandAustralia,65,60,5
Utrecht UniversityNetherlands,79,62,17
University of North Carolina at Chapel HillUnited States of America,46,63,17
Boston UniversityUnited States of America,57,64,7
University of MinnesotaUnited States of America,46,65,19
Delft University of TechnologyNetherlands,71,65,6
Leiden UniversityNetherlands,64,67,3
University of Southern CaliforniaUnited States of America,75,68,7
University of BristolUnited Kingdom,74,69,5
Durham UniversityUnited Kingdom,83,70,13
Erasmus University RotterdamNetherlands,72,71,1
Free University of BerlinGermany,81,72,9
Monash UniversityAustralia,83,73,10
University of GroningenNetherlands,117,74,43
Pennsylvania State UniversityUnited States of America,58,75,17
University of GlasgowUnited Kingdom,94,76,18
University of HelsinkiFinland,103,76,27
