Data set,Overall research performance,,,,,,,,
Entity,Aligarh Muslim University,,,,,,,,
Year range,2011 to 2017,,,,,,,,
Filtered by,not filtered,,,,,,,,
Types of publications included,all publication types,,,,,,,,
Self-citations,included,,,,,,,,
,,,,,,,,,
Data source,Scopus,,,,,,,,
Date last updated,3 March 2017,,,,,,,,
Date exported,20 March 2017,,,,,,,,
,,,,,,,,,
,,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),,,,,,,,,
Awards Volume (value),,,,,,,,,
International Collaboration (%),31.6%,22.9%,31.9%,33.0%,35.3%,34.0%,33.4%,34.7%,
Academic-Corporate Collaboration (%),2.6%,0.8%,2.2%,3.3%,2.7%,2.8%,4.0%,2.1%,
Scholarly Output,6189,1088,1075,978,969,885,1001,193,
Scholarly Output (growth %),-18.7%,,,,,,,,
Citations,32756,9396,9255,6575,4302,2417,792,19,
Field-Weighted Citation Impact,0.97,0.89,1.01,0.9,0.96,0.97,1.04,1.36,
Outputs in Top Citation Percentiles (top 10%),12.7%,9.7%,11.0%,10.6%,12.9%,16.4%,16.1%,-%,
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),14.7%,10.3%,13.8%,13.7%,15.2%,19.1%,16.9%,-%,
Citations per Publication,5.3,8.6,8.6,6.7,4.4,2.7,0.8,0.1,
Views,102024,25786,19509,17473,15084,12368,10565,1239,
Outputs in Top Views Percentiles (top 10%),12.1%,9.7%,11.4%,11.3%,11.8%,12.8%,15.9%,-%,
Views per Publication,16.5,23.7,18.1,17.9,15.6,14,10.6,6.4,
Field-Weighted View Impact,1.38,1.76,1.13,1.13,1.47,1.26,1.55,1.11,
Citing-Patents Count (patent office: All Patent Offices),23,13,4,1,6,-,-,-,
Patent-Cited Scholarly Output (patent office: All Patent Offices),17,9,3,1,4,0,0,0,
                                                                                         
Patent-Citations per Scholarly Output (patent office: All Patent Offices),3.9,11.9,3.7,1,6.2,0,0,0,
Mass Media (Print),1594,193,198,283,390,328,202,-,
Media Exposure Internationally recognized (Print),560,57,57,40,178,120,108,-,
Media Exposure Regionally recognized (Print),121.5,21,17,31.5,24,22,6,-,
Media Exposure Nationally recognized (Print),158.7,19.8,18.6,32.7,35.1,32.4,20.1,-,
Media Exposure Locally recognized (Print),51.4,5.6,8,14.2,9.4,11.2,3,-,
Media Exposure Local interest (Print),,,,,,,,,
Field-Weighted Mass Media (Print),2.24,1.4,1.6,1.7,2.4,3,3.4,-,
Authors,3605,1212,1204,1139,1183,1167,1249,364,
Authors (growth %),-3.7%,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."",,,,,,,,,
"
