Name,h-index
"481. Prasad, Rajendra T.",55
"1. Irfan, Muhammad Faisal",47
"6. Ahmad, Nazeer",46
"2. Azmi, Mohd Danish",44
"Sharma, Manoj Kumar",44
"5. Khan, M. Mohisin",40
"13. Ahmad Masoodi, A.",39
"4. Kabir-ud-Din, Kabir",34
"99. Hashim, Mohd Ali",33
"7. Khan, Rizwanhasan",32
"8. Ansari, Qamrul Hasan",30
"35. Hayat, Shamsul",29
"142. Husain, Qayyum",29
"3. Mursaleen, Mohammad",28
"28. Ahmad, Aqil",28
"42. Muneer, Mohammad",28
"77. Hadi, Sheikh Mumtaz",27
"17. Musarrat, Javed",25
"36. Khan, Nafeesahmad",25
"189. Malik, Abdul Waheed",25
"9. Khan, Asadullah",24
"12. Arjmand, Farukh",24
"32. Khan, Asifali",24
"41. Khan, Mohammadsaghir",24
"43. Rizvi, Imran A.",24
"98. Hasan, Mohammed A.",24
"174. Rauf, Abdul Mannan",24
"11. Afzal, Mohammad",23
"76. Ali, Asif H.",23
"223. Ahmad, Riaz R.",23
"71. Prasad, Rajendra L.",22
"136. Zaidi, Almas",22
"427. Perveen, Shahnaz",22
"16. Azam, Ameer",21
"24. Tabassum, Sartaj",21
"304. Ahmad, Imran F.",21
10. Moinuddin,20
"40. Maheshwari, Sudhanshu",20
"91. Fariduddin, Qazi",20
"95. Ahmad, Ejaz E M",20
"104. Yusuf, Mohamad Aslam",20
"194. Ullah, Mohammad Fahad",20
"51. Naqvi, Andleeb Zehra",19
"135. Singh, Devendra Pratap",19
"139. Banu, Naheed",19
"222. Ahmad, Iqbal",19
"301. Ahmad, Altaf",19
"458. Ansari, Sajid Ali",19
"26. Owais, Mohammad",18
"68. Shakir, Mohammad Lutfullah",18
"72. Rahman, Nafisur",18
"131. Islam, Najmul Mohamed",18
"19. Malik, Abida K.",17
"53. Ahmad, Masood",17
"55. Singh, Beer Pal",17
88. Alimuddin,17
"117. Iqbal, Atif",17
"126. Nabi, Syed Ashfaq",17
"126. Nabi, Syed Ashfaq",17
"212. Rub, Malik Abdul",17
"297. Siddiqui, Zaki Anwar",17
"322. Hussain, Tajamal",17
"396. Azam, Mohammad Golam",17
"21. Inamuddin, undefined",16
"22. Naqvi, Alim Husain",16
"34. Shahid, Mohammad",16
"44. Siddique, Yasir Hasan",16
"94. Ahmad, Afaq S.",16
"107. Iqbal, Noushina",16
"261. Rashid, Mohd Harunar",16
"47. Alam, Khursheed M F",15
"49. Khan, Mohammad Masroor Akhtar",15
"57. Naeem, Aabgeena",15
"58. Rabbani, Gulam",15
"62. Khan, Farah",15
"69. Singh, Braj Raj",15
"79. Khan, Mukhtar Afzal",15
"280. Gill, S. S.",15
"293. Saleemuddin, Mohammed",15
"18. Anis, Mohammad",14
"23. Khan, Wasi",14
"29. Ahmad, Jamal",14
"54. Naeem, Mohammad H.",14
"65. Idrees, Mohd",14
"70. Masood, Asim",14
"90. Ahmad, Rais",14
"123. Ahmad, Naseem",14
"143. Khan, Javedmasood",14
"144. Kumar, Dileep Vijay Ravi",14
"151. Ahmad, Izhar",14
"158. Mahmood, Riaz",14
"183. Haque, Malik M.",14
"211. Oves, Mohammad",14
"221. Ahmad, Anees L.",14
"260. Rao, Rifaqat Ali Khan",14
"260. Rao, Rifaqat Ali Khan",14
"292. Nazar, Rahat",14
"306. Ahmad, Saheem",14
20. Rafiuddin,13
"30. Shahzad, Anwar",13
"38. Akram, Mohd Waseem",13
"67. Khan, Md Iqbal Raja",13
