Data set,Overall research performance
Entity,"Assam University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,18 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),13.6%,14.7%,12.9%,10.9%,13.2%,15.8%,12.8%,20.7%
Academic-Corporate Collaboration (%),0.3%,0.9%,0.7%,0.0%,0.4%,0.0%,0.5%,0.0%
Scholarly Output,1141,109,147,175,242,221,218,29
Scholarly Output (growth %),102.8%
Citations,3813,1095,743,805,689,368,112,1
Field-Weighted Citation Impact,0.68,0.85,0.60,0.60,0.66,0.62,0.77,0.91
Outputs in Top Citation Percentiles (top 10%),7.2%,10.1%,5.4%,6.3%,4.5%,7.7%,10.1%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),14.7%,12.0%,8.9%,13.9%,14.0%,19.3%,16.8%,-%
Citations per Publication,3.3,10.0,5.1,4.6,2.8,1.7,0.5,0.0
Views,12084,1985,1839,2085,2394,2202,1467,112
Outputs in Top Views Percentiles (top 10%),7.9%,11.9%,8.2%,4.6%,5.4%,10.4%,8.7%,-%
Views per Publication,10.6,18.2,12.5,11.9,9.9,10.0,6.7,3.9
Field-Weighted View Impact,0.79,0.93,0.66,0.69,0.70,0.81,0.89,1.15
Citing-Patents Count (patent office: All Patent Offices),2,1,1,-,-,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),2,1,1,0,0,0,0,0
Patent-Citations Count (patent office: All Patent Offices),2,1,1,0,0,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),1.8,9.2,6.8,0.0,0.0,0.0,0.0,0.0
Mass Media (Print),95,3,12,29,19,24,8,-
Media Exposure Internationally recognized (Print),15.0,2.0,5.0,2.0,2.0,3.0,1.0,-,
Media Exposure Regionally recognized (Print),7.0,-,-,1.5,2.0,3.0,0.5,-,
Media Exposure Nationally recognized (Print),1.5,-,0.6,-,0.9,-,-,-,
Media Exposure Locally recognized (Print),12.2,0.2,1.0,4.8,2.0,3.0,1.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.49,0.3,0.4,0.5,0.4,0.4,0.7,-
"Authors",800,110,167,223,295,282,301,60
Authors (growth %),156.4%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
