"1. Bhattacharjee, Chira R.",,46,2016,293,12
"2. Ghosh, Sankar Kumar",,46,2016,238,14
"3. Choudhury, Manabendra Dutta",,44,2017,86,7
"4. Roy, Sudipta",,41,2017,24,2
"5. Mondal, Paritosh",,36,2016,237,11
"6. Bhattacharjee, Ramendu L.",,32,2014,127,13
"7. Bhattacharjee, Amitabha",,30,2017,79,7
"8. Das, Ashesh Kumar",,29,2017,60,7
"9. Sarkar, U.",,26,2016,90,16
"10. Sharma, Gauri Dutta",,26,2016,110,10
"11. Rao, Nandiraju Venkata Satyanarayan",,25,2017,130,14
"12. Nath, Arun Jyoti",,22,2017,33,6
"13. Panda, Sanjib Kumar",,22,2017,287,26
"14. Roychoudhury, Shubhadeep",,22,2017,47,8
"15. Ghosh, Sujit Kumar",,21,2016,53,5
"16. Dutta, Biman Kumar",,20,2014,52,8
"17. Gupta, Abhik K.",,20,2016,41,7
"18. Maurya, Anand Prakash",,20,2017,25,3
"19. Das, Gobinda",,19,2016,156,9
"20. Gupta, Susmita N.",,19,2016,14,4
"21. Talukdar, Anupam Das",,19,2017,61,5
"22. Borah, Anupom",,18,2017,89,8
"23. Chakraborty, Supriyo",,18,2017,9,2
"24. Khan, Ajoykumar",,18,2016,7,2
"25. Mondal, Nitish",,18,2016,42,7
"26. Rout, Jayashree",,18,2016,62,5
"27. Bhattacharya, Barnali Sitangshu",,17,2016,60,4
"28. Das Talukdar, Anupam",,16,2016,32,3
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"29. Das, Himadri Sekhar",,16,2016,50,7
"30. Dutta Choudhury, Manabendra",,16,2016,67,5
"31. Das, Suchismita K.",,15,2017,42,5
"32. Giri, Sarbani",,15,2016,138,10
"33. Sengupta, Mahuya",,15,2016,83,8
"34. Sen, Asokekr",,14,2016,34,4
"35. Chakravarty, Atanu",,13,2017,10,2
"36. Giri, Anirudha K.",,13,2017,72,9
"37. Paul, Pradip Chandra",,13,2016,72,9
"38. Purkayastha, Debraj Dhar",,13,2016,75,8
"39. Sen, Asokekumar",,12,2016,117,11
"40. Choudhury, Joydeep",,11,2016,26,10
"41. Choudhury, Shuvasish",,11,2014,129,7
"42. Mondal, Rosy",,11,2015,132,6
"43. Paul, Deepjyoti",,11,2017,16,3
"44. Paul, Satya Bhusan",,11,2016,13,24
"45. Purkayastha, Bipul Syam",,11,2016,7,2
"46. Ray, Supratim M.",,11,2015,3,15
"47. Singh, Ngangbam Bedamani",,11,2016,58,4
"48. Barman, Koushik",,10,2016,21,3
"49. Chakraborty, Nirmalangshu",,10,2017,66,5
"50. Choudhury, Debarati Roy",,10,2016,15,3
"51. Datta, Chitraniva",,10,2015,46,5
"52. Jasimuddin, Sk K.",,10,2016,21,10
"53. Nath, Siddartha Sankar",,10,2013,52,6
"54. Paul, Rajib",,10,2017,53,4
"55. Paul, Satya Bhushan",,10,2013,33,4
"56. Ali, Mohammed Mukthar",,9,2016,17,2
"57. Choudhury, Yashmin",,9,2017,71,4
"58. Das, Debaprasad",,9,2016,3,4
"59. Mahanta, Hridoy Jyoti",,9,2016,6,2
"60. Maibam, Jameson",,9,2016,18,5
"61. Mazumder, Muhammed Khairujjaman",,9,2016,28,3
"62. Mohiuddin, Golam",,9,2016,65,6
"63. Rahman, Dewan Shahidur",,9,2016,22,2
"64. Begum, Shahin Ara",,8,2016,2,1
"65. Chetia, Pankaj",,8,2014,11,2
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"66. Choudhury, Biswadeep",,8,2016,33,4
"67. Choudhury, Javed Hussain Ussain",,8,2015,64,5
"68. De, Biplab",,8,2014,39,8
"69. Dehury, Budheswar",,8,2015,33,5
"70. Laskar, Ruhina Shirin",,8,2015,96,5
"71. Mazumder, Pranab Behari",,8,2016,17,3
"72. Paul, Manoj Kr",,8,2016,34,7
"73. Pramanik, Harun A R",,8,2016,65,5
"74. Prasanna Kumar, G. V.",,8,2016,9,5
"75. Rahaman, Hasimur",,8,2016,20,3
"76. Ray, Dulal Chandra",,8,2017,7,2
"77. Sarkar, Dipika Debnath",,8,2013,84,6
"78. Sharma, Banasree Indrajit",,8,2016,27,2
"79. Shukla, Pradeep Kumar",,8,2017,80,10
"80. Singh, Taruna Sanjoy",,8,2016,30,10
"81. Talukdar, Anupam Das",,8,2017,4,1
"82. Talukdar, Fazlur Rahman Ahman",,8,2015,96,5
"83. Uddin, Arif",,8,2017,2,1
"84. Acharya, Himadri N.",,7,2016,21,14
"85. Bhattacharjee, Dibyojyoti",,7,2016,10,2
"86. Bhattacharyya, Debjyoti K.",,7,2016,2,3
"87. Chakraborty, Biswajit",,7,2016,64,4
"88. Chanda, Debadatta Dhar",,7,2016,12,3
"89. Chowdhury, Abhishek",,7,2015,10,2
"90. Das, Banani",,7,2015,12,2
"91. Das, Dharitri",,7,2015,24,3
"92. Deb, Rahul",,7,2016,67,5
"93. Dhal, Debasis",,7,2016,1,1
"94. Dhar, Bishal",,7,2015,72,4
"95. Dutta, Abhijit",,7,2016,13,2
"96. Dutta, Himangshu",,7,2016,4,1
"97. Laskar, Monjur Ahmed",,7,2017,5,4
"98. Nath, Kamal",,7,2015,13,2
"99. Roy, Nayan K.",,7,2016,23,9
"100. Turlapati, Srikanth",,7,2017,37,4
"101. Biswas, Abhijit",,6,2017,3,1
