Data set,Overall research performance
Entity,"Babasaheb Bhimrao Ambedkar University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,3 March 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),15.9%,10.9%,12.2%,27.3%,6.8%,13.2%,20.3%,29.2%
Academic-Corporate Collaboration (%),0.4%,2.2%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%
Scholarly Output,561,46,82,77,103,106,123,24
Scholarly Output (growth %),130.4%
Citations,2633,445,829,516,466,302,67,8
Field-Weighted Citation Impact,1.20,1.05,0.80,0.89,0.89,0.96,1.43,5.11
Outputs in Top Citation Percentiles (top 10%),14.5%,10.9%,18.3%,16.9%,10.7%,15.1%,14.6%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),20.1%,20.5%,9.5%,17.2%,16.7%,25.0%,28.2%,-%
Citations per Publication,4.7,9.7,10.1,6.7,4.5,2.8,0.5,0.3
Views,9889,1180,2818,1458,1330,1542,1123,438
Outputs in Top Views Percentiles (top 10%),13.6%,21.7%,19.5%,15.6%,7.8%,13.2%,10.6%,-%
Views per Publication,17.6,25.7,34.4,18.9,12.9,14.5,9.1,18.3
Field-Weighted View Impact,1.07,1.18,1.60,0.95,0.76,1.01,0.98,1.43
Citing-Patents Count (patent office: All Patent Offices),5,-,3,2,-,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),3,0,2,1,0,0,0,0
Patent-Citations Count (patent office: All Patent Offices),5,0,3,2,0,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),8.9,0.0,36.6,26.0,0.0,0.0,0.0,0.0
Mass Media (Print),48,3,10,4,3,2,26,-
Media Exposure Internationally recognized (Print),45.0,3.0,10.0,4.0,2.0,-,26.0,-,
Media Exposure Regionally recognized (Print),0.5,-,-,-,0.5,-,-,-,
Media Exposure Nationally recognized (Print),0.3,-,-,-,-,0.3,-,-,
Media Exposure Locally recognized (Print),0.2,-,-,-,-,0.2,-,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),1.19,0.0,0.4,0.0,0.1,0.2,4.2,-
"Authors",349,44,67,85,107,112,144,42
Authors (growth %),154.5%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
