Name,Publications,publication,Citations,h-index
"16. Chandra, Ramesh S.",13,2015,83,41
"105. Yunus, Mohammad D.",3,2012,49,37
"6. Kumar, Devesh Kishore",26,2016,299,36
"123. Kumar, Satyendra Naveen",2,2015,9,33
"211. Kumar, Dheeraj Krishna Andrew Prasann",1,2011,1,31
"30. Kumar, Rajesh Kishore",8,2017,33,27
"208. Kumar, Ashish R.",1,2014,0,27
"207. Kumar, Arun Praveen",1,2014,5,26
"41. Kumar, Sanjeev Giridara Vijaya",7,2015,46,23
"286. Sharma, Pradeep Kumar",1,2015,0,23
"7. Dwivedi, Sanjay Kumar",18,2016,11,22
"12. Kumar, Manoj Ravi",16,2017,6,22
"221. Kumar, Sachin Kesav",1,2014,2,22
"8. Singh, Devendra Pratap",18,2017,89,19
"107. Abhilash, P. C.",2,2011,45,19
"327. Tyagi, Vineet Veer",1,2015,3,19
"153. Singh, Prashant Chandra",2,2014,10,18
"277. Sankararamakrishnan, Nalini",1,2015,0,18
"5. Singh, Rana Pratap",27,2016,274,17
"117. Gill, Charansingh",2,2013,9,17
"79. Singh, Jay Shankar",4,2017,7,17
"3. Bhadauria, Beer Singh",34,2016,282,16
"2. Yadav, Bal Chandra",39,2016,175,16
"44. Singh, Deepak P.",7,2016,149,16
"325. Tandon, Poonam K.",1,2014,16,16
"294. Singh, Alok Kumar",1,2017,1,16
"23. Sonkawade, Rajendra G.",10,2014,129,15
"313. Singh, Satyendra",1,2014,16,13
"188. Dhawan, Sangeeta S.",1,2016,0,13
"249. Pal, Amit K.",1,2013,0,13
"9. Kothari, Richa K.",17,2017,348,12
"1. Saraf, Shubhini A.",40,2017,100,12
"35. Yadav, Sangeeta N.",8,2017,33,12
"332. Verma, Neelam K.",1,2014,9,12
"321. Srivastava, Amit Kumar",1,2013,0,12
"147. Shukla, Vertika K S",2,2011,6,11
"134. Qidwai, Tabish",2,2016,2,11
"64. Singh, Ritu R.",5,2012,124,10
"19. Arora, Naveen Kumar",12,2016,56,10
"29. Khan, Mohammadyahiya",8,2016,41,10
"212. Kumar, Dinesh Sathish",1,2011,12,10
"223. Kumar, Shailesh T V S Kiran",1,2013,2,10
"27. Elangovan, Vadamalai",8,2016,1,10
"49. Kumar, Suresh Tanuz",6,2015,139,9
"133. Prakash, Anand",2,2013,21,9
"38. Bharagava, Ram Naresh",7,2017,17,9
"302. Singh, Kripal K.",1,2013,17,9
"62. Singh, Jiwan",5,2017,4,9
"279. Saraf, Shailendra K.",1,2016,1,9
"222. Kumar, Sanjeev",1,2016,0,9
"4. Kaithwas, Gaurav",30,2017,66,8
"25. Saxena, Sangeeta K.",9,2016,42,8
"226. Kumari, Babita",1,2014,19,8
"297. Singh, Archana P.",1,2014,16,8
"219. Kumar, Praveen Rajeev",1,2015,3,8
"166. Awasthi, Ashutosh K.",1,2016,0,8
"46. Bauddh, Kuldeep",6,2014,112,7
"58. Kumar, Virendra Kiran",5,2016,63,7
