Data set,Overall research performance
Entity,"Banaras Hindu University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,3 March 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),2,0,0,2,0,0,0,0
Awards Volume (value),0,0,0,0,0,0,0,0
International Collaboration (%),19.5%,19.7%,21.1%,17.3%,18.8%,20.0%,20.0%,20.5%
Academic-Corporate Collaboration (%),0.2%,0.1%,0.2%,0.0%,0.2%,0.3%,0.2%,1.0%
Scholarly Output,9589,1473,1481,1543,1631,1542,1617,302
Scholarly Output (growth %),4.7%
Citations,52681,16259,13184,9800,7896,4409,1119,14
Field-Weighted Citation Impact,0.89,0.93,0.93,0.85,0.90,0.97,0.85,0.63
Outputs in Top Citation Percentiles (top 10%),12.8%,11.3%,12.6%,11.3%,12.9%,15.0%,13.9%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),20.4%,17.9%,18.7%,17.9%,23.6%,22.6%,21.1%,-%
Citations per Publication,5.5,11.0,8.9,6.4,4.8,2.9,0.7,0.0
Views,146836,34127,29660,25578,22561,19568,13560,1782
Outputs in Top Views Percentiles (top 10%),12.2%,12.8%,13.8%,11.2%,10.9%,13.2%,11.6%,-%
Views per Publication,15.3,23.2,20.0,16.6,13.8,12.7,8.4,5.9
Field-Weighted View Impact,0.95,1.02,1.00,0.93,0.92,0.92,0.92,0.99
Citing-Patents Count (patent office: All Patent Offices),49,33,13,4,-,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),33,18,11,4,0,0,0,0
Patent-Citations Count (patent office: All Patent Offices),55,37,14,4,0,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),5.7,25.1,9.5,2.6,0.0,0.0,0.0,0.0
Mass Media (Print),1877,308,309,339,364,320,237,-
Media Exposure Internationally recognized (Print),1533.0,276.0,236.0,297.0,277.0,251.0,196.0,-,
Media Exposure Regionally recognized (Print),60.0,4.5,15.0,8.5,16.0,11.5,4.5,-,
Media Exposure Nationally recognized (Print),48.9,4.5,8.1,6.3,11.7,9.3,9.0,-,
Media Exposure Locally recognized (Print),12.2,1.6,3.2,0.8,3.2,3.0,0.4,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),3.78,2.1,2.2,3.1,2.4,2.7,9.1,-
"Authors",5853,1586,1667,1910,2058,2027,2187,632
Authors (growth %),27.8%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
