Name,Publications,publication,Citation,h-index
"1. Sundar, Shyam",185,2017,2678,63
"5. Singh, Venktesh N.",86,2016,1885,60
"8. Singh, Chandan P.",78,2016,1785,58
"354. Srivastava, Pramod Kumar Umar",15,2015,141,52
"147. Gupta, Rakesh Kumar",25,2016,345,48
"2. Quraishi, M. A.",138,2017,1605,47
"55. Singh, Sanjay",40,2016,118,47
"Singh, Arun Deo",11,2016,51,40
"387. Singh, Lalji B.",14,2015,281,38
"140. Prakash, Om M.",26,2015,273,38
"45. Mishra, Madhukar K.",42,2016,1192,36
"210. SINGH, RAKESH Kumar Hemakumar",21,2016,286,36
"27. Sharma, Yogesh Chandra",51,2017,944,35
"6. Singh, Bhartendu K.",79,2016,1586,34
"3. Rai, Shyambahadur",115,2017,1228,33
"71. Sinha, Rajeshwar P.",35,2017,233,33
"46. Singh, Rajendra Kumar Brojen",42,2016,522,32
"118. Pandey, Dhananjai K.",28,2015,200,32
"14. Mishra, Om Prakash Rakash",63,2017,186,32
"287. Kumar, Rajiv Senthil",17,2016,335,31
"149. Kumar, Vinod Anil",25,2016,147,31
"269. Sharma, Vijay Kumar",18,2016,102,31
"4. Srivastava, Onkar Nath",100,2017,826,30
"346. Singh, Ashish Kumar",15,2016,414,30
"29. Agrawal, Madhoolika",47,2016,335,29
"25. Singh, Vivek Kumar N",53,2017,164,29
"136. Singh, Sunil K.",27,2016,591,28
"289. Pandey, Manoj",17,2016,206,28
"32. Ghosh, Anup Kumar",45,2016,148,28
"272. Singh, Manoj Kumar",18,2016,94,28
"319. Singh, Sanjay Kumar",16,2017,72,28
"292. Singh, Nandita Kumar Sharat",17,2016,47,28
"69. Singh, Om Prakash",35,2016,352,27
"81. Srivastava, Rajesh Kumar",33,2016,209,27
"70. Singh, Vinay Kumar",35,2017,203,27
"317. Singh, Jamuna Sharan",16,2015,114,27
"Singh, Satish Kumar",11,2015,102,27
"481. Bharti, Arvind Kumar",11,2016,59,27
"63. Srivastava, Anchal K.",36,2015,1280,26
"53. Rai, Madhukar",40,2016,697,26
"187. Dubey, Rama Shanker",22,2016,355,26
"77. Joshi, Arun Kumar",33,2016,235,26
"109. Singh, Mahendra Pratap",29,2016,139,26
"366. Kumar, Pradeep K.",14,2016,97,26
"281. Dixit, Vinod Kumar",17,2016,95,26
"7. Prakash, Rajiv",78,2016,735,25
"15. Maiti, Pralay",60,2017,483,25
"19. Dubey, Nawal Kishore",56,2017,459,25
"143. Shukla, Vijay Kumar",26,2016,83,25
"156. Singh, Ravindra Nath",25,2017,381,24
"145. Srivastava, Pankaj Kumar",26,2014,286,24
"85. Singh, Prabhakar K.",32,2016,207,24
"193. Prakash, Jai C.",22,2016,188,24
"94. Goel, Raj Kumar Umar",30,2015,177,24
"108. Pandey, Prem Chandra",29,2016,172,24
"141. Rai, Lalchand",26,2017,171,24
"12. Singh, Maya Shankar",69,2016,1138,23
"10. Nath, Gopal",72,2016,349,23
"44. Mishra, Brahmeshwar",42,2017,271,23
"100. Ray, Biswajit",30,2016,235,23
"124. Tripathi, Anil Kumar",28,2016,126,23
"16. Tarafdar, Sourav",60,2016,1357,22
"22. Pandey, Daya Shankar",55,2017,636,22
"87. Tiwari, Vinod Kumar",32,2017,327,22
"234. Singh, Priyanka K.",20,2015,302,22
"135. Singh, Sanjay Kumar",27,2016,196,22
"84. Singh, Abhay Kumar",32,2016,167,22
"190. Kumar, Shiv Santhosh",22,2016,91,22
"283. Gupta, Dinesh Kumar",17,2016,20,22
"18. Singh, K. N.",57,2017,879,21
"23. Hemalatha, Siva",54,2017,627,21
"95. Kayastha, Arvind Mohan",30,2017,256,21
"360. Chandra, Suresh V Jagadeesh",14,2014,245,21
"252. Singh, Jai",19,2016,186,21
"197. Singh, Surendra Pratap",22,2016,157,21
"120. Singh, Prashant Kumar",28,2017,155,21
"76. Chatterjee, Sandip N.",33,2016,154,21
"199. Tripathi, Brahma Dutt",22,2017,137,21
"82. Muthu, M. S.",32,2017,596,20
"37. Prasad, Bhim Bali",43,2017,446,20
"11. Kumar, Devendra Senthil",71,2017,387,20
"13. Parkash, Om M.",66,2017,341,20
"21. Agrawal, Shashi Bhushan",55,2016,306,20
"431. Srivastava, Saurabh Kumar",13,2015,239,20
"133. Saha, Satyen",27,2017,225,20
"320. Singh, Shri Prakash",16,2015,222,20
"73. Mishra, Phool Chand",34,2017,178,20
"274. SINGH, SUKH MAHENDRA",18,2014,177,20
"91. Narayan, Gopeshwar",31,2017,156,20
"182. Tripathi, Yamini Bhusan",23,2017,100,20
"294. Sodhi, Ajit",17,2013,78,20
"449. Kumar, Harish C Sampath",12,2016,26,20
"471. Singhal, Rahul P.",12,2016,26,20
"477. Tripathi, Ambuj K.",12,2016,25,20
"31. Dash, Debabrata",45,2017,667,19
"47. Chakravarty, Jaya",41,2016,602,19
"180. Srivastava, Manoj Kumar",23,2016,313,19
"238. Upadhyay, Siddh Nath Ath",20,2015,272,19
"160. Abhilash, P. C.",24,2016,234,19
"72. Jagannadham, Medicherla Venkata",34,2016,165,19
"284. Hasan, Syed Hadi",17,2017,101,19
"242. Maiti, Biswajit R.",19,2016,298,18
"60. Ganesan, Vellaichamy",37,2017,290,18
"54. Sarma, Birinchi Kumar",40,2016,263,18
"89. Lakhotia, Subhash C.",31,2016,201,18
"444. Gaur, Jai Prakash",12,2016,194,18
"79. Raghubanshi, Akhilesh Singh",33,2017,183,18
"62. Kumar, Mohan Mohan",36,2017,159,18
"251. Singh, Amit Kumar",19,2013,96,18
"155. Singh, Akhilesh Kumar",25,2017,72,18
"233. Singh, Manish Kumar",20,2016,66,18
"90. Mukhopadhyay, Nilay Krishna",31,2016,65,18
"237. Srivastava, Prashant Kumar",20,2017,22,18
"Mishra, Hirdyesh K.",11,2016,14,18
"41. Tiwari, Radhey Shyam",43,2016,288,17
"50. Mishra, Lallan K.",40,2017,243,17
"121. Singh, Santosh Kumar",28,2016,233,17
"326. Asthana, Birendra Pratap",15,2015,142,17
"157. Singh, Vakil",25,2016,90,17
"396. Talat, Mahe",14,2016,80,17
"51. Mishra, Shashi Kant",40,2016,63,17
"314. Singh, Bhaskar N.",16,2012,503,16
"112. Verma, Rajiv Kumar",29,2015,428,16
"59. Bhadauria, Beer Singh",37,2016,319,16
"17. Haldar, Chandana",58,2017,291,16
"34. Mandal, Bhabani Prasad",44,2016,289,16
"106. Krishna, Amitabh",29,2017,211,16
"167. Singh, Amit Raj",24,2015,191,16
"172. Chakrabarti, Parthsarathi",23,2016,166,16
"179. Sinha, Akhoury Sudhir Kumar",23,2017,166,16
"48. Chand, Ramesh B.",41,2017,113,16
"265. Pandey, Jitendra Kumar",18,2016,104,16
"452. Kumar, Rajesh Ananda",12,2016,102,16
"148. Kumar, Vikas",25,2017,83,16
"273. Singh, Meenakshi K.",18,2016,57,16
"291. Sharma, Neeraj Kumar",17,2016,52,16
"Singh, Sunit Kumar",11,2016,43,16
"402. Das, Parimal K.",13,2017,41,16
"384. Shukla, Kalpana K.",14,2016,15,16
"74. Misra, Arvind",34,2017,478,15
"83. Prakash, Bhanu",32,2016,424,15
"248. Shahid, Mohammad Iqbal Bin",19,2017,339,15
"122. Singh, Vinod Prasad",28,2017,306,15
"404. Gidwani, Kamlesh",13,2015,292,15
"52. Patnaik, Ranjana",40,2016,248,15
"66. Chaube, Shail Kumar",35,2017,195,15
