Name,Publications,publication,Citation,h-index
"1. Jain, Narendra Kumar",81,2016,1767,52
"170. Agrawal, Govind P.",3,2014,33,49
"446. Miller, Duane D.",1,2014,17,45
"2. Vyas, Suresh P.",67,2016,708,41
"294. Khar, Roop Krishen Rishen",2,2011,1,41
"106. Jain, Amit Kumar",5,2016,64,37
"410. Goyal, Amit Kumar",1,2011,5,34
"5. Jain, Sanjay Kumar",36,2016,277,33
"Singh, Ajay Pal Al",1,2012,8,33
"197. Kumar, Sunil M Shanta",3,2016,3,32
"67. Pandeya, Surendra Nath",8,2012,36,27
"3. Dixit, Vinod Kumar",48,2015,545,26
"28. Jain, Ashish Kumar H",15,2015,145,26
"78. Mishra, Dinesh Kumar",7,2014,35,26
"22. Sharma, Vikas ̀ Kumar",17,2015,245,25
"280. Jain, Nitin Kumar",2,2014,18,25
"313. Mishra, Sanjay Kumar",2,2014,1,25
"412. Gupta, Prem Narayan",1,2011,32,24
"453. Narasimhan, Balasubramanian",1,2014,1,24
"414. Gupta, Sanjeev Kumar K",1,2016,0,24
"428. Kaur, Manpreet P.",1,2013,0,24
"480. Sharma, Praveen Kumar",1,2011,2,23
"435. Koschak, Alexandra",1,2014,8,22
"135. CHANDRA, SUBHASH",4,2014,7,22
"17. Agrawal, Govind Prasad",17,2016,315,21
"363. Singh, Jai",2,2014,22,21
"154. Mishra, Pradeep R.",4,2012,11,21
"427. Kaur, Mandeep S.",1,2011,5,21
"209. Parle, Milind",3,2016,4,20
"50. Tekade, Rakesh Kumar",10,2015,282,19
"6. Pal, Dilipkumar Kumar",27,2016,191,19
"105. Gupta, Umesh",5,2015,139,19
"162. Ravichandran, Veerasamy",4,2012,40,19
"48. Jain, Abhishek Kumar",10,2017,168,18
"82. Thakur, Mayank",7,2015,78,18
"107. Jain, Atul Kumar",5,2016,77,18
"13. Srivastava, Santosh Kumar",22,2017,48,18
"216. Roy, Amit Kumar",3,2013,6,18
"433. Khatri, Kapil",1,2014,6,18
