Data set,Overall research performance
Entity,"Guru Ghasidas University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),28.2%,17.1%,51.4%,32.4%,28.6%,22.2%,21.2%,0.0%
Academic-Corporate Collaboration (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Scholarly Output,202,41,35,34,28,27,33,4
Scholarly Output (growth %),-34.1%
Citations,1161,324,374,261,108,72,22,0
Field-Weighted Citation Impact,0.84,0.69,0.83,0.88,0.81,0.90,1.10,0.00
Outputs in Top Citation Percentiles (top 10%),13.1%,7.3%,14.3%,11.8%,14.3%,14.8%,18.2%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),9.7%,7.7%,9.1%,9.4%,8.0%,12.0%,12.9%,-%
Citations per Publication,5.7,7.9,10.7,7.7,3.9,2.7,0.7,0.0
Views,3489,921,889,646,452,354,216,11
Outputs in Top Views Percentiles (top 10%),15.7%,14.6%,20.0%,14.7%,17.9%,18.5%,9.1%,-%
Views per Publication,17.3,22.5,25.4,19.0,16.1,13.1,6.5,2.8
Field-Weighted View Impact,1.02,1.19,1.19,0.89,1.23,0.97,0.67,0.58
Citing-Patents Count (patent office: All Patent Offices),9,6,3,-,-,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),2,1,1,0,0,0,0,0
Patent-Citations Count (patent office: All Patent Offices),9,6,3,0,0,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),44.6,146.3,85.7,0.0,0.0,0.0,0.0,0.0
Mass Media (Print),1,-,1,-,-,-,-,-
Media Exposure Internationally recognized (Print),
Media Exposure Regionally recognized (Print),0.5,-,0.5,-,-,-,-,-
Media Exposure Nationally recognized (Print),
Media Exposure Locally recognized (Print),
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.00,0.0,0.0,0.0,0.0,0.0,0.0,-
"Authors",156,40,37,43,29,37,36,7
Authors (growth %),-7.5%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
