Name,Publications,Citation,h-index
"1. Rajak, Harish",27,200,11
"2. Pandey, Ravi Shankar",12,71,16
"3. Patra, Kartik Chandra",10,53,7
"4. Jain, Deepak Kumar",8,35,13
"5. Mukherjee, Bhaskar",8,19,6
"6. Singh, Avineesh K.",8,55,5
"8. Patel, Vijay Kumar",7,32,11
"7. Parmar, Poonam",7,66,4
"12. Srivastava, Sunil Kumar",6,30,14
"10. Chaturvedi, L.",6,31,9
"11. Pareta, Surendra Kumar",6,40,6
"9. Bodakhe, Surendra Haribhau",6,21,4
"14. Ranganath, Kalluri Venkata Sri",5,58,14
"16. Tripathi, Bhumi Nath Ath",5,44,12
"17. Trivedi, Tanuj R.",5,12,11
"15. Thakur, Bhupendra Singh",5,54,3
"13. Lanjhiyana, Sanjay Kumar",5,16,3
"22. Khan, M. L.",4,21,16
"21. Jain, Nishant Sudhir",4,3,16
"19. Bhowmik, Ranjan Kumar",4,30,15
"24. Ram, Alpana",4,12,7
"20. Harwansh, R. K.",4,25,6
"23. Namdeo, Kamta Prasad",4,5,5
"18. Ahirwar, Bharti",4,64,4
"25. Shaikh, Melad",4,13,3
"34. Singh, Meenakshi K.",3,17,16
"31. Kumar, Pramod Raghavendra",3,14,13
"36. Upadhyaya, Chandrama Prakash",3,114,10
"30. Kumar, Manoj Sudheer",3,9,7
"27. Garabadu, Debapriya",3,15,6
"29. Khokhar, M. S K",3,15,6
"26. Dewangan, Pramod Kumar",3,42,3
"32. Meena, Kedar Prasad",3,9,3
"38. Wasnik, Shailendra",3,13,2
"33. Sahu, Mahendra",3,7,2
"35. Singh, Pradeep Kumar",3,16,1
"28. Gupta, Sanjay K.",3,13,1
"37. Verma, Lokesh",3,2,1
"51. Saxena, Amit Kumar",2,2,20
"48. Mandal, Vivekananda",2,17,10
46. Krishichayan,2,19,8
"53. Singh, Brijesh Kumar N",2,7,7
"40. Arora, Charu L.",2,1,6
"50. Rangari, Vinod D.",2,0,6
"42. Dangi, Jawahar Singh",2,8,5
"55. Turpu, Goverdhan Reddy",2,7,3
"52. Shukla, Manju",2,5,3
"56. Uppada, Vanita",2,0,3
"54. Tripathi, Bhumi Nath",2,61,2
"43. Gavel, Pramod Kumar",2,7,2
"47. Kundu, Mrityunjoy",2,7,2
"41. Bodakhe, Kiran S.",2,5,2
"44. Harish, Rajak",2,4,1
"45. Hota, Hari S.",2,1,1
"49. Patel, Preeti",2,1,1
"39. Agrawal, Rashmi",2,0,0
"68. Das, Soma Jerome",1,1,49
"138. Singh, Sunil K.",1,1,28
"88. Mishra, Dinesh Kumar",1,8,26
"133. Singh, Pushpendra Pal",1,1,23
"137. Singh, Sukhvir N.",1,33,22
"123. Shrivas, Kamlesh",1,2,20
"149. Tiwari, Shashi Kant",1,6,19
"126. Shukla, Alok K.",1,4,19
"126. Shukla, Alok K.",1,4,19
"93. Pandey, Sudhir Kumar Umar",1,0,16
"110. Roy, Partha Pratim Ratim",1,48,15
"151. Ugale, R. R.",1,5,14
"131. Singh, Deepika M.",1,3,14
"78. Jain, Ritesh G.",1,2,12
"148. Thareja, Suresh",1,1,12
"74. Govil, I. M.",1,0,11
"127. Shukla, Dhananjay C.",1,0,11
"83. Kumar, Rahul Barani",1,11,10
"62. Bhatt, Renu",1,14,9
"66. Das, Kuntal Kanti",1,7,9
"155. Yadav, Abhishek S.",1,1,9
"150. Tiwary, Bhupendra Nath",1,9,7
"92. Pandey, Neha N.",1,1,7
"98. Prajapati, Ram Prasad",1,0,7
