Data set,Overall research performance
Entity,"Hemwati Nandan Bahuguna Garhwal University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,3 March 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),14.8%,11.6%,13.2%,16.5%,17.6%,10.0%,18.8%,23.1%
Academic-Corporate Collaboration (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Scholarly Output,690,155,129,109,102,70,112,13
Scholarly Output (growth %),-54.8%
Citations,2228,903,577,406,218,74,50,0
Field-Weighted Citation Impact,0.55,0.54,0.48,0.60,0.44,0.77,0.62,0.00
Outputs in Top Citation Percentiles (top 10%),4.4%,3.2%,5.4%,2.8%,3.9%,2.9%,8.0%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),7.6%,5.2%,3.4%,7.8%,8.2%,7.8%,14.4%,-%
Citations per Publication,3.2,5.8,4.5,3.7,2.1,1.1,0.4,0.0
Views,9287,3308,1941,1229,1363,628,724,94
Outputs in Top Views Percentiles (top 10%),8.1%,11.0%,5.4%,4.6%,9.8%,7.1%,9.8%,-%
Views per Publication,13.5,21.3,15.0,11.3,13.4,9.0,6.5,7.2
Field-Weighted View Impact,0.76,0.98,0.73,0.65,0.75,0.70,0.65,0.92
Citing-Patents Count (patent office: All Patent Offices),6,-,2,1,3,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),4,0,1,1,2,0,0,0
Patent-Citations Count (patent office: All Patent Offices),6,0,2,1,3,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),8.7,0.0,15.5,9.2,29.4,0.0,0.0,0.0
Mass Media (Print),6,-,-,-,-,2,4,-
Media Exposure Internationally recognized (Print),5.0,-,-,-,-,2.0,3.0,-,
Media Exposure Regionally recognized (Print),
Media Exposure Nationally recognized (Print),
Media Exposure Locally recognized (Print),0.2,-,-,-,-,-,0.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.21,0.0,0.0,0.0,0.0,0.0,1.1,-
"Authors",512,191,167,157,124,105,164,22
Authors (growth %),-45.0%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
