Name,Publications,publication,Citation,h-index
"203. Kumar, Rakesh Anil Prem",2,2012,32,53
"119. Singh, Vinod Kumar",4,2013,15,52
"200. Kumar, Pankaj Arun",2,2011,9,29
"350. Kumar, Arvind",1,2013,4,29
"320. Gupta, Atul Kumar",1,2013,1,29
"70. Tiwari, Suresh Chandra",6,2013,10,26
"93. Sharma, Vikas̀ Kumar",5,2015,17,25
"Tripathi, Anil Kumar",1,2012,7,23
"51. CHANDRA, SUBHASH",7,2013,25,22
"454. Sharma, Dinesh Kumar",1,2011,15,22
"110. Maikhuri, Rakesh Kumar",4,2017,8,21
"398. Pandey, Anita",1,2011,3,20
"160. Singh, Balbir N.",3,2012,35,19
"36. Kumar, A.",8,2015,20,19
"352. Kumar, Deepak Ashok",1,2016,0,18
"1. Ramola, Rakesh Chand",48,2016,125,17
"279. Chandra, Harish Sharat",1,2014,1,17
"199. Kumar, Ashok Ananda",2,2015,0,17
"482. Singh, Santosh Kumar",1,2012,0,17
"22. Singh Rana, Rajendra",11,2016,96,16
"17. Singh, Pramod Kumar",13,2016,43,16
"226. Singh, Deepak P.",2,2012,32,16
"92. Sharma, Neeraj Kumar",5,2016,5,16
"338. Kaur, A.",1,2014,0,16
"2. Rawat, Mohan Singh Maniyari",34,2017,227,15
"10. Semalty, Ajay",15,2016,148,15
"16. Semalty, Mona",13,2016,145,15
"470. Singh, Braj Raj",1,2011,4,15
"152. Rawat, Gopal Singh",3,2016,2,15
"61. Singh, Devendra Roop",7,2014,108,13
"108. Kumar, Dhananjay Senthil",4,2016,17,13
"202. Kumar, Pramod Raghavendra",2,2014,5,13
"Singh, Virender Pal",1,2011,2,13
"362. Kumar, Sudhir Ramesh",1,2014,1,13
"375. Mishra, Amita P.",1,2016,0,13
"419. Rai, Anant",1,2012,0,13
"11. Sharma, Chandra Mohan",15,2016,76,12
"204. Kumar, Sanjay B.",2,2013,5,12
"483. Singh, Shalini K.",1,2013,2,12
"224. Sharma, Jyotsna R.",2,2012,33,11
"4. Todaria, Nagendra Prasad",20,2016,32,11
"115. Singh, Mamta P.",4,2013,17,11
"241. Ahmad, Rizwan Zafar",1,2012,2,11
"321. Gupta, Richa K.",1,2011,1,11
"240. Ahmad, Iqbal A.",1,2011,0,11
"69. Sharma, Ramesh Chandra",6,2013,110,10
"33. Gairola, Sumeet",8,2013,70,10
"83. Prasad, Ganesh V Ravi",5,2016,22,10
"9. Nautiyal, Mohan Chandra",15,2016,13,10
"358. Kumar, Sanjay Pradeep Manoj",1,2012,5,10
"386. Nautiyal, Bhagwati Prasad",1,2013,0,10
"37. Kumar, Vijay Gs",8,2013,49,9
"85. Rana, Jatinkumar M S",5,2011,22,9
"28. Joshi, Gopal Kishna",9,2016,18,9
"149. Phartyal, Shyam Singh",3,2016,5,9
"445. Semwal, Deepak Kumar",1,2011,5,9
"104. Gupta, Vivek Kumar",4,2014,47,8
"20. Gusain, Gurupad S.",11,2016,45,8
"15. Parcha, Versha",13,2016,27,8
"162. Singh, Lachham",3,2015,25,8
"91. Semwal, Ruchi Badoni",5,2011,20,8
"14. Chauhan, Rajendra Singh",13,2016,11,8
"153. Rawat, Usha",3,2011,11,8
"185. Chauhan, Dusayant Singh",2,2013,6,8
"463. Sharma, Shivesh K.",1,2014,1,8
"218. Rawat, Sandeep S.",2,2016,0,8
"304. Dubey, Arun Kumar",1,2015,0,8
"325. Hota, Prasanta Kumar",1,2014,0,8
"78. Mishra, Kumkum K.",5,2013,110,7
"3. Sundriyal, Yaspal P.",20,2016,98,7
"40. Painuli, Rakesh Mohan",8,2014,90,7
"66. Gaur, R. D.",6,2014,78,7
"27. Ghildiyal, Sunil Kumar",9,2013,74,7
"62. Suyal, Sarvesh",7,2012,70,7
"5. Kumar, Munesh Sudheer",19,2016,64,7
"43. Sati, Saraswati Prakash",8,2016,59,7
"18. Rana, Naresh",12,2016,58,7
"7. Nautiyal, Prakash C.",16,2016,45,7
"75. Bisht, Shekhar Chandra",5,2014,26,7
"144. Nainwal, H. C.",3,2012,26,7
"39. Negi, Devendra Singh",8,2016,23,7
"94. Singh, Bhupendra P.",5,2017,12,7
"363. Kumar, Sudhir Vinod",1,2014,2,7
"179. Bora, Kundan Singh",2,2016,0,7
"208. Mishra, Ashish K.",2,2016,0,7
"287. Chauhan, Mala",1,2017,0,7
"357. Kumar, Sandeep Mahendra",1,2016,0,7
"31. Sati, Nitin",9,2017,41,6
"19. Bhatt, Rajendra Prasad",11,2016,34,6
"46. Ahluwalia, Vivek K.",7,2017,31,6
"6. Purohit, Vijay Kant",17,2016,26,6
"56. Negi, Jagmohan Singh",7,2013,21,6
"329. Joshi, Geeta Pant",1,2011,20,6
"58. Pant, Geeta Joshi Nee",7,2017,18,6
"60. Saharan, Vikas Anand",7,2017,17,6
"215. Rawat, Devendra Singh",2,2013,13,6
"159. Singh, Anupama K.",3,2015,10,6
"84. Ram, Veerma Anand",5,2016,5,6
"41. Prasad, Pankaj",8,2015,4,6
"417. Prasad, Rajendra Bhatt",1,2011,3,6
"472. Singh, Dolly V.",1,2011,2,6
"140. Joshi, Mukesh Chandra",3,2012,0,6
"8. Sati, Om Prakash",16,2017,71,5
"12. Gusain, Omprakash Prakash",14,2015,63,5
"50. Bisht, Narendra Singh",7,2016,28,5
"145. Naithani, Umesh C.",3,2011,23,5
"229. Thakur, Ram Lal",2,2013,22,5
"135. Dobriyal, Anoop Kumar",3,2013,11,5
"63. Bhatt, Sunil C.",6,2014,5,5
"48. Bhatt, Ajay Ballabh",7,2016,4,5
"49. Bhatt, Jaimin P.",7,2016,4,5
"130. Chauhan, Jai Singh",3,2014,1,5
"354. Kumar, Naresh M.",1,2016,1,5
"415. Prakash, Vinay",1,2013,1,5
"458. Sharma, Pushpendra Kumar",1,2013,1,5
"55. Nautiyal, Anant R.",7,2016,0,5
"118. Singh, Sunil P.",4,2016,98,4
"38. Lakhera, Pramesh Chandra",8,2016,44,4
"74. Bharti, Alpana",5,2013,44,4
"23. Bisht, Gajraj Singh",10,2015,43,4
"109. Kumar, Lokendra Pawan",4,2012,39,4
"90. Sati, Sushil Chandra",5,2017,38,4
"249. Baduni, Narendra P.",1,2011,30,4
"184. Chaudhary, Shipra",2,2015,26,4
"97. Anthwal, Amit",4,2014,25,4
"166. Thakur, Bandana K.",3,2014,23,4
"68. Negi, Ambika",6,2014,22,4
"53. Joshi, Geeta C.",7,2015,21,4
"35. Jadon, Vikash Singh",8,2016,19,4
"79. Nee Pant, Geeta Joshi",5,2016,19,4
"147. Negi, Yogesh Kumar",3,2012,18,4
"54. Kamal, Barkha",7,2016,17,4
"95. Srivastava, Nidhi",5,2015,17,4
"76. Kothiyal, Sudhir Kumar",5,2013,16,4
"188. Faruk, Abdul",2,2016,9,4
"317. Goel, Divya",1,2015,6,4
142. Komal,3,2015,4,4
"173. Bhatt, Archana B.",2,2013,4,4
"191. Gupta, Gaurav",2,2011,4,4
"260. Bhandari, B. S.",1,2011,4,4
"260. Bhandari, B. S.",1,2011,4,4
"340. Khaket, Tejinder Pal",1,2011,4,4
"216. Rawat, Meera",2,2015,3,4
"164. Sood, Anchal",3,2014,2,4
"376. Mishra, Juhi K.",1,2012,2,4
"13. Upadhyay, Trilok Chandra",14,2016,1,4
"392. Negi, Jeetendra Singh Ingh",1,2011,1,4
"475. Singh, Mamta Romeo",1,2011,1,4
"176. Bhattacharya, Indrashis",2,2016,0,4
"314. Garg, Faquir Chand",1,2014,0,4
