Data set,Overall research performance
Entity,"Jawaharlal Nehru University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),20.1%,23.0%,20.1%,16.5%,17.1%,22.8%,21.3%,16.0%
Academic-Corporate Collaboration (%),0.6%,1.1%,0.8%,0.3%,0.4%,0.4%,0.6%,0.0%
Scholarly Output,4177,521,631,583,733,775,815,119
Scholarly Output (growth %),48.8%
Citations,19005,4141,6297,3182,3292,1623,467,3
Field-Weighted Citation Impact,0.88,0.86,0.94,0.86,0.95,0.84,0.88,0.58
Outputs in Top Citation Percentiles (top 10%),9.9%,9.2%,8.7%,8.9%,9.0%,10.2%,12.3%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),23.6%,21.1%,23.9%,23.8%,21.5%,26.8%,23.6%,-%
Citations per Publication,4.5,7.9,10.0,5.5,4.5,2.1,0.6,0.0
Views,54820,7468,14613,7536,9344,9897,5491,471
Outputs in Top Views Percentiles (top 10%),8.2%,8.1%,7.9%,8.1%,9.3%,7.6%,8.1%,-%
Views per Publication,13.1,14.3,23.2,12.9,12.7,12.8,6.7,4.0
Field-Weighted View Impact,0.94,0.78,1.05,0.86,0.94,1.13,0.82,1.11
Citing-Patents Count (patent office: All Patent Offices),23,10,11,-,2,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),15,7,6,0,2,0,0,0
Patent-Citations Count (patent office: All Patent Offices),24,10,12,0,2,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),5.7,19.2,19.0,0.0,2.7,0.0,0.0,0.0
Mass Media (Print),4246,326,367,343,461,552,2197,-
Media Exposure Internationally recognized (Print),1756.0,160.0,186.0,116.0,229.0,244.0,821.0,-,
Media Exposure Regionally recognized (Print),308.0,25.0,26.5,32.5,34.0,54.0,136.0,-,
Media Exposure Nationally recognized (Print),444.9,26.7,27.6,34.5,37.2,36.0,282.9,-,
Media Exposure Locally recognized (Print),78.2,5.4,7.2,9.4,8.0,16.0,32.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),17.55,0.8,1.8,2.0,1.6,2.8,80.4,-
"Authors",2361,532,654,615,772,818,845,202
Authors (growth %),53.8%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
