Name,Publications,publication,,h-index
"1. Ramanathan, Al L.",83,2016,378,25
"2. Bohidar, Himadri B.",79,2017,293,23
"3. Lobiyal, Daya Krishan",71,2017,239,10
"4. Thakur, Indu Shekhar Hekhar",62,2016,273,18
"5. Pareek, Ashwani",59,2017,450,20
"6. Bhattacharya, Alok",56,2016,301,26
"7. Grover, Abhinav Grover",55,2017,185,12
"8. Rawat, Kamla P.",51,2017,118,8
"9. Agrawal, Ramesh Kumar",50,2017,91,6
"10. Vidyarthi, Deo Prakash",50,2017,93,8
"11. Patnaik, Satyabrata B.",49,2016,282,23
"12. Ghosh, Subhasis",45,2016,211,17
"13. Ghosh, Rupamanjari",43,2016,115,12
"14. Mohan, Dinesh",42,2016,1486,44
"15. Puri, Sanjay P.",40,2015,135,8
"16. Solanki, Pratima Rathee",40,2017,160,31
"17. Dimri, Ashok Priyadarshan",39,2017,162,12
"18. Bamezai, Rameshwar Nath Koul",37,2017,453,23
"19. Bhatnagar, Rakesh",37,2017,202,22
"20. Gourinath, Samudrala",37,2016,196,16
"21. Kumar, Sushil Selva",35,2017,85,18
"22. Mukherjee, Saumitra",34,2016,204,10
"23. Bharadwaj, Kamal Kanth",33,2016,187,10
"24. Subbarao, Naidu",32,2017,248,11
"25. Singh, Rana P.",29,2017,331,49
"26. Prasad, Rajendra L.",28,2016,385,22
"27. Mallick, Birendra Nath",26,2016,129,22
"28. BHATTACHARYA, SUDHA",24,2016,150,21
"29. Dasgupta, Rajib",24,2016,40,8
"30. Ghosh, Jayati",24,2016,26,10
"31. Chakraborty, Supriya",23,2017,109,9
"32. Chandrasekhar, C. P.",23,2017,12,4
"33. Madhubala, R.",23,2016,169,22
"34. Mohanty, Tanuja",23,2017,111,14
"35. Sharan, Aditi",23,2016,20,4
"36. Behari, Jitendra",22,2014,296,18
"37. Johri, Atul Kumar",22,2016,207,14
"38. Kumar, Krishan Vinod Pavan Pavan",22,2017,173,16
"39. Bandyopadhyay, Pradipta K.",21,2016,120,12
"40. Dixit, Aparna P.",21,2017,65,9
"41. Jain, Vinod Kumar",21,2016,153,25
"42. Karmeshu, Karmeshu",21,2016,31,7
"43. Kulshrestha, Umesh Chandra",21,2016,49,18
"44. Raju, N. Janardhana",21,2017,30,7
"45. Srivastava, Pawan Kumar",21,2016,96,5
"46. Das, Shankar Prasad",20,2016,59,14
"47. Paul, Jaishree Praveen",20,2016,148,12
"48. Patnaik, Prabhat",19,2017,25,4
"49. Raza, Zahid",19,2017,22,5
"50. Sarin, Neera Bhalla",19,2016,112,13
"51. Ghosh, Indira",18,2016,99,10
"52. Lynn, Andrew Michael Ichael",18,2016,221,13
"53. Singh, Virendra Bahadur",18,2016,116,6
"54. Joshi, Pawan Kumar Umar",17,2016,10,14
"55. Komath, Sneha Sudha",17,2016,71,17
"56. Kumar, Manish",17,2016,254,8
"57. Singh, Awaneesh K.",17,2015,22,6
"58. Balasundaram, Srividya R.",16,2017,52,5
"59. Dhar, Suman Kumar",16,2016,85,17
"60. Katti, Chittaranjan Padmanabha",16,2016,18,3
"61. Nayyar, Deepak",16,2017,43,7
"62. Ramaswamy, Ramakrishna",16,2014,67,22
"63. Saha, Jitendra",16,2017,106,4
