Data set,Overall research performance
Entity,"Jamia Millia Islamia"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),26.7%,23.1%,20.2%,28.7%,27.4%,27.6%,29.8%,33.7%
Academic-Corporate Collaboration (%),0.5%,0.8%,0.8%,0.2%,0.0%,0.4%,0.6%,0.0%
Scholarly Output,3042,377,475,415,515,525,631,104
Scholarly Output (growth %),39.3%
Citations,13997,3369,3834,2825,2163,1369,436,1
Field-Weighted Citation Impact,0.85,0.84,0.74,0.92,0.84,0.94,0.91,0.19
Outputs in Top Citation Percentiles (top 10%),12.1%,9.0%,8.4%,14.0%,10.9%,15.2%,13.9%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),16.3%,13.5%,15.3%,15.4%,15.8%,18.5%,17.7%,-%
Citations per Publication,4.6,8.9,8.1,6.8,4.2,2.6,0.7,0.0
Views,44452,7642,8702,7869,7932,6987,4943,377
Outputs in Top Views Percentiles (top 10%),12.6%,12.2%,13.3%,11.6%,12.4%,13.7%,12.2%,-%
Views per Publication,14.6,20.3,18.3,19.0,15.4,13.3,7.8,3.6
Field-Weighted View Impact,1.00,0.99,0.89,0.98,1.09,1.02,0.99,1.02
Citing-Patents Count (patent office: All Patent Offices),17,3,4,5,6,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),15,3,3,4,5,0,0,0
Patent-Citations Count (patent office: All Patent Offices),18,3,4,5,6,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),5.9,8.0,8.4,12.0,11.7,0.0,0.0,0.0
Mass Media (Print),638,69,78,90,143,144,114,-
Media Exposure Internationally recognized (Print),260.0,36.0,31.0,29.0,58.0,64.0,42.0,-,
Media Exposure Regionally recognized (Print),39.5,3.0,7.0,6.0,10.5,10.5,2.5,-,
Media Exposure Nationally recognized (Print),65.4,6.6,4.5,9.9,13.8,12.9,17.7,-,
Media Exposure Locally recognized (Print),16.2,1.0,3.6,3.2,3.6,3.2,1.6,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),1.46,0.6,0.6,0.9,0.6,1.3,3.7,-
"Authors",1677,368,456,425,552,553,682,192
Authors (growth %),50.3%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
