Name,Publications,publication,Citation,h-index
"2. Ali, Imran",101,2016,1671,36
"1. Ahmad, Faizan",104,2017,620,25
"44. Khan, Tabrezalam",24,2017,609,13
"8. Manzoor, Nikhat",48,2016,591,17
"3. Hassan, Md Imtiyaz",92,2017,583,17
"11. Ahmad, Sharif",42,2016,540,33
"66. Ahsan, Haseeb",18,2016,512,15
"23. Mohammad, Faqeer",34,2017,432,9
"54. Shahid, Mohammad",21,2016,404,9
"4. Husain, Mushahid",71,2017,394,25
"26. Saleem, Kishwar",32,2016,380,15
"64. Ahmad, Aijaz",18,2014,365,15
"198. Asim, Mohd",7,2014,354,7
"15. Ansari, Zubaida Amin",39,2017,350,15
"20. Ahmad, Tokeer",36,2017,348,21
"29. Haleem, Abid",30,2017,339,9
"10. Azam, Amir K M Fakhrul",43,2017,334,33
"21. Rizvi, Moshahid Moshahid Alam",36,2017,327,14
"87. Wani, Waseem A.",15,2014,323,11
"45. Khan, Zaheer",24,2015,295,24
"43. Husain, Syed Akhtar",24,2016,286,22
57. Shahid-Ul-Islam,20,2017,266,6
"31. Khan, Luqmanahmad",29,2016,263,16
"5. Zulfequar, Mohammad",69,2017,256,20
"6. Islam, Asimul K M Tauhidul",65,2017,249,11
"75. Zafar, Fahmina",17,2017,244,13
"99. Haque, Ashanul",13,2016,240,8
"14. Wahab, Muhammad Amiruddin Bin Ab",40,2015,238,13
"135. Hussain, Javed Ijaz",10,2013,207,7
"7. Ansari, S. G.",51,2017,196,21
"16. Riaz, Ufana",39,2017,192,14
"22. Ashraf, Syed Marghoob",34,2016,185,23
"34. Basir, Seemi Farhat",27,2016,184,17
"67. Iftikhar, Khalid",18,2017,184,16
"238. Joshi, Prachi M.",6,2012,179,13
"109. Khan, Amber",12,2015,178,9
"42. Hashmi, Athar Adil",24,2017,177,11
"13. Islam, Tarikul",42,2016,169,9
"53. Qureshi, M. Irfan",21,2017,169,11
"62. Sami, Mohammad",19,2016,166,30
"172. Wani, Mohmmadyounus",9,2016,166,9
"138. Khan, Mohdibrahim",10,2015,161,6
"141. Khan, Shafatahmad",10,2015,161,6
"149. Yusuf, Mohamad Aslam",10,2015,161,20
"85. Sharmin, Eram",15,2017,159,18
"30. Ghosh, Sushant G.",29,2016,157,10
"126. Salahuddin, Attar",11,2013,157,10
"126. Salahuddin, Attar",11,2013,157,10
"46. Haq., Qazi Mohd Rizwanul",23,2016,155,13
"39. Jhingan, Sanjay",26,2016,151,16
"35. Ikram, Saiqa",27,2017,150,8
"52. Ali, Arif Mubarak",21,2016,148,17
"40. Bhaskar, Data Ram",24,2017,145,15
"79. Shkir, Mohd",16,2015,143,15
"343. Vashist, Arti",5,2015,143,7
"148. Wani, Irshad A.",10,2015,139,7
"47. Patel, Rajan S.",23,2017,137,8
"28. Ali, Anwar E M",30,2017,135,25
"55. Shreaz, Sheikh",21,2016,135,9
"121. Mehdi, Syed Jafar",11,2016,134,7
"9. Islam, Sheikh Safiul",46,2017,133,7
"68. Khatoon, Sarvari",18,2016,130,8
"158. Hossain, Md Wali",9,2015,124,8
"71. Sardar, Meryam",18,2016,121,13
"50. Aggarwal, Vivek",21,2016,119,12
"97. Athar, Fareeda",13,2017,117,15
"17. Khan, Mohd. Shahid",38,2017,114,9
"33. Sen, Anjanananda",28,2016,113,23
"96. Rahman, Atiqur K M Mostafizur",14,2016,113,10
"196. Akram, Deewan",7,2015,108,8
"101. Khan, Abbulbashar",13,2017,107,9
"102. Miglani, Sanjay",13,2016,101,7
"258. Rahman, Obaid Ur R",6,2015,100,6
"25. Ibraheem, A.",33,2016,98,10
"151. Ali, Asgar",9,2014,97,5
"36. Khan, Zishanhusain",27,2017,95,16
"145. Riscob, B.",10,2014,94,9
56. Harsh,20,2017,91,9
"41. Dadhich, Naresh Dadhich",24,2016,89,20
"221. Ahmed, Zubair",6,2015,89,8
"143. Mishra, Abhijeet",10,2016,88,5
"83. Gupta, Meetu L.",15,2017,87,12
"249. Kumari, Meena Swarna",6,2016,87,16
"117. Bhatia, Rimple",11,2014,85,7
"19. Haque, Shafiul",37,2017,84,7
"127. Siddiqui, Shadab Miyan",11,2016,84,6
"247. Kumar, Lokesh",6,2014,83,4
"48. Fatma, Tasneem",22,2016,81,11
"69. Nishat, Nahid",18,2016,81,13
"203. Ganguly, Aparna",7,2013,81,10
"37. Siddiquee, Arshad Noor",27,2017,80,7
"211. Nair, Remya P.",7,2015,77,5
"159. Irshad, Mohammad I.",9,2015,75,16
"12. Ansari, Abdul Quaiyum",42,2016,74,5
"156. Hasmuddin, Mohd",9,2015,74,5
"265. Singh, Taruna Sanjoy",6,2013,74,10
"277. Alam, Mahmood Shabbir",5,2012,74,9
"18. Ahmad, Musheer",37,2017,73,5
"183. Kohli, Sarita",8,2016,73,5
"131. Ahmed, Shakeel",10,2017,72,3
"181. Kashif, Mohammad",8,2015,72,7
"293. Dhanekar, Saakshi",5,2016,72,5
