Data set,Overall research performance
Entity,"Manipur University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),11.8%,2.6%,7.1%,16.9%,13.3%,19.6%,15.8%,11.1%
Academic-Corporate Collaboration (%),0.2%,0.0%,0.0%,1.4%,0.0%,0.0%,0.0%,0.0%
Scholarly Output,425,78,84,71,75,51,57,9
Scholarly Output (growth %),-34.6%
Citations,1615,504,410,364,243,74,19,1
Field-Weighted Citation Impact,0.54,0.47,0.55,0.63,0.65,0.48,0.42,0.78
Outputs in Top Citation Percentiles (top 10%),7.5%,6.4%,6.0%,7.0%,9.3%,7.8%,8.8%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),8.9%,4.5%,5.3%,8.8%,12.9%,16.3%,7.5%,-%
Citations per Publication,3.8,6.5,4.9,5.1,3.2,1.5,0.3,0.1
Views,4773,937,1502,888,743,401,297,5
Outputs in Top Views Percentiles (top 10%),7.0%,3.8%,10.7%,8.5%,8.0%,5.9%,3.5%,-%
Views per Publication,11.2,12.0,17.9,12.5,9.9,7.9,5.2,0.6
Field-Weighted View Impact,0.66,0.66,0.76,0.68,0.60,0.58,0.76,0.12
Citing-Patents Count (patent office: All Patent Offices),1,1,-,-,-,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),1,1,0,0,0,0,0,0
Patent-Citations Count (patent office: All Patent Offices),1,1,0,0,0,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),2.4,12.8,0.0,0.0,0.0,0.0,0.0,0.0
Mass Media (Print),1,-,-,-,-,1,-,-
Media Exposure Internationally recognized (Print),
Media Exposure Regionally recognized (Print),
Media Exposure Nationally recognized (Print),
Media Exposure Locally recognized (Print),0.2,-,-,-,-,0.2,-,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.00,0.0,0.0,0.0,0.0,0.0,0.0,-
"Authors",380,129,119,89,103,75,93,16
Authors (growth %),-41.9%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
