Name,,Publications,publication,Citation,h-index
"1. Vishwanath, Waikhom",,28,2016,115,8
"2. Gartia, Raj Kishor",,18,2016,87,11
"3. Singh, Okram Mukherjee",,17,2016,75,10
"4. Laitonjam, Warjeet Singh",,16,2016,24,5
"5. Rajmuhon Singh, N.",,15,2016,75,7
"6. Srivastava, Sri Krishna Rishna",,12,2015,224,6
"7. Sharma, Himanshu Basantakumar K",,11,2016,35,15
"8. Singh, Nirmala Rajmuhon",,11,2015,65,8
"9. Nimaichand, Salam",,10,2016,38,5
"10. Lokeshwor, Yumnam",,9,2014,48,4
"11. Ningthoujam, Debananda Singh",,9,2016,36,5
"12. Shangningam, Bungdon",,8,2016,25,4
"13. Singh, Narinder Basanta",,8,2016,13,4
"14. Singh, Thokchom Prasanta",,8,2016,45,4
"15. Devi, Nepram Sushuma",,7,2016,31,5
"16. Phanjoubam, Sumitra",,7,2017,9,10
"17. Singh, Sh Dorendrajit",,7,2016,8,6
"18. Singh, Shougaijam Dorendrajit",,7,2016,88,7
"19. Nongmeikapam, Kishorjit",,6,2012,4,2
"20. Pandey, Radha Raman",,6,2016,8,5
"21. Phaomei, Ganngam",,6,2013,128,7
"22. Singh, Laishram Priyobarta Riyobarta",,6,2015,40,4
"23. Singh, Senjam Sunil",,6,2016,36,4
"24. Yadava, P. S.",,6,2017,12,6
"25. Bhubon Singh, Raj K.",,5,2014,29,5
"26. Devi, Laishram Ronibala",,5,2015,23,4
"27. Devi, Sonia Pramodini R E M I L A",,5,2014,17,3
"28. Dhiren Meetei, Sanoujam",,5,2016,48,3
"29. Luwang, Meitram Niraj",,5,2012,180,8
"30. Mohilal, Naorem",,5,2016,7,2
"31. Naorem, Homendra",,5,2014,12,3
"32. Sharma, Gurumayum Jitendra",,5,2016,4,4
"33. Singh, Lubhan Lovedy",,5,2015,23,3
"34. SINGH, RAKESH Kumar Hemakumar",,5,2014,14,36
"35. Singh, Soram Bobby",,5,2016,12,5
"36. Singh, Th Basanta",,5,2013,52,5
"37. Singh, Wairokpam Rameshwor",,5,2016,48,5
"38. Asem, Satyavama Devi",,4,2016,10,2
"39. Devi, Seram Dushila",,4,2014,10,3
"40. Dorendrajit Singh, Shougaijam",,4,2014,29,3
"41. Hemakumar Singh, R. K.",,4,2014,8,3
"42. Ibohal, Ng G.",,4,2014,9,4
"43. Irabanta Singh, N.",,4,2014,2,1
"44. Kumar, Arun Pradeep Siva",,4,2014,54,49
"45. Loitongbam, Romeo Singh",,4,2016,42,3
"46. Maisnam, Mamata",,4,2015,5,4
"47. Okram, Reena",,4,2014,23,3
"48. Potsangbam, Kumar Singh",,4,2015,15,2
"49. Roshan, Thoudam",,4,2012,37,3
"50. Sarma, Himakshi Nandakumar K",,4,2014,3,12
"51. Shanta Singh, N.",,4,2013,88,8
"52. Singh, Laxman Jaideva",,4,2014,3,3
"53. Singh, Lisam Shanjukumar",,4,2016,9,6
"54. Singh, Naorem Shanta Hanta",,4,2013,41,10
"55. Singh, Potsangbam Kumar",,4,2014,3,3
"56. Singh, Sarangthem Joychandra",,4,2016,18,6
"57. Singh, Thangjam Kameshwor",,4,2012,0,3
"58. Thokchom, A.",,4,2017,6,2
"59. Thokchom, Dhanaraj Singh",,4,2016,4,2
"60. Wangkheirakpam, Sujata D.",,4,2016,0,0
"61. Chanu, Loukrakpam Bina",,3,2016,1,1
"62. Damayanti, Maibam",,3,2012,14,5
"63. Devi, Guruaribam Shantibala",,3,2016,3,1
"64. Devi, Manasi Damayanti",,3,2014,9,5
"65. Devi, Okram Ratnabala",,3,2015,1,1
"66. Devi, Runjun K Bindiya",,3,2014,12,2
"67. Devi, Sanjenbam Kunjeshwori Unjeshwo",,3,2015,11,4
"68. Guruaribam, Venus G.",,3,2016,5,2
"69. Haobam, Reena",,3,2015,56,5
"70. Huidrom, Bimola",,3,2014,6,2
"71. Ibotomba Singh, U.",,3,2013,19,2
"72. Ibungochouba Singh, T.",,3,2016,1,2
"73. Keithellakpam, Sanjoy",,3,2016,6,1
"74. Lamabam, Pradeep",,3,2014,6,1
"75. Maibam, B.",,3,2016,30,1
"76. Meitei, Sanjenbam Yaiphaba",,3,2014,2,3
"77. Nahakpam, Lokendrajit",,3,2016,6,2
"78. Nandakumar Sarma, H.",,3,2014,3,2
"79. Nongdam, Potshangbam",,3,2015,2,2
"80. Rajkumari, Lonibala",,3,2014,2,2
"81. Rameshori, Yumnam",,3,2012,15,2
"82. Ranjana Devi, N.",,3,2012,5,2
"83. Rupachandra Singh, L.",,3,2012,0,0
"84. Sharma, Kusum Gayatri",,3,2014,36,5
"85. SIJAGURUMAYUM, UMARANI",,3,2016,3,1
"86. Sinam, Tejmani",,3,2014,6,1
"87. Singh, Irengbam Tilokchan",,3,2014,6,1
"88. Singh, Kamana Yugindro",,3,2014,0,3
"89. Singh, Ngangkham Nimai",,3,2015,2,5
"90. Singh, Nidhi Monoranjan",,3,2016,1,4
"91. Singh, Nirmala Rajen",,3,2014,8,2
"92. Singh, Ranjit Kumar Bhubon",,3,2014,22,2
"93. Singh, Thiyam Ramsing Amsing",,3,2016,18,13
"94. Singh, Yeng Raghumani",,3,2016,4,1
"95. Sumitra, Ch",,3,2013,2,5
"96. Tamreihao, K.",,3,2016,9,2
"97. Yugindro Singh, K.",,3,2016,2,2
"98. Anganthoibi, Nongmaithem",,2,2013,6,4
"99. Babynanda Devi, O.",,2,2014,1,1
"100. Bidyananda, Maibam",,2,2017,4,4
"101. Bindiya Devi, R. K.",,2,2012,5,1
"102. Biren Singh, Kh",,2,2012,1,1
"103. Bobby Singh, S.",,2,2013,2,2
"104. Chandrasekhar, Ngangbam",,2,2016,1,1
"105. Chanu, Langpoklakpam Gellina",,2,2016,4,2
"106. Chanu, Thiyam Rojita",,2,2015,1,1
"107. Chipem, Francis A S",,2,2016,4,10
"108. Devachandra, M.",,2,2017,5,1
"109. Devi, Ayekpam Bimolini",,2,2014,8,2
"110. Devi, Haobam Mamata",,2,2016,0,0
"111. Devi, Hemam Debecca",,2,2016,2,2
"112. Devi, Kavita Nomita",,2,2017,0,10
"113. Devi, Langoljam Reena",,2,2012,1,2
"114. Devi, Nirmala Shantibala",,2,2012,1,9
"115. Devi, Savita Romaleima",,2,2011,17,4
