Data set,Overall research performance
Entity,"Pondicherry University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),13.1%,13.2%,11.4%,13.7%,11.8%,14.1%,13.6%,20.4%
Academic-Corporate Collaboration (%),0.3%,0.9%,0.2%,0.0%,0.1%,0.3%,0.2%,1.1%
Scholarly Output,3840,433,571,592,713,760,678,93
Scholarly Output (growth %),75.5%
Citations,13291,3488,3013,2944,2269,1274,300,3
Field-Weighted Citation Impact,0.71,0.76,0.81,0.80,0.72,0.68,0.60,0.46
Outputs in Top Citation Percentiles (top 10%),8.7%,10.2%,6.8%,8.4%,8.3%,9.2%,9.6%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),15.8%,16.5%,15.4%,14.3%,15.8%,16.4%,16.4%,-%
Citations per Publication,3.5,8.1,5.3,5.0,3.2,1.7,0.4,0.0
Views,60240,10875,11162,11045,11896,9762,5133,367
Outputs in Top Views Percentiles (top 10%),13.6%,15.9%,11.9%,13.2%,14.6%,14.7%,11.8%,-%
Views per Publication,15.7,25.1,19.5,18.7,16.7,12.8,7.6,3.9
Field-Weighted View Impact,1.11,1.21,1.25,1.14,1.09,1.10,0.91,1.14
Citing-Patents Count (patent office: All Patent Offices),23,9,5,5,3,1,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),15,5,2,4,3,1,0,0
Patent-Citations Count (patent office: All Patent Offices),23,9,5,5,3,1,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),6.0,20.8,8.8,8.4,4.2,1.3,0.0,0.0
Mass Media (Print),152,6,12,20,50,32,32,-
Media Exposure Internationally recognized (Print),66.0,-,1.0,4.0,25.0,11.0,25.0,-,
Media Exposure Regionally recognized (Print),3.0,-,-,-,1.5,1.5,-,-,
Media Exposure Nationally recognized (Print),23.1,1.8,3.3,4.2,6.6,5.1,2.1,-,
Media Exposure Locally recognized (Print),0.4,-,-,0.2,-,0.2,-,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.34,0.0,0.2,0.0,0.4,0.3,0.8,-
"Authors",2444,429,606,618,766,862,843,186
Authors (growth %),100.9%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
