Name,,Publications,publication,citation,h-index
"1. Dhavachelvan, P.",,109,2016,299,13
"2. Abbasi, Shahid Abbas",,69,2016,896,36
"3. Nakkeeran, Rangaswamy",,63,2016,108,7
"4. Abbasi, Tasneem",,59,2017,826,22
"5. Porsezian, Kuppuswamy",,59,2017,408,11
"6. Shanmuganantham, Thangavelu",,53,2016,46,5
"7. Jeevananthan, Seenithangam",,49,2016,158,9
"8. Rajan, Christober Christober Asir",,49,2015,71,6
"9. Govindaraj, G.",,46,2017,188,15
"10. Porsezian, Kuppuswamy",,46,2017,54,21
"11. Satyanarayana, Nallani V.",,45,2016,261,9
"12. Kanmani, S.",,43,2016,66,5
"13. Mathur, Premendu Prakash",,43,2017,368,28
"14. Bhowmik, Rabindranath N.",,41,2017,195,18
"15. Murugan, Ramaswamy",,36,2016,498,24
"16. Dananjayan, Perumal",,35,2016,40,8
"17. Prasad, Thottethodi Subrahmanya Keshav",,34,2016,610,19
"18. Nithyanandan, K.",,33,2016,80,6
"19. Senthilvelan, Thiagarajan",,33,2016,151,10
"20. Mohan, P. M.",,32,2016,78,6
"21. Sakthivel, Natarajan R.",,32,2016,485,24
"22. Vengattaraman., Thirumal",,32,2016,110,7
"23. Kannan, S.",,31,2017,109,31
"24. Krishna, Ramadas",,31,2017,87,8
"25. Subramania, Angaiah",,31,2017,184,21
"26. Himavathi, Srinivasan",,30,2017,56,6
"27. Parthiban, Latha",,30,2017,13,3
"28. Chandrasekaran, G.",,29,2017,212,15
"29. Nithyanandan, Lakshmanan",,29,2017,8,2
"30. Arul, Venkatesan",,28,2016,267,11
"31. Sreenath, Niladhuri",,28,2016,15,5
"32. Christober Asir Rajan, C.",,27,2016,65,6
"33. Rao, Hulluru Surya Prakash",,27,2016,69,10
"34. Thirumaran, M.",,27,2016,6,2
"35. Bakthadoss, Manickam",,26,2017,112,13
"36. Selvin, Joseph A.",,26,2017,133,23
"37. Nachiappan, Alamelu",,24,2016,40,4
"38. Zayaraz, G.",,24,2016,7,2
"39. Bhattacharya,, Suman",,23,2016,178,9
"40. Kanmani, Paulraj",,23,2014,249,12
"41. Pattukumar, Vellaiyan",,23,2014,252,9
"42. Vivekanandan, K.",,23,2016,24,3
"43. Yuvaraj, Neelakandan",,23,2014,252,9
"44. Anbalagan, Krishnamoorthy",,22,2016,43,8
"45. Manimaran, Bala.",,22,2017,88,14
