Data set,Overall research performance
Entity,"Rajiv Gandhi Technological University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,18 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),15.2%,8.0%,15.4%,16.7%,7.1%,0.0%,46.2%,100.0%
Academic-Corporate Collaboration (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Scholarly Output,112,25,26,18,14,15,13,1
Scholarly Output (growth %),-40.0%
Citations,545,261,153,80,27,15,9,0
Field-Weighted Citation Impact,0.64,0.86,0.45,1.01,0.38,0.28,0.82,0.00
Outputs in Top Citation Percentiles (top 10%),8.1%,16.0%,7.7%,5.6%,0.0%,0.0%,15.4%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),12.5%,14.3%,15.0%,11.8%,0.0%,14.3%,16.7%,-%
Citations per Publication,4.9,10.4,5.9,4.4,1.9,1.0,0.7,0.0
Views,2183,602,517,596,138,124,206,0
Outputs in Top Views Percentiles (top 10%),8.1%,12.0%,7.7%,5.6%,0.0%,0.0%,23.1%,-%
Views per Publication,19.5,24.1,19.9,33.1,9.9,8.3,15.8,0.0
Field-Weighted View Impact,0.91,0.94,0.90,1.12,0.69,0.74,1.09,0.00
Citing-Patents Count (patent office: All Patent Offices),2,-,2,-,-,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),2,0,2,0,0,0,0,0
Patent-Citations Count (patent office: All Patent Offices),2,0,2,0,0,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),17.9,0.0,76.9,0.0,0.0,0.0,0.0,0.0
Mass Media (Print),35,2,5,7,13,8,-,-
Media Exposure Internationally recognized (Print),28.0,-,4.0,6.0,12.0,6.0,-,-,
Media Exposure Regionally recognized (Print),
Media Exposure Nationally recognized (Print),1.8,0.6,0.3,0.3,0.3,0.3,-,-,
Media Exposure Locally recognized (Print),0.2,-,-,-,-,0.2,-,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),2.14,0.7,2.0,4.4,6.7,1.1,0.0,-
"Authors",113,42,31,20,21,23,22,4
Authors (growth %),-45.2%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
