Data set,Overall research performance
Entity,"Tezpur University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,18 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),12.9%,7.7%,10.0%,14.0%,12.2%,12.8%,16.5%,17.6%
Academic-Corporate Collaboration (%),0.1%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%
Scholarly Output,2108,221,270,336,434,358,387,102
Scholarly Output (growth %),62.0%
Citations,11637,2448,2557,2736,2638,1016,237,5
Field-Weighted Citation Impact,0.99,1.04,0.96,1.05,1.13,0.97,0.93,0.56
Outputs in Top Citation Percentiles (top 10%),16.5%,14.9%,13.0%,19.6%,18.7%,17.6%,13.7%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),26.7%,19.0%,22.2%,19.4%,32.0%,36.3%,25.1%,-%
Citations per Publication,5.5,11.1,9.5,8.1,6.1,2.8,0.6,0.0
Views,36686,6550,6375,7285,7438,4921,3374,743
Outputs in Top Views Percentiles (top 10%),16.8%,24.0%,16.3%,19.3%,17.3%,15.4%,11.9%,-%
Views per Publication,17.4,29.6,23.6,21.7,17.1,13.7,8.7,7.3
Field-Weighted View Impact,1.07,1.33,1.12,1.02,1.00,0.94,0.90,1.87
Citing-Patents Count (patent office: All Patent Offices),23,8,6,6,3,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),15,5,3,5,2,0,0,0
Patent-Citations Count (patent office: All Patent Offices),23,8,6,6,3,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),10.9,36.2,22.2,17.9,6.9,0.0,0.0,0.0
Mass Media (Print),210,1,46,43,45,46,29,-
Media Exposure Internationally recognized (Print),15.0,-,7.0,1.0,2.0,-,5.0,-,
Media Exposure Regionally recognized (Print),6.5,-,-,0.5,1.5,4.5,-,-,
Media Exposure Nationally recognized (Print),2.1,-,0.6,0.3,0.3,-,0.9,-,
Media Exposure Locally recognized (Print),35.0,0.2,7.4,8.0,7.8,7.4,4.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),1.30,0.1,2.3,1.2,1.0,1.2,1.7,-
"Authors",1063,208,263,328,403,418,482,168
Authors (growth %),101.0%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
