Name,,Publications,publication,citations,h-index
"1. Karak, Niranjan",,119,2017,1412,28
"2. Deka, Ramesh Chandra",,80,2017,606,21
"3. Dolui, Swapan Kumar",,72,2017,638,20
"4. Bhattacharyya, Dhruba Kumar",,68,2016,436,13
"5. Mohanta, Dambarudhar",,64,2017,221,12
"6. Choudhury, Amarjyoti K.",,59,2015,658,20
"7. Maji, Tarun Kumar",,55,2017,488,18
"8. Sahu, Partha Pratim",,48,2017,138,12
"9. Thakur, Ashim Jyoti",,47,2017,421,15
"10. Hazarika, Shyamanta M.",,45,2017,58,5
"11. Mukherjee, Ashis Kumar",,45,2016,406,27
"12. Deka, Sankar Chandra",,42,2017,123,7
"13. Buragohain, Alak Kumar",,41,2017,209,12
"14. Konwar, Bolin Kumar",,41,2017,357,15
"15. Mandal, Manabendra",,39,2016,357,15
"16. Bora, Utpal",,38,2017,202,15
"17. Mahanta, Charulata Lata",,37,2016,216,10
"18. Bhattacharyya, Nidhi Saxena",,35,2017,85,6
"19. Kumar, Ashok V.",,35,2017,96,36
"20. Kumar, Ashok",,34,2016,255,11
"21. Deb, Pritam",,33,2017,120,8
"22. Sarma, Nityananda",,32,2017,131,8
"23. Mishra, Bhupesh Kumar Umar",,29,2015,223,12
"24. Phukan, Ashwini Kumar",,29,2016,242,14
"25. Choudhury, Biswajit K.",,28,2016,564,19
"26. Karmakar, Purnendu K.",,27,2017,34,6
"27. Kumar, Manish",,27,2016,32,12
"28. Bhattacharya, Satya Sundar Undar",,25,2017,131,8
"29. Bhuyan, Manabendra K.",,24,2017,16,10
"30. Borah, Debasish",,23,2016,125,7
"31. Deka, Dhanapati",,23,2017,268,11
"32. Dutta, Jiten Ch",,23,2017,15,2
"33. Sarma, Bipul Chandra",,23,2017,86,13
"34. Ahmed, Gazi Ameen",,22,2017,36,8
"35. Baruah, Nayandeep Deka",,22,2017,85,10
"36. Borah, Ruli Kumar",,22,2017,75,11
"37. Majumdar, Krishna C.",,22,2012,391,33
"38. Boruah, Ratan K.",,21,2017,99,5
