Data set,Overall research performance
Entity,"University of Delhi"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),23.2%,25.4%,25.0%,23.2%,24.1%,22.5%,20.8%,19.0%
Academic-Corporate Collaboration (%),0.4%,0.6%,0.3%,0.5%,0.3%,0.3%,0.3%,0.6%
Scholarly Output,12382,1723,1866,1867,2102,2073,2403,348
Scholarly Output (growth %),20.3%
Citations,71634,19773,20825,13745,10046,5720,1507,18
Field-Weighted Citation Impact,0.97,1.01,1.07,0.98,0.95,0.96,0.89,0.95
Outputs in Top Citation Percentiles (top 10%),13.1%,14.0%,13.9%,13.8%,12.2%,13.1%,11.8%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),22.5%,19.0%,23.6%,23.4%,24.4%,22.4%,21.7%,-%
Citations per Publication,5.8,11.5,11.2,7.4,4.8,2.8,0.6,0.1
Views,208523,39221,44052,38260,33584,30200,21763,1443
Outputs in Top Views Percentiles (top 10%),14.2%,13.2%,15.5%,15.4%,14.3%,14.7%,12.7%,-%
Views per Publication,16.8,22.8,23.6,20.5,16.0,14.6,9.1,4.1
Field-Weighted View Impact,1.41,1.35,1.47,1.41,1.40,1.43,1.44,1.14
Citing-Patents Count (patent office: All Patent Offices),101,54,30,11,7,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),56,28,14,10,4,0,0,0
Patent-Citations Count (patent office: All Patent Offices),102,54,30,11,7,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),8.2,31.3,16.1,5.9,3.3,0.0,0.0,0.0
Mass Media (Print),950,90,127,129,250,226,128,-
Media Exposure Internationally recognized (Print),433.0,21.0,48.0,52.0,125.0,119.0,68.0,-,
Media Exposure Regionally recognized (Print),62.5,8.5,9.5,6.0,16.0,17.0,5.5,-,
Media Exposure Nationally recognized (Print),84.6,11.1,14.1,13.5,15.9,17.4,12.6,-,
Media Exposure Locally recognized (Print),21.8,3.0,2.4,4.0,8.0,3.0,1.4,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.66,0.3,0.3,0.3,0.7,0.5,1.5,-
"Authors",7546,1865,1970,2083,2379,2428,2907,681
Authors (growth %),30.2%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
