Name,,Publications,publication,citations,h-index
"1. Choudhary, Brajesh Chandra",,609,2016,18234,81
"2. Naimuddin, Md D.",,537,2017,15982,68
"3. Ranjan, Kirti",,529,2016,16607,70
"4. Kumar, Ashok Vanav",,419,2017,14122,64
"5. Malhotra, Shivali",,395,2016,12554,51
"6. Ahuja, Sudha",,351,2015,14297,57
"7. Bhardwaj, Ashutosh",,346,2016,10078,43
"8. Kumar, Arun K Rhine",,303,2016,12230,52
"9. Shivpuri, Rajiv K.",,259,2015,12793,72
"10. Sharma, Vineet K.",,221,2015,4938,38
"11. Gupta, Vinay",,205,2017,1497,32
"12. Dubey, Anand Kumar",,146,2016,3439,75
"13. Tomar, Monika",,143,2017,817,18
"14. Gupta, Mridula C.",,123,2017,395,15
"15. Sharma, Vinod Kumar",,122,2016,6568,46
"16. Sinha, Ravindra Kumar",,118,2017,190,16
"17. Shivpuri, R. K.",,112,2014,3116,31
"18. Garg, Ravish B.",,107,2016,469,9
"19. Lal, Rup K.",,105,2017,673,28
"20. Nishu, N.",,99,2017,410,57
"21. Sharma, Rimi",,97,2016,474,23
"22. Gupta, Pankaj Kumar Umar",,93,2016,6184,41
"23. Bedi, Punam",,90,2017,260,10
"24. Malhotra, Bansi Dhar",,89,2017,942,53
"25. Parmár, Virinder Singh",,88,2016,827,39
"26. Pandey, Neeta",,87,2016,151,8
"27. Kumar, Ashok V.",,86,2016,706,19
"28. Kumar, Arun",,81,2015,1299,24
"29. Prasad, Ashok Kumar",,79,2016,379,30
"30. Kumar, N.",,78,2016,390,20
"31. Khurana, Jitender Mohan",,77,2017,606,21
"32. Chowdhary, Anuradha",,75,2016,1402,25
"33. Garg, Pankaj Kumar Umar",,74,2016,67,8
"34. Rawat, Diwan Singh",,71,2017,772,28
"35. Saxena, Manoj",,71,2017,201,13
"36. Venkatesu, Pannuru",,71,2017,1096,25
"37. Tandon, Ram Pal",,70,2016,404,18
"38. Kumar, Binay Suresh",,67,2016,518,15
"39. Chandra, Sulekh V.",,66,2017,338,31
"40. Saxena, Pooja K.",,66,2015,2189,33
"41. Banerjee, Basu Dev",,65,2016,456,27
"42. Sharma, Rakesh Kumar",,64,2017,952,36
"43. Nayyar, Ruchika",,61,2012,1923,42
"44. Kumar, Anil Sampath",,58,2016,612,74
"45. Dhurandher, Sanjay Kumar",,56,2016,140,12
"46. Nagarajan, Rajamani R.",,56,2017,460,22
"47. Singal, Archana K.",,54,2017,147,14
"48. Verma, Akhilesh Kumar",,53,2016,878,26
"49. Ravichandran, V.",,51,2017,190,14
