Data set,Overall research performance
Entity,"University of Hyderabad"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),20.9%,21.4%,24.1%,19.9%,20.6%,20.5%,18.9%,21.0%
Academic-Corporate Collaboration (%),0.8%,1.3%,1.0%,0.9%,0.4%,1.0%,0.3%,0.0%
Scholarly Output,4325,630,706,673,754,727,730,105
Scholarly Output (growth %),15.4%
Citations,23692,5819,6598,4977,3678,2071,547,2
Field-Weighted Citation Impact,0.96,0.81,0.89,0.97,0.95,1.09,1.11,0.41
Outputs in Top Citation Percentiles (top 10%),13.2%,8.3%,13.0%,13.2%,12.9%,16.0%,15.2%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),26.9%,22.3%,25.4%,25.7%,27.9%,30.4%,29.1%,-%
Citations per Publication,5.5,9.2,9.3,7.4,4.9,2.8,0.7,0.0
Views,67688,13202,14995,12929,11489,9201,5609,263
Outputs in Top Views Percentiles (top 10%),12.8%,12.1%,12.7%,14.9%,13.3%,11.3%,12.5%,-%
Views per Publication,15.7,21.0,21.2,19.2,15.2,12.7,7.7,2.5
Field-Weighted View Impact,1.07,1.06,1.19,1.10,1.04,1.06,1.01,0.70
Citing-Patents Count (patent office: All Patent Offices),33,15,12,4,2,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),23,8,9,4,2,0,0,0
Patent-Citations Count (patent office: All Patent Offices),33,15,12,4,2,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),7.6,23.8,17.0,5.9,2.7,0.0,0.0,0.0
Mass Media (Print),1213,69,94,126,69,84,771,-
Media Exposure Internationally recognized (Print),683.0,34.0,41.0,50.0,28.0,34.0,496.0,-,
Media Exposure Regionally recognized (Print),21.0,3.0,2.5,1.5,2.5,4.0,7.5,-,
Media Exposure Nationally recognized (Print),135.6,7.5,13.2,19.8,8.4,11.4,75.3,-,
Media Exposure Locally recognized (Print),7.2,0.8,0.8,1.4,1.6,0.8,1.8,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),5.77,0.8,0.9,2.4,0.7,0.5,25.5,-
"Authors",2485,657,725,767,827,836,916,210
Authors (growth %),27.2%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
