Name,,Publications,publication,Citations,h-index
"1. Tewari, Surya Prakash",,109,2014,884,20
"2. Rao, S. V.",,107,2017,786,29
"3. Nangia, Ashwini",,79,2017,1394,49
"4. Vaitheeswaran, Ganapathy",,73,2016,513,22
"5. Narayana Rao, D.",,67,2015,558,34
"6. Ramana, Ch Venkata",,65,2016,393,12
"7. Das, Samar K.",,60,2016,571,29
"8. Sabat, Samrat Lagnajeet",,60,2017,378,12
"9. Krishna, Mamidipudi Ghanashyam",,53,2017,174,14
"10. Singh, Alok",,49,2017,193,13
"11. Srikanth, Vadali Venkata Satya Siva",,49,2017,220,12
"12. Das, Dibakar",,48,2017,245,9
"13. Prasad, Majeti Narasimha Vara",,48,2016,975,33
"14. Ahmed, Niyaz",,47,2017,442,31
"15. Chatterjee, Ashok K.",,46,2016,75,15
"16. Dhara, Surajit",,46,2017,257,15
"17. Kumara Swamy, K. C.",,46,2016,427,27
"18. James Raju, K. C.",,45,2017,87,5
"19. Raju, Kanakkappillavila Chinnayya Ja",,44,2017,151,14
"20. Mehta, Goverdhan",,43,2016,207,31
"21. Udgata, Siba Kumar",,42,2017,176,8
"22. Pathak, Anand P.",,41,2016,81,13
"23. Swamy, Musti J.",,41,2017,233,24
"24. Nagarajan, Rajagopal",,40,2016,260,17
"25. Kirti, Pulugurtha Bharadwaja",,39,2016,204,22
"26. Podile, Appa Rao",,39,2016,197,19
"27. Senthilkumaran, B.",,39,2017,260,23
"28. Viswanathan, Nirmal K.",,39,2016,140,14
"29. Hamad, Syed",,38,2016,266,10
"30. Panda, Pradeepta Kumar",,37,2017,388,14
"31. Padmanabhan, Kuppuswamy Anantha",,36,2016,112,21
"32. Ramachary, Dhevalapally B.",,36,2017,643,31
"33. Reddanna, Pallu",,36,2016,400,29
"34. Negi, Atul",,35,2016,49,7
"35. Samanta, Anunay",,35,2016,365,40
"36. Chandrasekar, Rajadurai",,34,2017,363,15
"37. Ravi, Pasupala",,34,2015,243,9
"38. Srinath, Sanyadanam",,34,2016,202,17
"39. Subramanyam, Rajagopal",,34,2017,233,18
"40. Chaudhary, Anil Kumar",,33,2016,109,9
"41. Jana, Tushar",,32,2016,390,21
"42. Padmanabhan, Vineet",,32,2017,28,17
"43. Kaul, Sharika Nandan",,31,2016,89,17
"44. Muralidharan, Krishnamurthi",,31,2017,237,14
"45. Prem Kiran, P. Prem",,31,2016,159,16
"46. Singh, Rajendra Kumar Brojen",,31,2016,112,32
"47. Agarwal, Arun S.",,30,2016,45,10
"48. Bhagvati, Chakravarthy",,30,2017,27,5
"49. Reddy, Attipalli Ramachandra",,29,2017,242,13
"50. Sahoo, Akhila K.",,29,2016,753,21
"51. Kondapi, Anand Kumar",,28,2017,190,20
"52. Mahapatra, Susanta",,28,2017,109,23
"53. Seshubai, Vummethala",,28,2016,104,7
"54. Murthy, Keshava P N",,27,2016,39,10
"55. Pal, Samudranil",,27,2017,125,25
"56. Dutta-Gupta, Aparna R.",,26,2016,173,16
"57. Mohanta, Rukmani K.",,26,2017,112,15
"58. Sreedhar, Sunku",,26,2016,198,8
"59. Wankar, Rajeev",,26,2016,18,4
"60. Saikiran, V.",,25,2016,40,3
"61. Sastry, Vanka Srinivasa Suryanarayana",,25,2016,63,8
"62. Bhatnagar, Anil Kumar",,24,2016,47,13
"63. Guruprasad, Lalitha",,24,2016,134,10
"64. Pujari, Arun K.",,24,2017,26,11
"65. Rao, Chillarigeraghavendra",,24,2016,35,6
"66. Rathore, Ravindranath Singh",,24,2015,98,9
"67. Ghule, Vikas Dasharath",,22,2014,252,11
