Data set,Overall research performance
Entity,"Visva-Bharati University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,3 March 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),32.1%,35.2%,37.9%,26.8%,27.5%,28.9%,37.0%,27.1%
Academic-Corporate Collaboration (%),0.2%,0.0%,0.0%,0.0%,0.3%,0.0%,0.5%,0.0%
Scholarly Output,1922,256,280,276,320,325,395,70
Scholarly Output (growth %),27.0%
Citations,13902,3964,3466,2355,2179,1515,419,4
Field-Weighted Citation Impact,1.24,1.36,1.24,1.03,1.25,1.38,1.16,1.42
Outputs in Top Citation Percentiles (top 10%),18.6%,21.1%,17.5%,14.9%,18.1%,21.5%,18.5%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),29.8%,30.2%,31.5%,22.4%,30.2%,31.5%,32.1%,-%
Citations per Publication,7.2,15.5,12.4,8.5,6.8,4.7,1.1,0.1
Views,49589,9116,10973,5821,6651,8577,8137,314
Outputs in Top Views Percentiles (top 10%),23.9%,26.6%,27.1%,13.4%,20.0%,24.3%,29.9%,-%
Views per Publication,25.8,35.6,39.2,21.1,20.8,26.4,20.6,4.5
Field-Weighted View Impact,2.64,2.43,2.20,1.79,2.28,3.14,3.84,1.06
Citing-Patents Count (patent office: All Patent Offices),6,5,-,-,1,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),4,3,0,0,1,0,0,0
Patent-Citations Count (patent office: All Patent Offices),6,5,0,0,1,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),3.1,19.5,0.0,0.0,3.1,0.0,0.0,0.0
Mass Media (Print),44,1,2,3,8,20,10,-
Media Exposure Internationally recognized (Print),24.0,1.0,2.0,1.0,2.0,16.0,2.0,-,
Media Exposure Regionally recognized (Print),1.5,-,-,-,1.0,0.5,-,-,
Media Exposure Nationally recognized (Print),4.2,-,-,0.6,0.9,0.6,2.1,-,
Media Exposure Locally recognized (Print),0.6,-,-,-,0.2,0.2,0.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.29,0.0,0.2,0.1,0.1,0.7,0.6,-
"Authors",790,224,225,249,285,266,327,118
Authors (growth %),18.8%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
