Name,,Publications,publication,Citations,h-index
"1. Maity, Manas",,232,2016,4974,62
"2. Bhowmik, Sandeep",,131,2016,973,19
"3. Sarkar, Tanushree",,84,2016,437,9
"4. Hajra, Alakananda K.",,70,2017,1033,29
"5. Brahmachari, Goutam",,63,2017,460,14
"6. Dutta, Paramartha S.",,63,2017,140,9
"7. Chatterjee, Prasanta",,58,2016,512,17
"8. Ghosh, Manas Kumar",,58,2017,211,11
"9. Sarkar, Pranab Kumar",,50,2016,275,20
"10. Majee, Adinath",,45,2017,630,20
"11. Pal, Dulal S.",,40,2016,421,19
"12. Chatterjee, Kashinath",,34,2017,62,7
"13. Maity, M.",,28,2017,81,6
"14. Chattopadhyay, Ansuman B.",,26,2017,160,13
"15. Chowdhury, Pranesh K Roy",,25,2017,92,12
"16. Sarkar, Sunandan",,25,2017,202,9
"17. Misra, Amar Prasad",,24,2016,105,17
"18. Dolui, Bijoy Krishna",,22,2017,111,8
"19. Banerjee, Bubun",,21,2016,112,5
"20. Mandal, Prashanta Kumar",,21,2016,89,13
"21. Sinha Babu, Santi Prasad",,21,2017,106,11
"22. Begum, Naznin Ara",,20,2017,172,9
"23. Bhattacharya, Shelley",,20,2017,171,19
"24. Ghosh, Arnab Kumar",,20,2016,82,17
"25. Mandal, Swapan Kumar",,20,2017,40,11
"26. Mukherjee, Sandip",,20,2017,113,12
"27. Ray, Santanu",,20,2016,35,10
"28. Bag, Bidhan Chandra",,19,2016,62,17
"29. Bagdi, Avik Kumar",,19,2015,585,13
"30. Chattopadhyay, Taraprasad P.",,18,2016,20,5
"31. Maitra, Saumen Kumar Umar",,18,2017,65,13
"32. Sukul, Nirmal Chandra",,18,2016,29,9
"33. Ghosh, Monoranjan K.",,17,2016,266,13
"34. Mukherjee, Niladri",,17,2016,98,6
"35. Pramanik, Anup R.",,17,2017,79,7
"36. Seikh, Md Motin",,17,2017,95,11
"37. Banerjee, Goutam K.",,16,2017,20,19
"38. Mahapatra, Tapas Ray",,16,2017,146,9
"39. Mandal, Bikash K.",,16,2017,59,5
