Data set,Overall research performance
Entity,"Indian Institute of Science Education and Research Bhopal"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,18 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),25.5%,37.1%,25.5%,20.7%,20.5%,14.5%,41.1%,16.1%
Academic-Corporate Collaboration (%),0.2%,2.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Scholarly Output,640,35,47,92,127,145,163,31
Scholarly Output (growth %),314.3%
Citations,5401,1387,1047,887,1189,653,236,2
Field-Weighted Citation Impact,1.39,2.37,1.88,0.98,1.19,1.20,1.46,2.12
Outputs in Top Citation Percentiles (top 10%),29.1%,28.6%,53.2%,22.8%,28.3%,28.3%,27.0%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),58.5%,57.6%,70.2%,51.1%,57.3%,59.4%,59.6%,-%
Citations per Publication,8.4,39.6,22.3,9.6,9.4,4.5,1.4,0.1
Views,11520,1191,1447,1653,2433,1808,2936,52
Outputs in Top Views Percentiles (top 10%),17.9%,31.4%,25.5%,13.0%,14.2%,8.3%,27.0%,-%
Views per Publication,18.0,34.0,30.8,18.0,19.2,12.5,18.0,1.7
Field-Weighted View Impact,1.69,1.60,1.34,0.87,1.11,0.87,3.70,0.46
Citing-Patents Count (patent office: All Patent Offices),3,2,-,-,1,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),3,2,0,0,1,0,0,0
Patent-Citations Count (patent office: All Patent Offices),3,2,0,0,1,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),4.7,57.1,0.0,0.0,7.9,0.0,0.0,0.0
Mass Media (Print),4,-,2,1,1,-,-,-
Media Exposure Internationally recognized (Print),3.0,-,2.0,-,1.0,-,-,-,
Media Exposure Regionally recognized (Print),
Media Exposure Nationally recognized (Print),0.3,-,-,0.3,-,-,-,-
Media Exposure Locally recognized (Print),
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.04,0.0,0.0,0.3,0.0,0.0,0.0,-
"Authors",415,31,56,112,164,213,185,70
Authors (growth %),587.1%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
