Data set,Overall research performance
Entity,"Indian Institute of Science Education and Research Mohali"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,18 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),29.1%,46.0%,43.3%,24.3%,25.0%,21.2%,29.5%,26.3%
Academic-Corporate Collaboration (%),0.8%,0.0%,4.4%,0.0%,0.0%,0.6%,0.6%,0.0%
Scholarly Output,753,63,90,111,148,156,166,19
Scholarly Output (growth %),147.6%
Citations,5651,1082,1840,1162,811,577,179,0
Field-Weighted Citation Impact,1.11,1.24,1.53,1.15,0.95,1.16,1.03,0.00
Outputs in Top Citation Percentiles (top 10%),19.1%,22.2%,24.4%,17.1%,14.9%,17.3%,21.7%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),38.4%,41.9%,43.8%,42.3%,42.1%,30.5%,35.8%,-%
Citations per Publication,7.5,17.2,20.4,10.5,5.5,3.7,1.1,0.0
Views,10490,1079,2303,2366,1556,1944,1192,50
Outputs in Top Views Percentiles (top 10%),11.0%,4.8%,17.8%,16.2%,5.4%,11.5%,10.8%,-%
Views per Publication,13.9,17.1,25.6,21.3,10.5,12.5,7.2,2.6
Field-Weighted View Impact,1.06,1.01,1.26,1.16,0.78,1.07,1.18,0.90
Citing-Patents Count (patent office: All Patent Offices),6,2,3,1,-,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),5,1,3,1,0,0,0,0
Patent-Citations Count (patent office: All Patent Offices),6,2,3,1,0,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),8.0,31.7,33.3,9.0,0.0,0.0,0.0,0.0
Mass Media (Print),2,-,-,-,-,1,1,-
Media Exposure Internationally recognized (Print),1.0,-,-,-,-,1.0,-,-,
Media Exposure Regionally recognized (Print),0.5,-,-,-,-,-,0.5,-
Media Exposure Nationally recognized (Print),
Media Exposure Locally recognized (Print),
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.03,0.0,0.0,0.0,0.0,0.0,0.1,-
"Authors",436,53,87,123,145,186,186,40
Authors (growth %),250.9%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
