Data set,Overall research performance
Entity,"Indian Institute of Science Education and Research Thiruvananthapuram"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,18 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),35.6%,47.5%,40.4%,33.3%,31.1%,38.8%,30.7%,35.3%
Academic-Corporate Collaboration (%),0.3%,0.0%,2.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Scholarly Output,390,40,47,57,74,67,88,17
Scholarly Output (growth %),67.5%
Citations,5076,803,2595,757,585,257,79,0
Field-Weighted Citation Impact,1.35,1.46,2.27,1.44,1.52,1.05,1.12,0.00
Outputs in Top Citation Percentiles (top 10%),22.8%,32.5%,23.4%,24.6%,18.9%,22.4%,20.5%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),53.5%,75.0%,60.5%,53.6%,55.6%,40.9%,48.9%,-%
Citations per Publication,13.0,20.1,55.2,13.3,7.9,3.8,0.9,0.0
Views,12446,891,7358,1265,1186,938,778,30
Outputs in Top Views Percentiles (top 10%),13.7%,10.0%,17.0%,17.5%,14.9%,14.9%,9.1%,-%
Views per Publication,31.9,22.3,156.6,22.2,16.0,14.0,8.8,1.8
Field-Weighted View Impact,1.28,0.92,3.67,1.12,1.00,0.98,0.93,0.38
Citing-Patents Count (patent office: All Patent Offices),11,5,2,1,3,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),7,3,1,1,2,0,0,0
Patent-Citations Count (patent office: All Patent Offices),11,5,2,1,3,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),28.2,125.0,42.6,17.5,40.5,0.0,0.0,0.0
Mass Media (Print),5,-,-,-,-,2,3,-
Media Exposure Internationally recognized (Print),3.0,-,-,-,-,1.0,2.0,-,
Media Exposure Regionally recognized (Print),
Media Exposure Nationally recognized (Print),0.6,-,-,-,-,0.3,0.3,-
Media Exposure Locally recognized (Print),
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.14,0.0,0.0,0.0,0.0,0.0,0.5,-
"Authors",263,24,44,66,88,98,125,34
Authors (growth %),308.3%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
