Data set,"Top 500 authors, by number of publications"
Entity,"Indian Institute of Science Bangalore"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Name,Publications,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Madras, Giridhar",215,2017,1933,9.0,1.30,49.0,7005905149,http://www.scopus.com/authid/detail.url?authorId=7005905149
"Suwas, Satyam",144,2017,1057,7.3,1.36,27.0,7003627765,http://www.scopus.com/authid/detail.url?authorId=7003627765
"Krupanidhi, S. B.",122,2017,733,6.0,0.68,30.0,7007132453,http://www.scopus.com/authid/detail.url?authorId=7007132453
"Ramamurty, Upadrasta",119,2017,1337,11.2,1.69,40.0,7003336410,http://www.scopus.com/authid/detail.url?authorId=7003336410
"Ghose, Debasish",108,2017,495,4.6,1.83,23.0,35562124600,http://www.scopus.com/authid/detail.url?authorId=35562124600
"Basu, Bikramjit",102,2017,783,7.7,1.58,37.0,35576893400,http://www.scopus.com/authid/detail.url?authorId=35576893400
"Guru Row, T. N.",97,2017,1304,13.4,1.58,37.0,7004428611,http://www.scopus.com/authid/detail.url?authorId=7004428611
"Sood, Ajay Kumar",94,2016,914,9.7,1.18,37.0,7201450997,http://www.scopus.com/authid/detail.url?authorId=7201450997
"Asokan, Sundarrajan",92,2017,262,2.8,0.65,16.0,26643578200,http://www.scopus.com/authid/detail.url?authorId=26643578200
"Ramamurthy, Praveen Chandrashekarapura",91,2016,448,4.9,0.83,14.0,7005412074,http://www.scopus.com/authid/detail.url?authorId=7005412074
"Shivakumara, Chikkadasappa",90,2017,1158,12.9,2.28,28.0,6602523760,http://www.scopus.com/authid/detail.url?authorId=6602523760
"Seelamantula, Chandra Sekhar",89,2016,225,2.5,0.95,10.0,24779785600,http://www.scopus.com/authid/detail.url?authorId=24779785600
"Desiraju, Gautam R.",88,2017,3524,40.0,3.81,66.0,35475101700,http://www.scopus.com/authid/detail.url?authorId=35475101700
"Bose, Suryasarathi",86,2016,720,8.4,1.96,22.0,15077785100,http://www.scopus.com/authid/detail.url?authorId=15077785100
"Ganguli, Ranjan",86,2017,304,3.5,0.74,33.0,7007149420,http://www.scopus.com/authid/detail.url?authorId=7007149420
"Munichandraiah, Nookala",80,2017,701,8.8,1.16,36.0,7005058367,http://www.scopus.com/authid/detail.url?authorId=7005058367
"Gopalakrishnan, Srinivasan",79,2016,648,8.2,1.16,32.0,7103126280,http://www.scopus.com/authid/detail.url?authorId=7103126280
"Mukherjee, Partha Sarathi Arathi",79,2016,3172,40.2,3.50,46.0,7201661943,http://www.scopus.com/authid/detail.url?authorId=7201661943
"Nanda, Karuna Kar",78,2017,542,6.9,1.10,22.0,35606887300,http://www.scopus.com/authid/detail.url?authorId=35606887300
"Padhi, Radhakant",78,2016,253,3.2,1.17,16.0,8684387000,http://www.scopus.com/authid/detail.url?authorId=8684387000
"Rajan, Balaji Sundar",78,2016,365,4.7,1.42,19.0,35617116700,http://www.scopus.com/authid/detail.url?authorId=35617116700
"Bhattacharya, Santanu",77,2016,1493,19.4,2.16,48.0,7404284737,http://www.scopus.com/authid/detail.url?authorId=7404284737
"Sarma, Debajit D.",77,2017,888,11.5,1.07,52.0,7202559301,http://www.scopus.com/authid/detail.url?authorId=7202559301
"Chattopadhyay, Kamanio",76,2017,434,5.7,1.02,28.0,55555141500,http://www.scopus.com/authid/detail.url?authorId=55555141500
"Chockalingam, Ananthanarayanan",74,2016,405,5.5,3.36,22.0,7005721562,http://www.scopus.com/authid/detail.url?authorId=7005721562
"Basu, Saptarshi",73,2016,265,3.6,1.06,15.0,12803616500,http://www.scopus.com/authid/detail.url?authorId=12803616500
"Kumar, Jyant",73,2017,241,3.3,0.78,19.0,7201861873,http://www.scopus.com/authid/detail.url?authorId=7201861873
"Srinivasan, Narayanaswamy",73,2016,431,5.9,0.67,29.0,55545849400,http://www.scopus.com/authid/detail.url?authorId=55545849400
"Kondaiah, Paturu",72,2017,828,11.5,1.56,26.0,7003516908,http://www.scopus.com/authid/detail.url?authorId=7003516908
"Mehta, Neelesh B.",72,2016,296,4.1,0.93,22.0,7201738618,http://www.scopus.com/authid/detail.url?authorId=7201738618
"Murthy, Chandra R L",72,2016,220,3.1,0.66,16.0,35790310300,http://www.scopus.com/authid/detail.url?authorId=35790310300
"Dutta, Pradip",70,2017,346,4.9,1.39,23.0,7202355928,http://www.scopus.com/authid/detail.url?authorId=7202355928
"Bhat, Navakanta",67,2017,162,2.4,0.38,14.0,7101608475,http://www.scopus.com/authid/detail.url?authorId=7101608475
"Mahapatra, Debiprosad Roy",65,2017,282,4.3,1.15,19.0,7005748101,http://www.scopus.com/authid/detail.url?authorId=7005748101
"Ranjan, Rajeev",65,2016,489,7.5,1.49,25.0,56522519100,http://www.scopus.com/authid/detail.url?authorId=56522519100
"Varma, Kalidindi B R",64,2016,247,3.9,0.73,28.0,56252893300,http://www.scopus.com/authid/detail.url?authorId=56252893300
"Patnaik, Lalit Mohan",63,2016,36,0.6,0.25,15.0,35473547900,http://www.scopus.com/authid/detail.url?authorId=35473547900
"Srivastava, Chandan",63,2017,171,2.7,0.48,9.0,15059429300,http://www.scopus.com/authid/detail.url?authorId=15059429300
"Shivashankar, Srinivasrao Ajjampur",62,2016,355,5.7,0.82,22.0,56231840100,http://www.scopus.com/authid/detail.url?authorId=56231840100
"Surolia, Avadhesha",61,2017,273,4.5,0.92,45.0,7103147506,http://www.scopus.com/authid/detail.url?authorId=7103147506
"Kailas, Satish Vasu",60,2017,242,4.0,1.19,21.0,7007161469,http://www.scopus.com/authid/detail.url?authorId=7007161469
"Narayanan, Gopalaratnam Narayanan",60,2017,210,3.5,1.30,21.0,7005397596,http://www.scopus.com/authid/detail.url?authorId=7005397596
"Raichur, Ashok M.",60,2016,885,14.8,1.78,26.0,6603905467,http://www.scopus.com/authid/detail.url?authorId=6603905467
"Paul, Aloke",59,2017,339,5.7,1.03,16.0,7402490147,http://www.scopus.com/authid/detail.url?authorId=7402490147
"Roul, Basanta",59,2016,206,3.5,0.35,8.0,36854775500,http://www.scopus.com/authid/detail.url?authorId=36854775500
"Amrutur, Bharadwaj S.",58,2016,196,3.4,0.82,11.0,22033751800,http://www.scopus.com/authid/detail.url?authorId=22033751800
"Karande, Anjali Anoop",57,2017,573,10.1,1.60,22.0,7006153830,http://www.scopus.com/authid/detail.url?authorId=7006153830
"Vinoy, Kalarickaparambil Joseph",57,2016,90,1.6,0.43,15.0,7004212421,http://www.scopus.com/authid/detail.url?authorId=7004212421
"Gopakumar, Kumarukattan Nair",56,2017,547,9.8,2.01,30.0,7004096939,http://www.scopus.com/authid/detail.url?authorId=7004096939
"Maiti, Prabal K.",56,2016,520,9.3,1.22,31.0,35586912200,http://www.scopus.com/authid/detail.url?authorId=35586912200
"Patil, Satish V.",56,2016,899,16.1,1.68,23.0,8088117200,http://www.scopus.com/authid/detail.url?authorId=8088117200
"Sharma, Vinod Kumar",56,2016,166,3.0,1.51,46.0,36067611300,http://www.scopus.com/authid/detail.url?authorId=36067611300
"Chakrabarti, Amaresh",55,2017,245,4.5,0.61,18.0,54790511500,http://www.scopus.com/authid/detail.url?authorId=54790511500
"Mugesh, Govindasamy",55,2016,549,10.0,1.15,35.0,6603560179,http://www.scopus.com/authid/detail.url?authorId=6603560179
"Sampath, Srinivasan",55,2016,874,15.9,1.65,35.0,7103194886,http://www.scopus.com/authid/detail.url?authorId=7103194886
"Bhattacharyya, Aninda Jiban",54,2016,504,9.3,1.18,23.0,7402673647,http://www.scopus.com/authid/detail.url?authorId=7402673647
"Chatterjee, Kaushik",54,2017,365,6.8,2.44,12.0,56081683500,http://www.scopus.com/authid/detail.url?authorId=56081683500
"Raghavan, S. C.",54,2017,674,12.5,1.58,23.0,7201875714,http://www.scopus.com/authid/detail.url?authorId=7201875714
"Ramachandra, Thejaswini V.",54,2017,302,5.6,0.73,20.0,6603937958,http://www.scopus.com/authid/detail.url?authorId=6603937958
"Chakravortty, Dipshikha",53,2017,399,7.5,0.82,25.0,6701723776,http://www.scopus.com/authid/detail.url?authorId=6701723776
"Elizabeth, Suja",53,2017,170,3.2,1.07,12.0,6701567142,http://www.scopus.com/authid/detail.url?authorId=6701567142
