Data set,Overall research performance
Entity,"Indian Institute of Science Bangalore"
Year range,2011 to 2015
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

	,Overall,2011,2012,2013,2014,2015
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),25.7%,24.2%,24.7%,26.2%,25.4%,27.6%
Academic-Corporate Collaboration (%),2.4%,2.7%,2.5%,2.5%,1.9%,2.6%
Scholarly Output,11930,2084,2295,2367,2587,2597
Scholarly Output (growth %),24.6%
Citations,84720,25564,19891,18400,13058,7807
Field-Weighted Citation Impact,1.10,1.13,1.02,1.18,1.07,1.12
Outputs in Top Citation Percentiles (top 10%),13.5%,12.1%,11.3%,13.6%,14.3%,15.6%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),35.8%,32.5%,31.9%,35.4%,39.3%,38.7%
Citations per Publication,7.1,12.3,8.7,7.8,5.0,3.0
Views,195835,46608,42484,40444,35134,31165
Outputs in Top Views Percentiles (top 10%),12.8%,14.3%,12.6%,12.5%,12.8%,11.9%
Views per Publication,16.4,22.4,18.5,17.1,13.6,12.0
Field-Weighted View Impact,1.00,1.13,1.03,0.97,0.94,0.96
Citing-Patents Count (patent office: All Patent Offices),126,57,47,14,13,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),83,41,22,11,9,0
Patent-Citations Count (patent office: All Patent Offices),140,66,47,14,13,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),11.7,31.7,20.5,5.9,5.0,0.0
Mass Media (Print),2097,255,268,295,352,609,318
Media Exposure Internationally recognized (Print),926.0,116.0,116.0,110.0,159.0,265.0,160.0,
Media Exposure Regionally recognized (Print),108.5,22.0,12.5,17.0,18.0,27.0,12.0,
Media Exposure Nationally recognized (Print),251.7,24.9,34.2,36.9,41.7,74.4,39.6,
Media Exposure Locally recognized (Print),23.0,2.4,2.6,5.6,3.6,8.4,0.4
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),1.17,0.7,1.0,0.8,1.1,2.0
"Authors",6480,1923,2182,2276,2532,2813
Authors (growth %),46.3%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
