Data set,Overall research performance
Entity,"Indian Institute of Technology, Bombay"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),27.4%,26.6%,25.1%,28.0%,27.2%,28.2%,28.6%,26.0%
Academic-Corporate Collaboration (%),4.0%,3.1%,3.7%,5.0%,3.7%,3.9%,4.6%,2.7%
Scholarly Output,10703,1325,1389,1751,1994,1882,2024,338
Scholarly Output (growth %),42.0%
Citations,55203,13412,12025,14020,9585,4891,1264,6
Field-Weighted Citation Impact,1.07,1.17,1.14,1.27,1.12,1.03,0.89,0.26
Outputs in Top Citation Percentiles (top 10%),12.7%,9.7%,12.7%,13.1%,12.8%,14.3%,12.8%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),33.7%,27.4%,35.0%,30.5%,37.5%,36.3%,33.6%,-%
Citations per Publication,5.2,10.1,8.7,8.0,4.8,2.6,0.6,0.0
Views,204744,42272,36400,38910,36873,28524,19884,1881
Outputs in Top Views Percentiles (top 10%),17.6%,19.2%,20.2%,17.3%,17.6%,17.2%,15.4%,-%
Views per Publication,19.1,31.9,26.2,22.2,18.5,15.2,9.8,5.6
Field-Weighted View Impact,1.52,2.19,1.62,1.46,1.48,1.31,1.33,1.21
Citing-Patents Count (patent office: All Patent Offices),83,47,15,19,4,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),51,29,9,9,4,0,0,0
Patent-Citations Count (patent office: All Patent Offices),87,49,15,19,4,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),8.1,37.0,10.8,10.9,2.0,0.0,0.0,0.0
Mass Media (Print),358,64,52,63,64,67,48,-
Media Exposure Internationally recognized (Print),148.0,30.0,22.0,30.0,24.0,21.0,21.0,-,
Media Exposure Regionally recognized (Print),8.0,0.5,1.0,1.5,-,2.5,2.5,-,
Media Exposure Nationally recognized (Print),34.8,7.8,7.5,4.8,4.5,5.4,4.8,-,
Media Exposure Locally recognized (Print),15.6,1.4,0.6,2.8,5.0,4.6,1.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.51,0.3,0.5,0.5,0.2,0.2,1.2,-
"Authors",6176,1381,1552,1843,2107,2102,2302,630
Authors (growth %),52.2%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
