Data set,"102 competencies of the Indian Institute of Technology, Bombay (2015), based on publications in 2011-2015"
Entity,"Indian Institute of Technology, Bombay"
Year,2015

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Competency ID,"Authors (Indian Institute of Technology, Bombay)",Keywords,Subject Areas,Publications worldwide,Publications in competencies (fractionalized count),Average annual growth,"Publications (Indian Institute of Technology, Bombay)","Publications from Indian Institute of Technology, Bombay (fractionalized count)",% Share of publications worldwide,"Average annual growth (Indian Institute of Technology, Bombay)","Rank of Indian Institute of Technology, Bombay by number of publications",Relative Publication Share,Relative Reference Share,State of the Art,"Citations of publications from the Indian Institute of Technology, Bombay"
1 (EC),"Nandi B.K., Varma R., Koyithatta Meethaleveedu G.","collisions; ionic collisions; transverse momentum","Nuclear and High Energy Physics (86.9); General Physics and Astronomy (13.1)",1899,930.5,-17.8%,108,59.2,6.4%,-1.2%,30,0.48,0.06,0.60,2401
2 (DC),"Singh T.N., Mukherjee S., Radhakrishna M.","Rocks; rock; slope","Geotechnical Engineering and Engineering Geology (68.7); Geology (19.4); Geochemistry and Petrology (7.9)",1582,656.6,5.6%,97,66.8,10.2%,9.2%,1,3.03,3.26,1.06,653
3 (DC),"Bandyopadhyay B., Kamal S., Chalanga A.","Sliding mode control; Controllers; Control","Control and Systems Engineering (100.0)",1638,683.8,-4.1%,82,54.3,7.9%,-2.9%,1,1.56,0.60,-1.46,163
4 (DC),"Rajaraman G., Murugavel R., Singh S.K.","Ligands; Magnets; Magnetocaloric effects","Inorganic Chemistry (67.5); General Chemistry (18.2); Physical and Theoretical Chemistry (14.3)",2387,697.9,14.7%,78,43.4,6.2%,49.1%,1,1.19,0.85,0.12,543
5 (DC),"Agarwal V.K., Wandhare R.G., Sharma P.N.","Photovoltaic cells; Electric potential; Control","Electrical and Electronic Engineering (95.3); Energy Engineering and Power Technology (4.7)",1648,657.5,7.9%,41,28.8,4.4%,2.9%,1,1.91,0.25,0.61,76
6 (DC),"Srivastava A.K., Agrawal A.M.I.T., Bhapkar U.S.","Jets; Heat transfer; Reynolds number","Mechanical Engineering (51.4); Condensed Matter Physics (48.6)",1212,607.6,-1.0%,22,15.2,2.5%,15.6%,3,0.47,1.13,0.67,94
7 (EC),"Bandyopadhyay S., Sahu G.C., Garg A.","Optimization; Water; Scheduling","General Chemical Engineering (100.0)",1178,535.8,-5.2%,35,23.9,4.5%,10.9%,2,0.89,0.58,2.25,165
8 (DC),"Jothiprakash V., Ghosh S., Fathima T.A.","Neural networks; artificial neural network; model","Water Science and Technology (52.2); Computer Science Applications (25.3); Atmospheric Science (22.5)",1340,478.0,-7.4%,31,16.2,3.4%,4.4%,1,1.42,1.17,-0.14,221
9 (DC),"Choudhury D., Mandal J.N., Padade A.H.","Soils; reinforcement; soil","Geotechnical Engineering and Engineering Geology (89.6); Civil and Structural Engineering (10.4)",900,479.6,5.5%,61,43.8,9.1%,34.5%,1,1.57,1.65,1.38,189
10 (DC),"Ravikanth M.N., Lakshmi V.V., Chatterjee T.","Dyes; Fluorescence; Boron Compounds","General Chemistry (54.9); Organic Chemistry (37.1); Physical and Theoretical Chemistry (8.0)",1505,438.6,4.8%,65,38.8,8.9%,9.9%,1,2.28,0.42,-1.44,590
11 (DC),"Panda D., Jindal B., Ray S.","Noscapine; Cell Division; Tubulin","Pharmacology (28.9); Drug Discovery (26.4); Molecular Biology (25.9)",1131,420.2,3.7%,29,20.2,4.8%,9.2%,1,1.24,0.32,-0.54,160
12 (EC),"Suresh K.G., Sahoo R., Nayak A.K.","Alloys; Manganese; Martensitic transformations","Condensed Matter Physics (100.0)",799,419.6,2.9%,28,17.6,4.2%,12.9%,3,0.84,0.18,0.87,85
13 (EC),"Singh D.N., Baghini M.S.H., Anvesha A.","Amplifiers (electronic); CMOS integrated circuits; Shear waves","Electrical and Electronic Engineering (64.9); Geotechnical Engineering and Engineering Geology (35.1)",830,388.1,0.4%,7,5.6,1.4%,-22.9%,15,0.43,0.00,-0.07,2
14 (DC),"Mukherjee J., Kumar G.D., Mishra S.K.","Antennas; Microstrip antennas; Bandwidth","Electrical and Electronic Engineering (100.0)",654,317.8,-14.4%,23,13.5,4.2%,-22.5%,1,1.02,0.13,2.63,118
15 (DC),"Viswanadham B.V.S., Mandal J.N., Dewaikar D.M.","Soils; Bearing capacity; footing","Geotechnical Engineering and Engineering Geology (100.0)",702,328.2,5.0%,20,11.7,3.6%,-2.0%,1,1.05,0.00,2.40,54
16 (EC),"Patel P., Mukherjee J., Mukherjee B.","Dielectric resonators; Microwave antennas; Antennas","Electrical and Electronic Engineering (100.0)",559,345.3,0.5%,16,13.5,3.9%,40.0%,8,0.55,0.70,0.15,29
17 (DC),"Agrawal A.M.I.T., Pradeep A.M., Varade V.V.","Microchannels; Heat transfer; Boiling liquids","Mechanical Engineering (53.8); Condensed Matter Physics (46.2)",870,353.8,-5.7%,22,16.2,4.6%,26.1%,1,1.56,0.79,-1.47,72
18 (EC),"Darji A.D., Chandorkar A.N., Merchant S.N.","Discrete wavelet transforms; Wavelet transforms; Hardware","Electrical and Electronic Engineering (100.0)",692,319.0,-14.6%,13,12.2,3.8%,12.5%,2,0.88,0.00,1.01,8
19 (EC),"Garg A., Yadav B.R., Dhakhwa S.","Wastewater; Paper and pulp mills; Effluents","Environmental Engineering (82.3); General Chemical Engineering (17.7)",880,333.7,-12.3%,11,6.6,2.0%,-12.6%,7,0.60,0.00,0.45,27
20 (EC),"Gharpure S.J., Kotha S., Namboothiri I.N.N.","Cyclization; Synthesis (chemical); Molecular Structure","Organic Chemistry (81.7); Physical and Theoretical Chemistry (18.3)",928,327.1,-4.4%,17,11.3,3.5%,50.7%,2,0.98,0.13,-0.99,62
21 (DC),"Naik N.K., Pandya K.S., Pothnis J.R.","Ballistics; Composite materials; Projectiles","Mechanical Engineering (100.0)",714,320.0,1.5%,25,19.6,6.1%,13.6%,1,2.28,1.50,0.81,131
22 (DC),"Namboothiri I.N.N., Maiti D., Maity S.K.","Synthesis (chemical); Cyclization; Alkenes","Organic Chemistry (100.0)",1053,301.2,5.8%,36,21.1,7.0%,14.8%,1,1.68,1.12,2.86,570
23 (DC),"Sudarshan S., Ramachandra K., Shah S.Y.","Database systems; Applications; Data structures","General Computer Science (72.2); Software (27.8)",654,271.5,-19.0%,8,6.0,2.2%,22.6%,2,0.97,0.00,0.29,15
24 (DC),"Fernandes R.A., Singh V.K., Mulay S.V.","Synthesis (chemical); Cycloaddition Reaction; Stereoisomerism","Organic Chemistry (72.0); General Chemistry (15.5); Biochemistry (12.5)",955,293.7,-4.4%,46,27.2,9.2%,11.2%,1,2.93,0.47,0.55,238
25 (EC),"Fernandes B.G., Nikam S.P., Vandana R.","Reluctance motors; Torque; Motors","Electrical and Electronic Engineering (100.0)",481,280.3,2.8%,14,10.3,3.7%,5.1%,3,0.76,0.33,-0.96,58
26 (DC),"Mukherji S., Ramgopal Rao V., Punjabi N.","Sensors; Biosensors; Fiber optic sensors","Electrical and Electronic Engineering (100.0)",811,284.9,-8.7%,39,23.9,8.4%,18.4%,1,2.14,1.17,0.58,146
27 (DC),"Singh D.N., Mandal J.N., Uday K.V.","Soils; soil; Engineers","Geotechnical Engineering and Engineering Geology (77.3); Water Science and Technology (12.7); Agronomy and Crop Science (10.0)",587,268.4,14.6%,18,12.1,4.5%,3.9%,1,1.95,0.00,0.19,59
28 (EC),"Sunoj R.B., Reddi Y., Sharma A.K.","Aldehydes; Catalysis; Enantioselectivity","Organic Chemistry (100.0)",1092,281.2,-10.4%,13,6.4,2.3%,-19.1%,5,0.61,0.58,2.76,164
29 (DC),"Baghel A.P.S., Kulkarni S.V., Samajdar I.D.","Hysteresis; Hysteresis loops; Models","Electrical and Electronic Engineering (100.0)",589,264.3,-3.8%,9,7.1,2.7%,47.9%,4,0.48,1.67,3.24,41
30 (DC),"Mahapatra S., Goel N., Mukhopadhyay S.","Degradation; Stresses; Threshold voltage","Electrical and Electronic Engineering (100.0)",585,273.0,1.6%,29,18.5,6.8%,20.0%,4,0.86,1.50,1.93,163
31 (EC),"Kumar S., Akram M., Deshpande A.A.","Combustion; Combustors; Mixtures","General Chemical Engineering (53.8); Energy Engineering and Power Technology (46.2)",617,276.9,2.2%,18,10.2,3.7%,-15.9%,3,0.86,0.44,-0.44,104
32 (EC),"Thaokar R.M., Gambhire P., Deshmukh S.D.","Electrohydrodynamics; Electric fields; Drops","Condensed Matter Physics (100.0)",707,270.9,-8.2%,20,11.2,4.1%,-15.6%,3,0.68,0.50,-2.93,72
33 (EC),"Bandyopadhyay S., Roy A., Kedare S.B.","Solar energy; Photovoltaic cells; Wind","Renewable Energy, Sustainability and the Environment (43.3); Electrical and Electronic Engineering (29.6); Energy Engineering and Power Technology (27.2)",863,244.4,3.4%,13,7.5,3.1%,6.6%,1,1.58,0.40,-0.66,44
34 (EC),"Patwardhan S.C., Bhushan M., Bimal Raj K.","Boilers; Control; Controllers","Control and Systems Engineering (100.0)",684,254.1,-13.3%,16,8.2,3.2%,25.1%,6,0.46,0.33,-0.50,80
35 (EC),"Misra D.S., Bajpai R., Roy S.","Solar cells; Dyes; Electrodes","General Materials Science (100.0)",731,266.2,-0.5%,8,6.3,2.4%,-1.3%,9,0.59,0.25,0.48,170
36 (EC),"Kishore N., Kumar N.D.M., Choudhary S.","Urea; Protein Stability; Methylamines","Physical and Theoretical Chemistry (64.7); Biochemistry (35.3)",988,261.5,-6.9%,13,7.8,3.0%,9.2%,3,0.68,0.14,-0.36,43
37 (EC),"Karunakaran K.P., Bapat V.P., Raghavender N.","Manufacture; Additives; Welding","Mechanical Engineering (68.1); Philosophy (16.7); Industrial and Manufacturing Engineering (15.2)",660,244.8,4.3%,11,8.0,3.3%,20.7%,5,0.59,0.19,4.36,44
