Data set,Overall research performance
Entity,"Indian Institute of Technology, Delhi"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),21.2%,21.5%,21.6%,20.1%,21.3%,21.5%,21.6%,18.6%
Academic-Corporate Collaboration (%),1.8%,1.7%,1.6%,2.1%,1.9%,1.8%,1.6%,0.6%
Scholarly Output,10365,1437,1533,1661,1801,1758,1837,338
Scholarly Output (growth %),22.3%
Citations,52055,15647,11958,10730,8261,4300,1148,11
Field-Weighted Citation Impact,1.07,1.15,1.01,1.09,1.15,1.14,1.03,0.53
Outputs in Top Citation Percentiles (top 10%),12.5%,13.0%,10.0%,12.1%,12.5%,13.6%,13.3%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),29.1%,25.3%,25.6%,27.1%,30.2%,30.8%,33.8%,-%
Citations per Publication,5.0,10.9,7.8,6.5,4.6,2.4,0.6,0.0
Views,182115,38229,34625,33006,31251,25672,17229,2103
Outputs in Top Views Percentiles (top 10%),16.4%,17.8%,17.7%,16.1%,16.0%,16.0%,15.4%,-%
Views per Publication,17.6,26.6,22.6,19.9,17.4,14.6,9.4,6.2
Field-Weighted View Impact,1.11,1.24,1.13,1.04,1.09,1.13,1.07,1.15
Citing-Patents Count (patent office: All Patent Offices),64,24,27,17,3,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),47,16,16,12,3,0,0,0
Patent-Citations Count (patent office: All Patent Offices),71,24,27,17,3,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),6.8,16.7,17.6,10.2,1.7,0.0,0.0,0.0
Mass Media (Print),215,30,46,31,25,45,38,-
Media Exposure Internationally recognized (Print),114.0,18.0,23.0,14.0,11.0,28.0,20.0,-,
Media Exposure Regionally recognized (Print),12.0,2.0,1.5,1.5,1.0,3.5,2.5,-,
Media Exposure Nationally recognized (Print),15.9,1.8,4.8,2.1,2.1,1.8,3.3,-,
Media Exposure Locally recognized (Print),4.8,0.4,0.8,1.4,1.0,0.8,0.4,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.38,0.2,0.3,0.3,0.1,0.3,1.0,-
"Authors",4840,1248,1367,1491,1571,1767,1786,542
Authors (growth %),41.6%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
