Data set,Overall research performance
Entity,"Indian Institute of Technology, Guwahati"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,18 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),18.3%,19.0%,19.8%,20.1%,18.9%,16.6%,17.2%,13.9%
Academic-Corporate Collaboration (%),0.8%,1.5%,0.4%,0.9%,0.8%,0.4%,1.0%,1.0%
Scholarly Output,5742,736,758,905,966,1015,1154,208
Scholarly Output (growth %),37.9%
Citations,29557,7384,7230,6653,4837,2669,776,8
Field-Weighted Citation Impact,1.02,0.90,1.25,1.05,1.07,0.96,0.99,0.70
Outputs in Top Citation Percentiles (top 10%),13.9%,11.3%,12.7%,15.5%,13.7%,14.5%,14.6%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),34.0%,30.0%,32.7%,34.4%,38.1%,37.4%,30.8%,-%
Citations per Publication,5.1,10.0,9.5,7.4,5.0,2.6,0.7,0.0
Views,97739,17856,17844,19133,17250,14406,10280,970
Outputs in Top Views Percentiles (top 10%),16.3%,16.4%,16.2%,17.5%,17.7%,16.0%,14.5%,-%
Views per Publication,17.0,24.3,23.5,21.1,17.9,14.2,8.9,4.7
Field-Weighted View Impact,1.22,1.29,1.30,1.31,1.29,1.14,1.10,1.01
Citing-Patents Count (patent office: All Patent Offices),45,16,14,13,5,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),30,10,8,8,4,0,0,0
Patent-Citations Count (patent office: All Patent Offices),50,18,14,13,5,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),8.7,24.5,18.5,14.4,5.2,0.0,0.0,0.0
Mass Media (Print),60,1,3,8,14,14,20,-
Media Exposure Internationally recognized (Print),25.0,1.0,-,2.0,5.0,2.0,15.0,-,
Media Exposure Regionally recognized (Print),4.5,-,0.5,0.5,0.5,2.0,1.0,-,
Media Exposure Nationally recognized (Print),2.4,-,-,0.3,0.3,1.2,0.6,-,
Media Exposure Locally recognized (Print),3.6,-,0.4,0.8,1.4,0.8,0.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.31,0.0,0.1,0.1,0.1,0.1,1.1,-
"Authors",3143,691,748,898,1041,1122,1244,391
Authors (growth %),62.4%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
