Data set,Overall research performance
Entity,"Indian Institute of Technology, Kanpur"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),25.6%,23.0%,24.8%,26.4%,27.4%,25.0%,26.7%,23.9%
Academic-Corporate Collaboration (%),2.1%,1.9%,2.5%,2.1%,1.1%,2.6%,2.5%,1.3%
Scholarly Output,7573,1075,1110,1191,1309,1286,1376,226
Scholarly Output (growth %),19.6%
Citations,38845,10225,10151,8280,5864,3381,935,9
Field-Weighted Citation Impact,1.00,0.95,0.99,1.12,0.95,1.05,0.99,0.77
Outputs in Top Citation Percentiles (top 10%),12.5%,10.3%,10.2%,13.2%,12.0%,14.5%,14.1%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),33.3%,29.4%,29.6%,33.5%,33.0%,38.2%,34.7%,-%
Citations per Publication,5.1,9.5,9.1,7.0,4.5,2.6,0.7,0.0
Views,118916,24134,26464,21962,18029,16263,10967,1097
Outputs in Top Views Percentiles (top 10%),12.7%,14.2%,13.0%,14.2%,11.8%,11.9%,11.6%,-%
Views per Publication,15.7,22.5,23.8,18.4,13.8,12.6,8.0,4.9
Field-Weighted View Impact,1.03,1.10,1.16,1.08,0.95,0.99,0.93,1.11
Citing-Patents Count (patent office: All Patent Offices),50,29,11,8,2,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),37,20,8,7,2,0,0,0
Patent-Citations Count (patent office: All Patent Offices),52,30,11,9,2,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),6.9,27.9,9.9,7.6,1.5,0.0,0.0,0.0
Mass Media (Print),173,24,33,30,34,37,15,-
Media Exposure Internationally recognized (Print),100.0,19.0,19.0,12.0,19.0,21.0,10.0,-,
Media Exposure Regionally recognized (Print),12.0,0.5,5.0,-,2.5,3.0,1.0,-,
Media Exposure Nationally recognized (Print),7.8,0.6,0.9,2.1,2.1,1.5,0.6,-,
Media Exposure Locally recognized (Print),4.6,0.4,0.2,2.2,0.6,1.0,0.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.35,0.4,0.3,0.3,0.2,0.3,0.6,-
"Authors",4193,1068,1174,1219,1291,1348,1508,400
Authors (growth %),26.2%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
