Data set,"121 competencies of the Indian Institute of Technology, Kharagpur (2015), based on publications in 2011-2015"
Entity,"Indian Institute of Technology, Kharagpur"
Year,2015

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Competency ID,"Authors (Indian Institute of Technology, Kharagpur)",Keywords,Subject Areas,Publications worldwide,Publications in competencies (fractionalized count),Average annual growth,"Publications (Indian Institute of Technology, Kharagpur)","Publications from Indian Institute of Technology, Kharagpur (fractionalized count)",% Share of publications worldwide,"Average annual growth (Indian Institute of Technology, Kharagpur)","Rank of Indian Institute of Technology, Kharagpur by number of publications",Relative Publication Share,Relative Reference Share,State of the Art,"Citations of publications from the Indian Institute of Technology, Kharagpur"
1 (DC),"Rao K., Koolagudi S.G., Yadav J.","Speech; Speech recognition; Database systems","Software (57.6); Signal Processing (15.7); Electrical and Electronic Engineering (8.5)",3532,1251.8,-5.1%,102,73.3,5.9%,-13.6%,1,1.56,5.14,0.22,363
2 (DC),"Chakraborty S., Bandopadhyay A., Ghosh U.","Electroosmosis; Microchannels; Fluids","Condensed Matter Physics (94.7); Geotechnical Engineering and Engineering Geology (5.3)",2451,901.0,-5.4%,92,59.9,6.6%,5.9%,1,2.41,3.22,2.02,454
3 (DC),"Chattopadhyay S., Sengupta I., Pratihar D.K.","Networks (circuits); Design; Testing","Electrical and Electronic Engineering (67.4); General Computer Science (11.7); Control and Systems Engineering (11.7)",1814,816.6,-5.2%,72,46.2,5.7%,-6.7%,1,1.72,0.33,-0.32,152
4 (DC),"Mandal M., Rajput S.S., Sen R.","Nigella sativa; Electric Impedance; Lipopeptides","Biotechnology (38.5); Electrical and Electronic Engineering (27.1); Pharmacology (23.6)",2498,780.7,3.3%,63,34.7,4.4%,17.0%,1,2.06,1.58,1.63,506
5 (DC),"Shrivastava S.L., Rao P., Mishra H.N.","Aloe; Moisture; Isotherms","Food Science (58.2); Pharmacology (41.8)",1767,660.1,0.1%,28,20.3,3.1%,7.9%,1,1.72,0.13,-2.62,70
6 (EC),"Ray G.G., Ramakrishnan K.V., Ray G.","Linear matrix inequalities; Stability criteria; Lyapunov functions","Control and Systems Engineering (92.1); Electrical and Electronic Engineering (7.9)",1532,684.4,-6.4%,31,23.7,3.5%,-21.3%,3,0.92,0.28,-0.59,138
7 (DC),"Chakraborty S., Pal S.K., Ravikumar S.V.","Thermal conductivity; Nanoparticles; Nanofluidics","Condensed Matter Physics (100.0)",1704,678.7,0.2%,43,31.6,4.7%,-1.1%,1,1.57,3.57,-0.68,354
8 (EC),"Mukherjee A., Sar P., Jha M.K.","groundwater; arsenic; aquifer","Environmental Chemistry (67.6); Water Science and Technology (28.3); Horticulture (4.2)",1708,652.7,3.3%,42,27.1,4.1%,22.2%,3,0.72,0.18,2.50,195
9 (DC),"Sarkar N., Ghosh S.P., Mandal S.","Ionic liquids; liquids; Fluorescence","Physical and Theoretical Chemistry (69.4); General Chemistry (30.6)",2220,650.8,-6.9%,79,38.0,5.8%,-22.2%,1,2.20,2.96,-0.01,620
10 (DC),"Mukhopadhyay D., Rebeiro C., Chakrabarti I.","Image coding; Motion Picture Experts Group standards; Cryptography","Electrical and Electronic Engineering (59.6); Software (32.4); General Computer Science (8.0)",1331,605.9,-10.7%,28,21.7,3.6%,-23.2%,1,1.84,0.00,-1.67,36
11 (DC),"Misra S., Mondal A., Bera S.","Wireless sensor networks; Sensor nodes; Energy utilization","Computer Networks and Communications (76.7); Electrical and Electronic Engineering (12.1); Computer Science Applications (11.2)",1835,588.4,3.3%,64,41.2,7.0%,46.0%,1,1.76,1.24,1.91,230
12 (DC),"Chattopadhyay S., Chattopadhyay P.K., Das C.K.","Nanocomposites; Rubber; Clay","Polymers and Plastics (86.0); Condensed Matter Physics (14.0)",1819,610.6,-10.8%,44,27.2,4.5%,-8.8%,1,1.28,0.89,0.62,190
13 (EC),"Ghangrekar M.M., Pandit S.N., Das D.","Microbial fuel cells; Bioelectric Energy Sources; Anodes","Environmental Engineering (66.5); Environmental Chemistry (18.6); General Chemical Engineering (14.8)",1619,601.0,2.8%,30,17.7,2.9%,45.6%,2,0.76,0.38,0.48,144
14 (DC),"Bhowmik S.K., Panigrahi M.K., Mishra B.N.","metamorphism; rock; craton","Geology (77.0); Environmental Chemistry (15.8); Geochemistry and Petrology (7.2)",1882,579.9,1.3%,76,41.6,7.2%,-2.1%,1,1.56,1.48,0.38,377
15 (DC),"Sural S., Ghosh S.K., Maity S.","Access control; Public policy; Models","General Computer Science (45.2); Computer Networks and Communications (35.8); Software (18.9)",1298,568.3,-12.5%,28,21.6,3.8%,17.4%,1,1.66,0.60,-0.19,41
16 (EC),"Maji P.S., Chaudhuri P.R., Varshney S.K.","Photonic crystal fibers; Fibers; Dispersion (waves)","Atomic and Molecular Physics, and Optics (51.3); Electrical and Electronic Engineering (48.7)",1434,570.0,-17.8%,35,28.4,5.0%,38.0%,2,0.99,0.77,-0.04,45
17 (DC),"Chattaraj P.K., Pan S., Giri S.","density functional theory; reactivity; molecules","Physical and Theoretical Chemistry (91.4); Spectroscopy (8.6)",1278,484.4,-4.3%,76,48.1,9.9%,1.9%,1,2.06,1.76,1.63,579
18 (DC),"Mukhopadhyay D., RoyChowdhury D., Chowdhury D.R.","Cryptography; Bits; Algorithms","General Computer Science (93.8); Electrical and Electronic Engineering (6.2)",971,478.0,-1.2%,41,28.3,5.9%,24.9%,1,2.05,0.37,1.36,83
19 (EC),"Chakrabarti I., Mukherjee R., Sengupta S.","Motion estimation; Image coding; Algorithms","Electrical and Electronic Engineering (100.0)",750,471.6,-18.2%,9,6.7,1.4%,-8.5%,9,0.56,0.50,-1.77,23
20 (DC),"Venimadhav A., Nath T.K., Chandrasekhar K.D.","Perovskite; Magnetization; Magnetic properties","Condensed Matter Physics (87.7); General Physics and Astronomy (12.3)",1235,462.9,2.6%,38,21.5,4.6%,0.5%,1,1.36,1.11,1.14,156
21 (DC),"Singh B.N., Maiti D.K., Grover N.","Shear deformation; Laminated composites; Boundary conditions","Mechanical Engineering (80.6); Civil and Structural Engineering (14.1); Mechanics of Materials (5.3)",1071,443.9,-3.7%,52,33.2,7.5%,12.1%,1,1.71,1.46,-3.00,220
22 (DC),"Goswami A.K., Chakraborty D., Roy A.R.","Costs; Inventory control; Models","Industrial and Manufacturing Engineering (65.3); Control and Systems Engineering (34.7)",819,339.9,-12.4%,17,9.4,2.8%,25.3%,1,1.01,0.25,1.57,49
23 (DC),"Chattopadhyay S., Manna K., Sahu P.K.","VLSI circuits; Mapping; Communication","Electrical and Electronic Engineering (72.6); Hardware and Architecture (27.4)",767,363.4,-11.7%,22,19.0,5.2%,26.5%,1,1.06,0.48,0.40,107
24 (DC),"De S., Mondal S., Chhaya","Ultrafiltration; Membranes; Fluxes","General Chemical Engineering (67.2); Food Science (24.8); General Chemistry (8.0)",1049,352.6,-7.4%,38,24.8,7.0%,11.1%,1,2.59,1.29,-0.39,170
25 (DC),"Chakraborty C., Naskar R., Chakraborty R.S.","Steganography; Watermarking; Pixels","Software (51.7); General Medicine (48.3)",826,344.8,-9.1%,18,10.7,3.1%,-24.0%,1,1.16,0.00,-0.03,38
26 (EC),"Dhar A.S., Prasad N.S., Chakrabarti I.","Field programmable gate arrays (FPGA); Digital computers; Algorithms","Electrical and Electronic Engineering (100.0)",511,316.6,-6.5%,11,9.4,3.0%,-1.5%,2,0.85,0.00,-1.14,14
27 (DC),"Kundu S.C., Naskar D., Nayak S.","Sericins; Silk; Biomaterials","Polymers and Plastics (66.6); Virology (13.5); Biomedical Engineering (11.0)",1052,317.8,12.4%,44,21.6,6.8%,7.5%,2,0.94,0.87,-0.01,637
28 (DC),"Goswami A.K., Odelu V., Mishra D.","Authentication; Cryptography; Access control","Computer Networks and Communications (61.0); Information Systems (39.0)",649,301.4,15.2%,32,22.5,7.5%,50.9%,1,1.01,0.47,1.52,155
29 (DC),"Raghuwanshi N.S., Jha M.K., Adamala S.","Neural networks; artificial neural network; model","Water Science and Technology (90.9); General Computer Science (9.1)",812,293.8,-8.9%,26,12.1,4.1%,15.9%,1,1.56,1.60,-0.37,171
30 (EC),"Pradhan R.P., Bele S.K., Pandey S.","Economic growth; Relationships; Causality","Economics and Econometrics (100.0)",796,276.5,-5.4%,23,14.4,5.2%,52.2%,1,1.51,0.75,1.49,34
31 (EC),"Naskar K., Nando G.B., Bhowmick A.K.","Rubber; Thermoplastics; Vulcanization","Polymers and Plastics (100.0)",737,285.5,1.2%,39,26.1,9.2%,10.5%,1,1.60,0.49,0.17,142
32 (EC),"Khatua B.B., Chaki T., Shrivastava N.K.","Carbon nanotubes; Nanocomposites; Composite materials","Polymers and Plastics (84.6); General Materials Science (15.4)",1480,288.4,-18.9%,28,10.6,3.7%,-38.3%,2,0.93,0.19,-1.40,227
33 (EC),"Biswas K., Sen S., Khanra M.","Capacitors; Networks (circuits); Dielectric properties","Electrical and Electronic Engineering (50.0); Condensed Matter Physics (50.0)",771,277.2,-8.7%,41,18.2,6.6%,-22.5%,2,0.74,0.80,0.37,163
