Data set,"Top 500 authors, by number of publications"
Entity,"Indian Institute of Technology, Kharagpur"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Name,Publications,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Chakraborty, Suman",162,2016,905,5.6,1.05,25.0,56783647100,http://www.scopus.com/authid/detail.url?authorId=56783647100
"Misra, Sudip",155,2017,800,5.2,2.03,24.0,7401768547,http://www.scopus.com/authid/detail.url?authorId=7401768547
"Maiti, Tapas Kumar Umar",128,2017,1811,14.1,1.64,28.0,55433021200,http://www.scopus.com/authid/detail.url?authorId=55433021200
"Ray, Samit Kumar",112,2017,933,8.3,1.37,27.0,7402322431,http://www.scopus.com/authid/detail.url?authorId=7402322431
"Chakraborty, Chandan",109,2017,774,7.1,1.97,33.0,35509178500,http://www.scopus.com/authid/detail.url?authorId=35509178500
"Tiwari, Manoj Kumar",109,2017,724,6.6,1.47,36.0,35427952100,http://www.scopus.com/authid/detail.url?authorId=35427952100
"Chattaraj, Pratim Kumar",105,2016,895,8.5,1.25,41.0,56269528000,http://www.scopus.com/authid/detail.url?authorId=56269528000
"Rao, Krothapallisreenivasa",97,2017,374,3.9,1.16,13.0,35093227600,http://www.scopus.com/authid/detail.url?authorId=35093227600
"De, Sirshendu",96,2017,659,6.9,1.14,35.0,7202304528,http://www.scopus.com/authid/detail.url?authorId=7202304528
"Ganguly, Niloy",90,2016,373,4.1,2.38,14.0,56081670000,http://www.scopus.com/authid/detail.url?authorId=56081670000
"Mukhopadhyay, Debdeep",90,2017,224,2.5,1.69,12.0,55876996600,http://www.scopus.com/authid/detail.url?authorId=55876996600
"Pal, Tarasankar K.",90,2016,1358,15.1,2.37,48.0,24824941700,http://www.scopus.com/authid/detail.url?authorId=24824941700
"Kundu, Subhas C.",89,2017,1695,19.0,2.03,37.0,25647983000,http://www.scopus.com/authid/detail.url?authorId=25647983000
"Nath, Tapan Kumar",89,2017,264,3.0,0.79,22.0,7003663909,http://www.scopus.com/authid/detail.url?authorId=7003663909
"Das, Chapal Kumar",84,2016,932,11.1,1.61,22.0,55664387000,http://www.scopus.com/authid/detail.url?authorId=55664387000
"Ghosh, Soumya Kanti",84,2016,215,2.6,0.87,8.0,24080140200,http://www.scopus.com/authid/detail.url?authorId=24080140200
"Bhattacharyya, T. K.",76,2016,185,2.4,0.72,10.0,35736906500,http://www.scopus.com/authid/detail.url?authorId=35736906500
"Sarkar, Nilmoni",71,2016,774,10.9,1.25,33.0,56231717000,http://www.scopus.com/authid/detail.url?authorId=56231717000
"Chattopadhyay, Santanu",70,2017,226,3.2,1.07,14.0,56207395100,http://www.scopus.com/authid/detail.url?authorId=56207395100
"Biswas, Dhrubes K.",69,2016,94,1.4,0.51,6.0,55264479100,http://www.scopus.com/authid/detail.url?authorId=55264479100
"Pramanik, Panchanan K.",69,2016,1489,21.6,2.15,35.0,7006346375,http://www.scopus.com/authid/detail.url?authorId=7006346375
"Banerji, Pallab",68,2017,342,5.0,0.73,16.0,7004153226,http://www.scopus.com/authid/detail.url?authorId=7004153226
"Sengupta, Indranil",68,2016,210,3.1,1.35,12.0,6603673911,http://www.scopus.com/authid/detail.url?authorId=6603673911
"Banerjee, Susanta K.",67,2017,482,7.2,1.12,24.0,7404544930,http://www.scopus.com/authid/detail.url?authorId=7404544930
"Dasgupta, Swagata",67,2017,363,5.4,0.72,23.0,7202154672,http://www.scopus.com/authid/detail.url?authorId=7202154672
"Mishra, H. N.",63,2017,451,7.2,1.34,18.0,55539634000,http://www.scopus.com/authid/detail.url?authorId=55539634000
"Adhikari, Basudam",62,2016,521,8.4,1.13,26.0,7006252064,http://www.scopus.com/authid/detail.url?authorId=7006252064
"Sen, Ramkrishna",60,2016,469,7.8,1.41,26.0,7202971461,http://www.scopus.com/authid/detail.url?authorId=7202971461
"Dhara, Santanu",59,2017,496,8.4,1.42,18.0,7007063911,http://www.scopus.com/authid/detail.url?authorId=7007063911
"Maìti, Chinmay Kumar",59,2014,226,3.8,0.61,18.0,23398062200,http://www.scopus.com/authid/detail.url?authorId=23398062200
"Chaki, Tapankumar",57,2017,468,8.2,1.79,28.0,7006397646,http://www.scopus.com/authid/detail.url?authorId=7006397646
"Mukhopadhyay, Sudipta",57,2017,279,4.9,1.40,12.0,7401806984,http://www.scopus.com/authid/detail.url?authorId=7401806984
"Pal, Surjya Kanta",57,2016,426,7.5,1.99,18.0,35570021100,http://www.scopus.com/authid/detail.url?authorId=35570021100
"Sural, Shamik",57,2016,220,3.9,1.02,16.0,55599882100,http://www.scopus.com/authid/detail.url?authorId=55599882100
"Varshney, Shailendra Kumar",57,2016,94,1.6,0.29,14.0,7005387872,http://www.scopus.com/authid/detail.url?authorId=7005387872
