Data set,"83 competencies of the Indian Institute of Technology, Madras (2015), based on publications in 2011-2015"
Entity,"Indian Institute of Technology, Madras"
Year,2015

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Competency ID,"Authors (Indian Institute of Technology, Madras)",Keywords,Subject Areas,Publications worldwide,Publications in competencies (fractionalized count),Average annual growth,"Publications (Indian Institute of Technology, Madras)","Publications from Indian Institute of Technology, Madras (fractionalized count)",% Share of publications worldwide,"Average annual growth (Indian Institute of Technology, Madras)","Rank of Indian Institute of Technology, Madras by number of publications",Relative Publication Share,Relative Reference Share,State of the Art,"Citations of publications from the Indian Institute of Technology, Madras"
1 (DC),"Ramaprabhu S., Tamilarasan P., Kaniyoor A.","Nanoparticles; Graphene; Thermal conductivity","Condensed Matter Physics (49.0); General Materials Science (28.8); General Chemistry (18.7)",4135,1250.6,2.8%,103,50.3,4.0%,-3.0%,1,2.65,1.50,0.93,1582
2 (DC),"Sen A.K., Prasad B.V.S.S.S., Pattamatta A.","Jets; Nozzles; Heat transfer","Electrical and Electronic Engineering (54.1); Condensed Matter Physics (34.9); Mechanical Engineering (11.1)",1650,668.2,-5.4%,25,16.9,2.5%,14.5%,1,1.62,0.33,-0.43,86
3 (EC),"Umesh S., Joshi V., Bilgi R.R.","Speech recognition; Speech; Acoustics","Software (68.6); Electrical and Electronic Engineering (24.6); Signal Processing (6.8)",1548,649.1,-9.1%,31,17.8,2.7%,-34.3%,3,0.75,0.00,-0.91,57
4 (DC),"Basak T., Roy S.J., Anandalakshmi R.","Heat transfer; Natural convection; Nusselt number","Condensed Matter Physics (84.6); Mechanical Engineering (10.7); General Energy (4.8)",1297,613.5,-3.1%,78,62.3,10.2%,-10.9%,1,3.18,1.22,1.72,442
5 (DC),"Rajagopalan A.N.A., Paramanand C., Rao M.","Deconvolution; Cameras; Algorithms","Computer Vision and Pattern Recognition (100.0)",1353,626.0,9.2%,24,18.9,3.0%,34.3%,1,1.16,0.18,1.54,54
6 (DC),"George B., Vanajakshi L.D., Kumar V.J.","Sensors; Capacitive sensors; Networks (circuits)","Electrical and Electronic Engineering (82.8); Ocean Engineering (10.0); Mechanical Engineering (7.2)",1220,526.4,1.8%,38,32.4,6.1%,17.1%,1,2.17,0.80,-0.03,42
7 (DC),"Arockiarajan A., Jayendiran R., Ganesan N.","Piezoelectricity; Composite materials; Electric fields","Mechanics of Materials (52.6); Condensed Matter Physics (18.5); Mechanical Engineering (15.3)",1445,532.8,-6.9%,38,29.1,5.5%,28.7%,1,2.50,1.00,2.72,76
8 (DC),"Pradeep T.P., Udayabhaskararao T., Bootharaju M.S.","Nanoclusters; Gold; Silver","General Chemistry (86.3); General Materials Science (13.7)",1721,516.0,23.5%,60,34.4,6.7%,-0.1%,1,1.48,0.34,0.94,1219
9 (EC),"Mishra M.K., Kollimalla S.K., Lakshminarasamma N.","Photovoltaic cells; Algorithms; Electric potential","Electrical and Electronic Engineering (100.0)",1118,455.4,9.1%,8,5.9,1.3%,42.2%,12,0.34,0.40,0.06,35
10 (DC),"Suresh Kumar G., Nambi I.M., Vasudevan M.","porous medium; Porous materials; nonaqueous phase liquid","Water Science and Technology (52.6); Biotechnology (47.4)",1339,473.0,5.5%,35,23.3,4.9%,56.7%,1,1.80,0.36,-2.44,61
11 (DC),"Ponnusamy S., Sairam Kaliraj A., Bharanedhar S.V.","Unit disk; Harmonic mapping; Analytic function","General Mathematics (100.0)",815,421.5,7.4%,36,28.4,6.7%,-5.3%,1,1.01,0.38,0.26,160
12 (EC),"Bauri R., Yadav D., Prasad Rao K.","Friction stir welding; Friction; Aluminum alloys","Mechanics of Materials (100.0)",1113,454.4,-13.2%,19,10.3,2.3%,-37.9%,5,0.43,0.00,-1.41,130
13 (DC),"Naganathan A.N., Gromiha M.M.M., Munshi S.","Protein Folding; Proteins; Protein Stability","Biochemistry (61.7); Molecular Biology (38.3)",1608,430.0,-5.6%,26,17.3,4.0%,9.2%,1,1.13,0.14,1.10,153
14 (DC),"Murty C.V.R., Sengupta A.K., Menon D.","Concretes; Reinforced concrete; Compressive strength","Civil and Structural Engineering (100.0)",712,317.7,2.4%,32,18.4,5.8%,0.3%,1,1.33,0.00,-2.63,31
15 (DC),"Raina G., Pavan S., Manjunath S.","Modulators; Bandwidth; Continuous time systems","Electrical and Electronic Engineering (83.1); Computer Networks and Communications (16.9)",711,378.0,3.2%,49,41.6,11.0%,3.3%,1,2.09,1.17,-0.69,129
16 (EC),"Rajendran C., Kalpakam S., Saha S.","Supply chains; Supply chain management; Public policy","Management Science and Operations Research (92.4); Industrial and Manufacturing Engineering (7.6)",898,321.8,-7.0%,3,2.2,0.7%,83.3%,49,0.36,0.14,1.25,9
17 (EC),"Libby J., Nayak M., Behera P.K.","decay; detectors; CP violation","Nuclear and High Energy Physics (100.0)",566,324.6,-21.7%,108,68.8,21.2%,1.1%,45,0.67,0.02,-0.89,1028
18 (DC),"Sujith R.I., Nair V.V., Kabiraj L.","Thermoacoustics; Combustors; Combustion","Mechanical Engineering (79.8); Aerospace Engineering (11.7); General Chemical Engineering (8.5)",677,309.3,0.9%,60,42.1,13.6%,14.1%,1,1.34,1.00,-0.42,283
19 (DC),"Ghosh S., Roy D.K., Mondal B.","clusters; apexes; nuclear magnetic resonance","Inorganic Chemistry (58.4); Physical and Theoretical Chemistry (32.2); General Chemistry (9.4)",882,301.1,-4.9%,77,69.0,22.9%,-2.0%,1,2.60,4.12,-1.36,449
20 (EC),"Kurian J., Chakravarthy S.R., Mulla I.A.","Jets; Velocity; Fuels","General Chemical Engineering (52.0); Aerospace Engineering (48.0)",583,285.7,-2.8%,14,11.3,3.9%,4.9%,4,0.94,0.29,-2.51,14
21 (EC),"Sundararajan T., Raghavan V., Ramesh A.A.","Ethanol; Fuels; Gasoline","Fuel Technology (60.1); General Chemical Engineering (39.9)",631,265.5,-5.0%,11,6.5,2.4%,-49.3%,6,0.67,0.00,-6.11,55
22 (EC),"Sekar G., Chakraborty D.P., Prasad D.J.C.","Sulfides; Copper; Catalysts","Organic Chemistry (100.0)",902,266.6,-2.9%,11,4.5,1.7%,-42.6%,16,0.43,0.08,0.43,173
23 (EC),"Haridoss P., Radhakrishnan V., John Felix Kumar R.","Proton exchange membrane fuel cells (PEMFC); Diffusion in gases; Fuel cells","Renewable Energy, Sustainability and the Environment (100.0)",717,268.8,-8.2%,12,6.9,2.6%,-45.7%,5,0.55,0.64,-1.03,61
24 (DC),"Rajagopal P., Balasubramaniam K.S., Manogharan P.","Guided electromagnetic wave propagation; Pipe; Defects","Mechanical Engineering (69.6); Acoustics and Ultrasonics (30.4)",569,254.5,-1.2%,18,15.6,6.1%,75.4%,2,0.85,2.50,2.80,32
25 (EC),"Sangwai J.S., Mekala P., Mech D.","Hydrates; Gas hydrates; Hydration","General Chemical Engineering (100.0)",631,244.0,13.9%,17,10.7,4.4%,52.5%,7,0.43,0.37,2.77,71
