Data set,Overall research performance
Entity,"Indian Institute of Technology, Madras"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),24.1%,24.7%,24.8%,22.6%,23.9%,23.0%,24.7%,29.6%
Academic-Corporate Collaboration (%),1.7%,1.8%,2.4%,1.9%,1.4%,1.5%,1.6%,0.8%
Scholarly Output,10101,1404,1406,1523,1776,1771,1863,358
Scholarly Output (growth %),26.1%
Citations,46951,14165,11350,9618,6941,3799,1059,19
Field-Weighted Citation Impact,1.01,0.98,1.04,1.07,1.04,0.88,0.82,2.12
Outputs in Top Citation Percentiles (top 10%),10.8%,10.2%,10.2%,11.4%,9.7%,12.1%,11.0%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),32.1%,30.9%,30.9%,29.2%,32.8%,35.3%,32.5%,-%
Citations per Publication,4.6,10.1,8.1,6.3,3.9,2.1,0.6,0.1
Views,182163,34431,30634,31720,32194,29117,22222,1845
Outputs in Top Views Percentiles (top 10%),18.5%,16.0%,16.7%,17.7%,18.8%,19.6%,20.9%,-%
Views per Publication,18.0,24.5,21.8,20.8,18.1,16.4,11.9,5.2
Field-Weighted View Impact,1.29,1.14,1.19,1.24,1.31,1.34,1.47,1.27
Citing-Patents Count (patent office: All Patent Offices),91,63,22,7,3,1,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),63,33,21,6,2,1,0,0
Patent-Citations Count (patent office: All Patent Offices),99,65,23,7,3,1,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),9.8,46.3,16.4,4.6,1.7,0.6,0.0,0.0
Mass Media (Print),280,15,33,26,45,91,70,-
Media Exposure Internationally recognized (Print),131.0,7.0,23.0,8.0,15.0,39.0,39.0,-,
Media Exposure Regionally recognized (Print),7.0,0.5,0.5,-,0.5,3.0,2.5,-,
Media Exposure Nationally recognized (Print),27.6,2.1,1.5,3.6,5.1,7.8,7.5,-,
Media Exposure Locally recognized (Print),8.6,-,0.8,1.2,2.4,4.0,0.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.52,0.1,0.2,0.2,0.3,0.5,1.4,-
"Authors",5921,1373,1440,1599,1825,1941,2111,612
Authors (growth %),41.4%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
